Data Table for Daily Death Trends - Kentucky
Date generated: Mon Nov 15 2021 12:09:36 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Kentucky,Nov 12 2021,110
Kentucky,Nov 11 2021,0
Kentucky,Nov 10 2021,42
Kentucky,Nov  9 2021,0
Kentucky,Nov  8 2021,0
Kentucky,Nov  7 2021,0
Kentucky,Nov  6 2021,1
Kentucky,Nov  5 2021,7
Kentucky,Nov  4 2021,0
Kentucky,Nov  3 2021,4
Kentucky,Nov  2 2021,1
Kentucky,Nov  1 2021,8
Kentucky,Oct 31 2021,7
Kentucky,Oct 30 2021,7
Kentucky,Oct 29 2021,6
Kentucky,Oct 28 2021,7
Kentucky,Oct 27 2021,7
Kentucky,Oct 26 2021,11
Kentucky,Oct 25 2021,16
Kentucky,Oct 24 2021,10
Kentucky,Oct 23 2021,15
Kentucky,Oct 22 2021,16
Kentucky,Oct 21 2021,10
Kentucky,Oct 20 2021,29
Kentucky,Oct 19 2021,17
Kentucky,Oct 18 2021,13
Kentucky,Oct 17 2021,15
Kentucky,Oct 16 2021,21
Kentucky,Oct 15 2021,21
Kentucky,Oct 14 2021,30
Kentucky,Oct 13 2021,26
Kentucky,Oct 12 2021,25
Kentucky,Oct 11 2021,25
Kentucky,Oct 10 2021,17
Kentucky,Oct  9 2021,20
Kentucky,Oct  8 2021,25
Kentucky,Oct  7 2021,20
Kentucky,Oct  6 2021,21
Kentucky,Oct  5 2021,27
Kentucky,Oct  4 2021,41
Kentucky,Oct  3 2021,30
Kentucky,Oct  2 2021,43
Kentucky,Oct  1 2021,34
Kentucky,Sep 30 2021,42
Kentucky,Sep 29 2021,35
Kentucky,Sep 28 2021,46
Kentucky,Sep 27 2021,56
Kentucky,Sep 26 2021,33
Kentucky,Sep 25 2021,40
Kentucky,Sep 24 2021,52
Kentucky,Sep 23 2021,42
Kentucky,Sep 22 2021,53
Kentucky,Sep 21 2021,52
Kentucky,Sep 20 2021,31
Kentucky,Sep 19 2021,36
Kentucky,Sep 18 2021,33
Kentucky,Sep 17 2021,49
Kentucky,Sep 16 2021,39
Kentucky,Sep 15 2021,46
Kentucky,Sep 14 2021,41
Kentucky,Sep 13 2021,50
Kentucky,Sep 12 2021,35
Kentucky,Sep 11 2021,55
Kentucky,Sep 10 2021,38
Kentucky,Sep  9 2021,43
Kentucky,Sep  8 2021,45
Kentucky,Sep  7 2021,30
Kentucky,Sep  6 2021,35
Kentucky,Sep  5 2021,36
Kentucky,Sep  4 2021,50
Kentucky,Sep  3 2021,41
Kentucky,Sep  2 2021,39
Kentucky,Sep  1 2021,30
Kentucky,Aug 31 2021,36
Kentucky,Aug 30 2021,39
Kentucky,Aug 29 2021,31
Kentucky,Aug 28 2021,27
Kentucky,Aug 27 2021,38
Kentucky,Aug 26 2021,44
Kentucky,Aug 25 2021,26
Kentucky,Aug 24 2021,37
Kentucky,Aug 23 2021,25
Kentucky,Aug 22 2021,25
Kentucky,Aug 21 2021,31
Kentucky,Aug 20 2021,28
Kentucky,Aug 19 2021,31
Kentucky,Aug 18 2021,19
Kentucky,Aug 17 2021,18
Kentucky,Aug 16 2021,21
Kentucky,Aug 15 2021,18
Kentucky,Aug 14 2021,16
Kentucky,Aug 13 2021,26
Kentucky,Aug 12 2021,13
Kentucky,Aug 11 2021,16
Kentucky,Aug 10 2021,11
Kentucky,Aug  9 2021,17
Kentucky,Aug  8 2021,11
Kentucky,Aug  7 2021,9
Kentucky,Aug  6 2021,11
Kentucky,Aug  5 2021,13
Kentucky,Aug  4 2021,10
Kentucky,Aug  3 2021,9
Kentucky,Aug  2 2021,8
Kentucky,Aug  1 2021,11
Kentucky,Jul 31 2021,8
Kentucky,Jul 30 2021,6
Kentucky,Jul 29 2021,7
Kentucky,Jul 28 2021,10
Kentucky,Jul 27 2021,6
Kentucky,Jul 26 2021,4
Kentucky,Jul 25 2021,10
Kentucky,Jul 24 2021,5
Kentucky,Jul 23 2021,5
Kentucky,Jul 22 2021,3
Kentucky,Jul 21 2021,3
Kentucky,Jul 20 2021,1
Kentucky,Jul 19 2021,1
Kentucky,Jul 18 2021,4
Kentucky,Jul 17 2021,0
Kentucky,Jul 16 2021,6
Kentucky,Jul 15 2021,4
Kentucky,Jul 14 2021,2
Kentucky,Jul 13 2021,7
Kentucky,Jul 12 2021,5
Kentucky,Jul 11 2021,1
Kentucky,Jul 10 2021,5
Kentucky,Jul  9 2021,2
Kentucky,Jul  8 2021,2
Kentucky,Jul  7 2021,4
Kentucky,Jul  6 2021,7
Kentucky,Jul  5 2021,2
