Data Table for Daily Death Trends - Louisiana
Date generated: Mon Nov 15 2021 12:09:43 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Louisiana,Nov 12 2021,23
Louisiana,Nov 11 2021,0
Louisiana,Nov 10 2021,13
Louisiana,Nov  9 2021,27
Louisiana,Nov  8 2021,7
Louisiana,Nov  7 2021,0
Louisiana,Nov  6 2021,0
Louisiana,Nov  5 2021,18
Louisiana,Nov  4 2021,12
Louisiana,Nov  3 2021,20
Louisiana,Nov  2 2021,10
Louisiana,Nov  1 2021,8
Louisiana,Oct 31 2021,0
Louisiana,Oct 30 2021,0
Louisiana,Oct 29 2021,22
Louisiana,Oct 28 2021,19
Louisiana,Oct 27 2021,10
Louisiana,Oct 26 2021,16
Louisiana,Oct 25 2021,18
Louisiana,Oct 24 2021,0
Louisiana,Oct 23 2021,0
Louisiana,Oct 22 2021,16
Louisiana,Oct 21 2021,22
Louisiana,Oct 20 2021,36
Louisiana,Oct 19 2021,38
Louisiana,Oct 18 2021,11
Louisiana,Oct 17 2021,9
Louisiana,Oct 16 2021,9
Louisiana,Oct 15 2021,25
Louisiana,Oct 14 2021,28
Louisiana,Oct 13 2021,30
Louisiana,Oct 12 2021,34
Louisiana,Oct 11 2021,11
Louisiana,Oct 10 2021,10
Louisiana,Oct  9 2021,10
Louisiana,Oct  8 2021,34
Louisiana,Oct  7 2021,37
Louisiana,Oct  6 2021,34
Louisiana,Oct  5 2021,41
Louisiana,Oct  4 2021,15
Louisiana,Oct  3 2021,12
Louisiana,Oct  2 2021,12
Louisiana,Oct  1 2021,39
Louisiana,Sep 30 2021,49
Louisiana,Sep 29 2021,50
Louisiana,Sep 28 2021,54
Louisiana,Sep 27 2021,19
Louisiana,Sep 26 2021,18
Louisiana,Sep 25 2021,18
Louisiana,Sep 24 2021,39
Louisiana,Sep 23 2021,45
Louisiana,Sep 22 2021,99
Louisiana,Sep 21 2021,85
Louisiana,Sep 20 2021,21
Louisiana,Sep 19 2021,17
Louisiana,Sep 18 2021,17
Louisiana,Sep 17 2021,52
Louisiana,Sep 16 2021,48
Louisiana,Sep 15 2021,77
Louisiana,Sep 14 2021,121
Louisiana,Sep 13 2021,22
Louisiana,Sep 12 2021,21
Louisiana,Sep 11 2021,21
Louisiana,Sep 10 2021,64
Louisiana,Sep  9 2021,77
Louisiana,Sep  8 2021,136
Louisiana,Sep  7 2021,21
Louisiana,Sep  6 2021,17
Louisiana,Sep  5 2021,17
Louisiana,Sep  4 2021,17
Louisiana,Sep  3 2021,51
Louisiana,Sep  2 2021,74
Louisiana,Sep  1 2021,47
Louisiana,Aug 31 2021,44
Louisiana,Aug 30 2021,44
Louisiana,Aug 29 2021,44
Louisiana,Aug 28 2021,44
Louisiana,Aug 27 2021,61
Louisiana,Aug 26 2021,72
Louisiana,Aug 25 2021,110
Louisiana,Aug 24 2021,139
Louisiana,Aug 23 2021,21
Louisiana,Aug 22 2021,19
Louisiana,Aug 21 2021,19
Louisiana,Aug 20 2021,67
Louisiana,Aug 19 2021,58
Louisiana,Aug 18 2021,87
Louisiana,Aug 17 2021,122
Louisiana,Aug 16 2021,23
Louisiana,Aug 15 2021,21
Louisiana,Aug 14 2021,21
Louisiana,Aug 13 2021,57
Louisiana,Aug 12 2021,54
Louisiana,Aug 11 2021,55
Louisiana,Aug 10 2021,93
Louisiana,Aug  9 2021,18
Louisiana,Aug  8 2021,16
Louisiana,Aug  7 2021,16
Louisiana,Aug  6 2021,48
Louisiana,Aug  5 2021,33
Louisiana,Aug  4 2021,44
Louisiana,Aug  3 2021,59
Louisiana,Aug  2 2021,9
Louisiana,Aug  1 2021,9
Louisiana,Jul 31 2021,9
Louisiana,Jul 30 2021,31
Louisiana,Jul 29 2021,20
Louisiana,Jul 28 2021,14
