Data Table for Daily Death Trends - Maine
Date generated: Mon Nov 15 2021 12:09:49 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Maine,Nov 12 2021,0
Maine,Nov 11 2021,3
Maine,Nov 10 2021,0
Maine,Nov  9 2021,2
Maine,Nov  8 2021,8
Maine,Nov  7 2021,0
Maine,Nov  6 2021,1
Maine,Nov  5 2021,2
Maine,Nov  4 2021,7
Maine,Nov  3 2021,18
Maine,Nov  2 2021,0
Maine,Nov  1 2021,12
Maine,Oct 31 2021,0
Maine,Oct 30 2021,4
Maine,Oct 29 2021,0
Maine,Oct 28 2021,3
Maine,Oct 27 2021,6
Maine,Oct 26 2021,7
Maine,Oct 25 2021,25
Maine,Oct 24 2021,0
Maine,Oct 23 2021,2
Maine,Oct 22 2021,5
Maine,Oct 21 2021,2
Maine,Oct 20 2021,4
Maine,Oct 19 2021,7
Maine,Oct 18 2021,4
Maine,Oct 17 2021,3
Maine,Oct 16 2021,1
Maine,Oct 15 2021,1
Maine,Oct 14 2021,5
Maine,Oct 13 2021,5
Maine,Oct 12 2021,7
Maine,Oct 11 2021,1
Maine,Oct 10 2021,0
Maine,Oct  9 2021,0
Maine,Oct  8 2021,5
Maine,Oct  7 2021,4
Maine,Oct  6 2021,21
Maine,Oct  5 2021,9
Maine,Oct  4 2021,6
Maine,Oct  3 2021,4
Maine,Oct  2 2021,0
Maine,Oct  1 2021,2
Maine,Sep 30 2021,2
Maine,Sep 29 2021,0
Maine,Sep 28 2021,0
Maine,Sep 27 2021,5
Maine,Sep 26 2021,4
Maine,Sep 25 2021,2
Maine,Sep 24 2021,2
Maine,Sep 23 2021,0
Maine,Sep 22 2021,2
Maine,Sep 21 2021,5
Maine,Sep 20 2021,8
Maine,Sep 19 2021,6
Maine,Sep 18 2021,6
Maine,Sep 17 2021,3
Maine,Sep 16 2021,0
Maine,Sep 15 2021,3
Maine,Sep 14 2021,7
Maine,Sep 13 2021,4
Maine,Sep 12 2021,4
Maine,Sep 11 2021,0
Maine,Sep 10 2021,2
Maine,Sep  9 2021,13
Maine,Sep  8 2021,0
Maine,Sep  7 2021,5
Maine,Sep  6 2021,1
Maine,Sep  5 2021,0
Maine,Sep  4 2021,0
Maine,Sep  3 2021,1
Maine,Sep  2 2021,3
Maine,Sep  1 2021,3
Maine,Aug 31 2021,2
Maine,Aug 30 2021,1
Maine,Aug 29 2021,1
Maine,Aug 28 2021,1
Maine,Aug 27 2021,1
Maine,Aug 26 2021,2
Maine,Aug 25 2021,0
Maine,Aug 24 2021,2
Maine,Aug 23 2021,0
Maine,Aug 22 2021,0
Maine,Aug 21 2021,1
Maine,Aug 20 2021,2
Maine,Aug 19 2021,0
Maine,Aug 18 2021,12
Maine,Aug 17 2021,1
Maine,Aug 16 2021,2
Maine,Aug 15 2021,1
Maine,Aug 14 2021,1
Maine,Aug 13 2021,0
Maine,Aug 12 2021,1
Maine,Aug 11 2021,2
Maine,Aug 10 2021,0
Maine,Aug  9 2021,0
Maine,Aug  8 2021,0
Maine,Aug  7 2021,0
Maine,Aug  6 2021,0
Maine,Aug  5 2021,1
Maine,Aug  4 2021,0
Maine,Aug  3 2021,0
Maine,Aug  2 2021,0
Maine,Aug  1 2021,0
Maine,Jul 31 2021,0
Maine,Jul 30 2021,1
Maine,Jul 29 2021,0
Maine,Jul 28 2021,0
Maine,Jul 27 2021,1
Maine,Jul 26 2021,1
Maine,Jul 25 2021,0
Maine,Jul 24 2021,0
Maine,Jul 23 2021,6
Maine,Jul 22 2021,0
Maine,Jul 21 2021,4
Maine,Jul 20 2021,5
Maine,Jul 19 2021,0
Maine,Jul 18 2021,0
Maine,Jul 17 2021,0
Maine,Jul 16 2021,4
Maine,Jul 15 2021,1
Maine,Jul 14 2021,15
Maine,Jul 13 2021,0
Maine,Jul 12 2021,0
Maine,Jul 11 2021,0
Maine,Jul 10 2021,0
Maine,Jul  9 2021,0
Maine,Jul  8 2021,1
Maine,Jul  7 2021,0
Maine,Jul  6 2021,1
Maine,Jul  5 2021,0
Maine,Jul  4 2021,0
Maine,Jul  3 2021,0
Maine,Jul  2 2021,0
Maine,Jul  1 2021,1
Maine,Jun 30 2021,1
Maine,Jun 29 2021,0
Maine,Jun 28 2021,0
Maine,Jun 27 2021,0
Maine,Jun 26 2021,0
Maine,Jun 25 2021,0
Maine,Jun 24 2021,2
Maine,Jun 23 2021,2
Maine,Jun 22 2021,0
Maine,Jun 21 2021,0
Maine,Jun 20 2021,0
Maine,Jun 19 2021,0
Maine,Jun 18 2021,0
Maine,Jun 17 2021,0
Maine,Jun 16 2021,1
