Data Table for Daily Death Trends - Maryland
Date generated: Mon Nov 15 2021 12:09:57 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Maryland,Nov 12 2021,20
Maryland,Nov 11 2021,10
Maryland,Nov 10 2021,6
Maryland,Nov  9 2021,15
Maryland,Nov  8 2021,25
Maryland,Nov  7 2021,9
Maryland,Nov  6 2021,0
Maryland,Nov  5 2021,9
Maryland,Nov  4 2021,17
Maryland,Nov  3 2021,26
Maryland,Nov  2 2021,0
Maryland,Nov  1 2021,18
Maryland,Oct 31 2021,13
Maryland,Oct 30 2021,0
Maryland,Oct 29 2021,17
Maryland,Oct 28 2021,11
Maryland,Oct 27 2021,14
Maryland,Oct 26 2021,13
Maryland,Oct 25 2021,21
Maryland,Oct 24 2021,10
Maryland,Oct 23 2021,0
Maryland,Oct 22 2021,11
Maryland,Oct 21 2021,14
Maryland,Oct 20 2021,14
Maryland,Oct 19 2021,22
Maryland,Oct 18 2021,27
Maryland,Oct 17 2021,3
Maryland,Oct 16 2021,2
Maryland,Oct 15 2021,21
Maryland,Oct 14 2021,18
Maryland,Oct 13 2021,20
Maryland,Oct 12 2021,17
Maryland,Oct 11 2021,34
Maryland,Oct 10 2021,5
Maryland,Oct  9 2021,5
Maryland,Oct  8 2021,20
Maryland,Oct  7 2021,13
Maryland,Oct  6 2021,16
Maryland,Oct  5 2021,21
Maryland,Oct  4 2021,35
Maryland,Oct  3 2021,2
Maryland,Oct  2 2021,2
Maryland,Oct  1 2021,14
Maryland,Sep 30 2021,18
Maryland,Sep 29 2021,16
Maryland,Sep 28 2021,13
Maryland,Sep 27 2021,29
Maryland,Sep 26 2021,8
Maryland,Sep 25 2021,7
Maryland,Sep 24 2021,7
Maryland,Sep 23 2021,14
Maryland,Sep 22 2021,16
Maryland,Sep 21 2021,23
Maryland,Sep 20 2021,46
Maryland,Sep 19 2021,0
Maryland,Sep 18 2021,0
Maryland,Sep 17 2021,13
Maryland,Sep 16 2021,12
Maryland,Sep 15 2021,21
Maryland,Sep 14 2021,12
Maryland,Sep 13 2021,29
Maryland,Sep 12 2021,9
Maryland,Sep 11 2021,8
Maryland,Sep 10 2021,20
Maryland,Sep  9 2021,15
Maryland,Sep  8 2021,9
Maryland,Sep  7 2021,21
Maryland,Sep  6 2021,21
Maryland,Sep  5 2021,6
Maryland,Sep  4 2021,6
Maryland,Sep  3 2021,10
Maryland,Sep  2 2021,11
Maryland,Sep  1 2021,16
Maryland,Aug 31 2021,10
Maryland,Aug 30 2021,19
Maryland,Aug 29 2021,6
Maryland,Aug 28 2021,6
Maryland,Aug 27 2021,20
Maryland,Aug 26 2021,0
Maryland,Aug 25 2021,7
Maryland,Aug 24 2021,0
Maryland,Aug 23 2021,13
Maryland,Aug 22 2021,3
Maryland,Aug 21 2021,2
Maryland,Aug 20 2021,16
Maryland,Aug 19 2021,6
Maryland,Aug 18 2021,9
Maryland,Aug 17 2021,8
Maryland,Aug 16 2021,8
Maryland,Aug 15 2021,2
Maryland,Aug 14 2021,2
Maryland,Aug 13 2021,9
Maryland,Aug 12 2021,5
Maryland,Aug 11 2021,3
Maryland,Aug 10 2021,1
Maryland,Aug  9 2021,12
Maryland,Aug  8 2021,4
Maryland,Aug  7 2021,4
Maryland,Aug  6 2021,3
Maryland,Aug  5 2021,4
Maryland,Aug  4 2021,2
Maryland,Aug  3 2021,15
Maryland,Aug  2 2021,0
Maryland,Aug  1 2021,2
Maryland,Jul 31 2021,1
Maryland,Jul 30 2021,7
Maryland,Jul 29 2021,0
Maryland,Jul 28 2021,5
Maryland,Jul 27 2021,3
Maryland,Jul 26 2021,3
Maryland,Jul 25 2021,1
Maryland,Jul 24 2021,0
Maryland,Jul 23 2021,5
Maryland,Jul 22 2021,3
Maryland,Jul 21 2021,6
Maryland,Jul 20 2021,4
Maryland,Jul 19 2021,7
Maryland,Jul 18 2021,1
Maryland,Jul 17 2021,0
Maryland,Jul 16 2021,2
Maryland,Jul 15 2021,5
Maryland,Jul 14 2021,4
Maryland,Jul 13 2021,4
Maryland,Jul 12 2021,3
Maryland,Jul 11 2021,0
Maryland,Jul 10 2021,0
Maryland,Jul  9 2021,2
Maryland,Jul  8 2021,2
Maryland,Jul  7 2021,3
Maryland,Jul  6 2021,1
Maryland,Jul  5 2021,5
Maryland,Jul  4 2021,0
Maryland,Jul  3 2021,0
Maryland,Jul  2 2021,3
Maryland,Jul  1 2021,2
Maryland,Jun 30 2021,3
