Data Table for Daily Death Trends - Massachusetts
Date generated: Mon Nov 15 2021 12:10:04 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Massachusetts,Nov 12 2021,21
Massachusetts,Nov 11 2021,0
Massachusetts,Nov 10 2021,21
Massachusetts,Nov  9 2021,24
Massachusetts,Nov  8 2021,6
Massachusetts,Nov  7 2021,0
Massachusetts,Nov  6 2021,0
Massachusetts,Nov  5 2021,18
Massachusetts,Nov  4 2021,23
Massachusetts,Nov  3 2021,15
Massachusetts,Nov  2 2021,28
Massachusetts,Nov  1 2021,7
Massachusetts,Oct 31 2021,0
Massachusetts,Oct 30 2021,0
Massachusetts,Oct 29 2021,11
Massachusetts,Oct 28 2021,15
Massachusetts,Oct 27 2021,14
Massachusetts,Oct 26 2021,25
Massachusetts,Oct 25 2021,20
Massachusetts,Oct 24 2021,0
Massachusetts,Oct 23 2021,0
Massachusetts,Oct 22 2021,15
Massachusetts,Oct 21 2021,21
Massachusetts,Oct 20 2021,11
Massachusetts,Oct 19 2021,26
Massachusetts,Oct 18 2021,4
Massachusetts,Oct 17 2021,3
Massachusetts,Oct 16 2021,3
Massachusetts,Oct 15 2021,12
Massachusetts,Oct 14 2021,14
Massachusetts,Oct 13 2021,19
Massachusetts,Oct 12 2021,10
Massachusetts,Oct 11 2021,9
Massachusetts,Oct 10 2021,9
Massachusetts,Oct  9 2021,9
Massachusetts,Oct  8 2021,17
Massachusetts,Oct  7 2021,22
Massachusetts,Oct  6 2021,27
Massachusetts,Oct  5 2021,21
Massachusetts,Oct  4 2021,4
Massachusetts,Oct  3 2021,4
Massachusetts,Oct  2 2021,4
Massachusetts,Oct  1 2021,20
Massachusetts,Sep 30 2021,27
Massachusetts,Sep 29 2021,23
Massachusetts,Sep 28 2021,22
Massachusetts,Sep 27 2021,6
Massachusetts,Sep 26 2021,4
Massachusetts,Sep 25 2021,4
Massachusetts,Sep 24 2021,14
Massachusetts,Sep 23 2021,23
Massachusetts,Sep 22 2021,24
Massachusetts,Sep 21 2021,25
Massachusetts,Sep 20 2021,4
Massachusetts,Sep 19 2021,3
Massachusetts,Sep 18 2021,3
Massachusetts,Sep 17 2021,21
Massachusetts,Sep 16 2021,16
Massachusetts,Sep 15 2021,15
Massachusetts,Sep 14 2021,24
Massachusetts,Sep 13 2021,7
Massachusetts,Sep 12 2021,6
Massachusetts,Sep 11 2021,6
Massachusetts,Sep 10 2021,18
Massachusetts,Sep  9 2021,18
Massachusetts,Sep  8 2021,16
Massachusetts,Sep  7 2021,3
Massachusetts,Sep  6 2021,3
Massachusetts,Sep  5 2021,3
Massachusetts,Sep  4 2021,3
Massachusetts,Sep  3 2021,14
Massachusetts,Sep  2 2021,15
Massachusetts,Sep  1 2021,11
Massachusetts,Aug 31 2021,17
Massachusetts,Aug 30 2021,4
Massachusetts,Aug 29 2021,3
Massachusetts,Aug 28 2021,3
Massachusetts,Aug 27 2021,7
Massachusetts,Aug 26 2021,13
Massachusetts,Aug 25 2021,4
Massachusetts,Aug 24 2021,16
Massachusetts,Aug 23 2021,2
Massachusetts,Aug 22 2021,1
Massachusetts,Aug 21 2021,1
Massachusetts,Aug 20 2021,6
Massachusetts,Aug 19 2021,4
Massachusetts,Aug 18 2021,11
Massachusetts,Aug 17 2021,6
Massachusetts,Aug 16 2021,2
Massachusetts,Aug 15 2021,2
Massachusetts,Aug 14 2021,2
Massachusetts,Aug 13 2021,11
Massachusetts,Aug 12 2021,10
Massachusetts,Aug 11 2021,9
Massachusetts,Aug 10 2021,14
Massachusetts,Aug  9 2021,1
Massachusetts,Aug  8 2021,1
Massachusetts,Aug  7 2021,1
Massachusetts,Aug  6 2021,2
Massachusetts,Aug  5 2021,2
Massachusetts,Aug  4 2021,5
Massachusetts,Aug  3 2021,2
Massachusetts,Aug  2 2021,2
Massachusetts,Aug  1 2021,0
Massachusetts,Jul 31 2021,0
Massachusetts,Jul 30 2021,3
Massachusetts,Jul 29 2021,8
Massachusetts,Jul 28 2021,6
Massachusetts,Jul 27 2021,12
Massachusetts,Jul 26 2021,3
Massachusetts,Jul 25 2021,2
Massachusetts,Jul 24 2021,2
Massachusetts,Jul 23 2021,5
Massachusetts,Jul 22 2021,6
Massachusetts,Jul 21 2021,2
Massachusetts,Jul 20 2021,9
Massachusetts,Jul 19 2021,2
Massachusetts,Jul 18 2021,1
Massachusetts,Jul 17 2021,1
Massachusetts,Jul 16 2021,3
Massachusetts,Jul 15 2021,4
Massachusetts,Jul 14 2021,1
Massachusetts,Jul 13 2021,0
Massachusetts,Jul 12 2021,1
Massachusetts,Jul 11 2021,0
Massachusetts,Jul 10 2021,0
Massachusetts,Jul  9 2021,0
Massachusetts,Jul  8 2021,3
Massachusetts,Jul  7 2021,3
Massachusetts,Jul  6 2021,4
Massachusetts,Jul  5 2021,1
Massachusetts,Jul  4 2021,1
Massachusetts,Jul  3 2021,1
Massachusetts,Jul  2 2021,1
Massachusetts,Jul  1 2021,3
Massachusetts,Jun 30 2021,1
Massachusetts,Jun 29 2021,1
Massachusetts,Jun 28 2021,2
Massachusetts,Jun 27 2021,1
Massachusetts,Jun 26 2021,2
Massachusetts,Jun 25 2021,1
Massachusetts,Jun 24 2021,4
Massachusetts,Jun 23 2021,5
Massachusetts,Jun 22 2021,1
Massachusetts,Jun 21 2021,5
Massachusetts,Jun 20 2021,6
Massachusetts,Jun 19 2021,4
Massachusetts,Jun 18 2021,4
Massachusetts,Jun 17 2021,4
Massachusetts,Jun 16 2021,4
Massachusetts,Jun 15 2021,2
Massachusetts,Jun 14 2021,8
Massachusetts,Jun 13 2021,0
Massachusetts,Jun 12 2021,2
Massachusetts,Jun 11 2021,8
Massachusetts,Jun 10 2021,7
Massachusetts,Jun  9 2021,5
Massachusetts,Jun  8 2021,2
Massachusetts,Jun  7 2021,4
Massachusetts,Jun  6 2021,4
Massachusetts,Jun  5 2021,4
Massachusetts,Jun  4 2021,10
Massachusetts,Jun  3 2021,7
Massachusetts,Jun  2 2021,3
Massachusetts,Jun  1 2021,11
Massachusetts,May 31 2021,0
Massachusetts,May 30 2021,4
Massachusetts,May 29 2021,14
Massachusetts,May 28 2021,4
Massachusetts,May 27 2021,9
Massachusetts,May 26 2021,6
Massachusetts,May 25 2021,10
Massachusetts,May 24 2021,2
Massachusetts,May 23 2021,5
Massachusetts,May 22 2021,5
Massachusetts,May 21 2021,11
Massachusetts,May 20 2021,8
Massachusetts,May 19 2021,15
Massachusetts,May 18 2021,7
