Data Table for Daily Death Trends - Michigan
Date generated: Mon Nov 15 2021 12:10:10 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Michigan,Nov 12 2021,48
Michigan,Nov 11 2021,0
Michigan,Nov 10 2021,55
Michigan,Nov  9 2021,47
Michigan,Nov  8 2021,31
Michigan,Nov  7 2021,0
Michigan,Nov  6 2021,0
Michigan,Nov  5 2021,29
Michigan,Nov  4 2021,19
Michigan,Nov  3 2021,23
Michigan,Nov  2 2021,51
Michigan,Nov  1 2021,39
Michigan,Oct 31 2021,0
Michigan,Oct 30 2021,0
Michigan,Oct 29 2021,42
Michigan,Oct 28 2021,30
Michigan,Oct 27 2021,28
Michigan,Oct 26 2021,66
Michigan,Oct 25 2021,28
Michigan,Oct 24 2021,0
Michigan,Oct 23 2021,0
Michigan,Oct 22 2021,31
Michigan,Oct 21 2021,36
Michigan,Oct 20 2021,30
Michigan,Oct 19 2021,48
Michigan,Oct 18 2021,13
Michigan,Oct 17 2021,10
Michigan,Oct 16 2021,10
Michigan,Oct 15 2021,20
Michigan,Oct 14 2021,27
Michigan,Oct 13 2021,43
Michigan,Oct 12 2021,25
Michigan,Oct 11 2021,6
Michigan,Oct 10 2021,6
Michigan,Oct  9 2021,6
Michigan,Oct  8 2021,29
Michigan,Oct  7 2021,24
Michigan,Oct  6 2021,24
Michigan,Oct  5 2021,35
Michigan,Oct  4 2021,17
Michigan,Oct  3 2021,14
Michigan,Oct  2 2021,14
Michigan,Oct  1 2021,32
Michigan,Sep 30 2021,10
Michigan,Sep 29 2021,30
Michigan,Sep 28 2021,31
Michigan,Sep 27 2021,5
Michigan,Sep 26 2021,6
Michigan,Sep 25 2021,6
Michigan,Sep 24 2021,23
Michigan,Sep 23 2021,8
Michigan,Sep 22 2021,27
Michigan,Sep 21 2021,14
Michigan,Sep 20 2021,12
Michigan,Sep 19 2021,8
Michigan,Sep 18 2021,8
Michigan,Sep 17 2021,20
Michigan,Sep 16 2021,21
Michigan,Sep 15 2021,6
Michigan,Sep 14 2021,19
Michigan,Sep 13 2021,10
Michigan,Sep 12 2021,7
Michigan,Sep 11 2021,7
Michigan,Sep 10 2021,0
Michigan,Sep  9 2021,23
Michigan,Sep  8 2021,27
Michigan,Sep  7 2021,10
Michigan,Sep  6 2021,4
Michigan,Sep  5 2021,4
Michigan,Sep  4 2021,4
Michigan,Sep  3 2021,17
Michigan,Sep  2 2021,11
Michigan,Sep  1 2021,18
Michigan,Aug 31 2021,14
Michigan,Aug 30 2021,8
Michigan,Aug 29 2021,7
Michigan,Aug 28 2021,7
Michigan,Aug 27 2021,15
Michigan,Aug 26 2021,17
Michigan,Aug 25 2021,10
Michigan,Aug 24 2021,21
Michigan,Aug 23 2021,5
Michigan,Aug 22 2021,1
Michigan,Aug 21 2021,1
Michigan,Aug 20 2021,11
Michigan,Aug 19 2021,16
Michigan,Aug 18 2021,10
Michigan,Aug 17 2021,24
Michigan,Aug 16 2021,6
Michigan,Aug 15 2021,3
Michigan,Aug 14 2021,3
Michigan,Aug 13 2021,6
Michigan,Aug 12 2021,12
Michigan,Aug 11 2021,7
Michigan,Aug 10 2021,5
Michigan,Aug  9 2021,0
Michigan,Aug  8 2021,1
Michigan,Aug  7 2021,0
Michigan,Aug  6 2021,2
Michigan,Aug  5 2021,2
Michigan,Aug  4 2021,4
Michigan,Aug  3 2021,5
Michigan,Aug  2 2021,7
Michigan,Aug  1 2021,1
Michigan,Jul 31 2021,3
Michigan,Jul 30 2021,8
Michigan,Jul 29 2021,5
Michigan,Jul 28 2021,3
Michigan,Jul 27 2021,10
Michigan,Jul 26 2021,3
Michigan,Jul 25 2021,6
Michigan,Jul 24 2021,6
Michigan,Jul 23 2021,6
Michigan,Jul 22 2021,3
Michigan,Jul 21 2021,3
Michigan,Jul 20 2021,4
Michigan,Jul 19 2021,7
Michigan,Jul 18 2021,4
Michigan,Jul 17 2021,3
Michigan,Jul 16 2021,6
Michigan,Jul 15 2021,5
Michigan,Jul 14 2021,4
Michigan,Jul 13 2021,2
Michigan,Jul 12 2021,6
Michigan,Jul 11 2021,5
Michigan,Jul 10 2021,4
Michigan,Jul  9 2021,6
Michigan,Jul  8 2021,5
Michigan,Jul  7 2021,12
Michigan,Jul  6 2021,6
Michigan,Jul  5 2021,3
Michigan,Jul  4 2021,4
Michigan,Jul  3 2021,1
Michigan,Jul  2 2021,7
Michigan,Jul  1 2021,10
Michigan,Jun 30 2021,5
Michigan,Jun 29 2021,5
Michigan,Jun 28 2021,6
Michigan,Jun 27 2021,6
Michigan,Jun 26 2021,6
Michigan,Jun 25 2021,8
Michigan,Jun 24 2021,10
Michigan,Jun 23 2021,11
Michigan,Jun 22 2021,9
Michigan,Jun 21 2021,11
Michigan,Jun 20 2021,11
Michigan,Jun 19 2021,10
Michigan,Jun 18 2021,21
Michigan,Jun 17 2021,13
Michigan,Jun 16 2021,11
Michigan,Jun 15 2021,9
Michigan,Jun 14 2021,18
Michigan,Jun 13 2021,11
Michigan,Jun 12 2021,21
Michigan,Jun 11 2021,12
Michigan,Jun 10 2021,14
Michigan,Jun  9 2021,22
Michigan,Jun  8 2021,16
Michigan,Jun  7 2021,27
