Data Table for Daily Death Trends - Minnesota
Date generated: Mon Nov 15 2021 12:10:20 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Minnesota,Nov 12 2021,28
Minnesota,Nov 11 2021,43
Minnesota,Nov 10 2021,43
Minnesota,Nov  9 2021,20
Minnesota,Nov  8 2021,34
Minnesota,Nov  7 2021,0
Minnesota,Nov  6 2021,0
Minnesota,Nov  5 2021,35
Minnesota,Nov  4 2021,32
Minnesota,Nov  3 2021,43
Minnesota,Nov  2 2021,24
Minnesota,Nov  1 2021,25
Minnesota,Oct 31 2021,0
Minnesota,Oct 30 2021,0
Minnesota,Oct 29 2021,16
Minnesota,Oct 28 2021,41
Minnesota,Oct 27 2021,31
Minnesota,Oct 26 2021,22
Minnesota,Oct 25 2021,22
Minnesota,Oct 24 2021,0
Minnesota,Oct 23 2021,0
Minnesota,Oct 22 2021,22
Minnesota,Oct 21 2021,26
Minnesota,Oct 20 2021,32
Minnesota,Oct 19 2021,21
Minnesota,Oct 18 2021,11
Minnesota,Oct 17 2021,9
Minnesota,Oct 16 2021,9
Minnesota,Oct 15 2021,28
Minnesota,Oct 14 2021,25
Minnesota,Oct 13 2021,24
Minnesota,Oct 12 2021,21
Minnesota,Oct 11 2021,9
Minnesota,Oct 10 2021,8
Minnesota,Oct  9 2021,8
Minnesota,Oct  8 2021,20
Minnesota,Oct  7 2021,32
Minnesota,Oct  6 2021,40
Minnesota,Oct  5 2021,22
Minnesota,Oct  4 2021,9
Minnesota,Oct  3 2021,6
Minnesota,Oct  2 2021,6
Minnesota,Oct  1 2021,17
Minnesota,Sep 30 2021,13
Minnesota,Sep 29 2021,31
Minnesota,Sep 28 2021,21
Minnesota,Sep 27 2021,8
Minnesota,Sep 26 2021,7
Minnesota,Sep 25 2021,7
Minnesota,Sep 24 2021,22
Minnesota,Sep 23 2021,21
Minnesota,Sep 22 2021,14
Minnesota,Sep 21 2021,16
Minnesota,Sep 20 2021,3
Minnesota,Sep 19 2021,3
Minnesota,Sep 18 2021,3
Minnesota,Sep 17 2021,12
Minnesota,Sep 16 2021,14
Minnesota,Sep 15 2021,12
Minnesota,Sep 14 2021,11
Minnesota,Sep 13 2021,4
Minnesota,Sep 12 2021,3
Minnesota,Sep 11 2021,3
Minnesota,Sep 10 2021,13
Minnesota,Sep  9 2021,9
Minnesota,Sep  8 2021,2
Minnesota,Sep  7 2021,6
Minnesota,Sep  6 2021,2
Minnesota,Sep  5 2021,2
Minnesota,Sep  4 2021,2
Minnesota,Sep  3 2021,5
Minnesota,Sep  2 2021,21
Minnesota,Sep  1 2021,6
Minnesota,Aug 31 2021,6
Minnesota,Aug 30 2021,2
Minnesota,Aug 29 2021,2
Minnesota,Aug 28 2021,2
Minnesota,Aug 27 2021,6
Minnesota,Aug 26 2021,10
Minnesota,Aug 25 2021,7
