Data Table for Daily Death Trends - Mississippi
Date generated: Mon Nov 15 2021 12:10:26 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Mississippi,Nov 12 2021,5
Mississippi,Nov 11 2021,0
Mississippi,Nov 10 2021,4
Mississippi,Nov  9 2021,25
Mississippi,Nov  8 2021,2
Mississippi,Nov  7 2021,0
Mississippi,Nov  6 2021,0
Mississippi,Nov  5 2021,7
Mississippi,Nov  4 2021,0
Mississippi,Nov  3 2021,5
Mississippi,Nov  2 2021,14
Mississippi,Nov  1 2021,5
Mississippi,Oct 31 2021,0
Mississippi,Oct 30 2021,0
Mississippi,Oct 29 2021,4
Mississippi,Oct 28 2021,4
Mississippi,Oct 27 2021,2
Mississippi,Oct 26 2021,8
Mississippi,Oct 25 2021,7
Mississippi,Oct 24 2021,0
Mississippi,Oct 23 2021,0
Mississippi,Oct 22 2021,5
Mississippi,Oct 21 2021,9
Mississippi,Oct 20 2021,0
Mississippi,Oct 19 2021,10
Mississippi,Oct 18 2021,18
Mississippi,Oct 17 2021,5
Mississippi,Oct 16 2021,2
Mississippi,Oct 15 2021,2
Mississippi,Oct 14 2021,3
Mississippi,Oct 13 2021,6
Mississippi,Oct 12 2021,16
Mississippi,Oct 11 2021,12
Mississippi,Oct 10 2021,2
Mississippi,Oct  9 2021,1
Mississippi,Oct  8 2021,1
Mississippi,Oct  7 2021,17
Mississippi,Oct  6 2021,6
Mississippi,Oct  5 2021,19
Mississippi,Oct  4 2021,11
Mississippi,Oct  3 2021,8
Mississippi,Oct  2 2021,5
Mississippi,Oct  1 2021,5
Mississippi,Sep 30 2021,12
Mississippi,Sep 29 2021,12
Mississippi,Sep 28 2021,28
Mississippi,Sep 27 2021,19
Mississippi,Sep 26 2021,12
Mississippi,Sep 25 2021,8
Mississippi,Sep 24 2021,8
Mississippi,Sep 23 2021,9
Mississippi,Sep 22 2021,24
Mississippi,Sep 21 2021,15
Mississippi,Sep 20 2021,19
Mississippi,Sep 19 2021,9
Mississippi,Sep 18 2021,7
Mississippi,Sep 17 2021,7
Mississippi,Sep 16 2021,24
Mississippi,Sep 15 2021,27
Mississippi,Sep 14 2021,35
Mississippi,Sep 13 2021,42
Mississippi,Sep 12 2021,19
Mississippi,Sep 11 2021,17
Mississippi,Sep 10 2021,17
Mississippi,Sep  9 2021,29
Mississippi,Sep  8 2021,59
Mississippi,Sep  7 2021,25
Mississippi,Sep  6 2021,6
Mississippi,Sep  5 2021,27
Mississippi,Sep  4 2021,24
Mississippi,Sep  3 2021,24
Mississippi,Sep  2 2021,18
Mississippi,Sep  1 2021,17
Mississippi,Aug 31 2021,31
Mississippi,Aug 30 2021,21
Mississippi,Aug 29 2021,17
Mississippi,Aug 28 2021,16
Mississippi,Aug 27 2021,16
Mississippi,Aug 26 2021,35
Mississippi,Aug 25 2021,27
Mississippi,Aug 24 2021,19
Mississippi,Aug 23 2021,41
Mississippi,Aug 22 2021,15
Mississippi,Aug 21 2021,14
Mississippi,Aug 20 2021,14
Mississippi,Aug 19 2021,25
Mississippi,Aug 18 2021,6
Mississippi,Aug 17 2021,0
Mississippi,Aug 16 2021,16
Mississippi,Aug 15 2021,1
Mississippi,Aug 14 2021,2
Mississippi,Aug 13 2021,12
Mississippi,Aug 12 2021,10
Mississippi,Aug 11 2021,20
Mississippi,Aug 10 2021,13
Mississippi,Aug  9 2021,1
Mississippi,Aug  8 2021,2
Mississippi,Aug  7 2021,10
Mississippi,Aug  6 2021,12
Mississippi,Aug  5 2021,13
Mississippi,Aug  4 2021,14
Mississippi,Aug  3 2021,14
Mississippi,Aug  2 2021,17
Mississippi,Aug  1 2021,10
Mississippi,Jul 31 2021,10
Mississippi,Jul 30 2021,20
Mississippi,Jul 29 2021,12
Mississippi,Jul 28 2021,12
Mississippi,Jul 27 2021,13
Mississippi,Jul 26 2021,22
Mississippi,Jul 25 2021,6
Mississippi,Jul 24 2021,12
Mississippi,Jul 23 2021,9
Mississippi,Jul 22 2021,6
Mississippi,Jul 21 2021,16
Mississippi,Jul 20 2021,17
Mississippi,Jul 19 2021,10
Mississippi,Jul 18 2021,9
Mississippi,Jul 17 2021,4
Mississippi,Jul 16 2021,6
Mississippi,Jul 15 2021,8
Mississippi,Jul 14 2021,6
