Data Table for Daily Death Trends - Missouri
Date generated: Mon Nov 15 2021 12:10:32 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Missouri,Nov 12 2021,7
Missouri,Nov 11 2021,2
Missouri,Nov 10 2021,0
Missouri,Nov  9 2021,9
Missouri,Nov  8 2021,100
Missouri,Nov  7 2021,0
Missouri,Nov  6 2021,0
Missouri,Nov  5 2021,7
Missouri,Nov  4 2021,5
Missouri,Nov  3 2021,1
Missouri,Nov  2 2021,9
Missouri,Nov  1 2021,148
Missouri,Oct 31 2021,0
Missouri,Oct 30 2021,0
Missouri,Oct 29 2021,4
Missouri,Oct 28 2021,8
Missouri,Oct 27 2021,27
Missouri,Oct 26 2021,0
Missouri,Oct 25 2021,65
Missouri,Oct 24 2021,0
Missouri,Oct 23 2021,0
Missouri,Oct 22 2021,3
Missouri,Oct 21 2021,8
Missouri,Oct 20 2021,7
Missouri,Oct 19 2021,15
Missouri,Oct 18 2021,84
Missouri,Oct 17 2021,1
Missouri,Oct 16 2021,2
Missouri,Oct 15 2021,6
Missouri,Oct 14 2021,6
Missouri,Oct 13 2021,16
Missouri,Oct 12 2021,106
Missouri,Oct 11 2021,5
Missouri,Oct 10 2021,0
Missouri,Oct  9 2021,1
Missouri,Oct  8 2021,3
Missouri,Oct  7 2021,5
Missouri,Oct  6 2021,9
Missouri,Oct  5 2021,12
Missouri,Oct  4 2021,140
Missouri,Oct  3 2021,0
Missouri,Oct  2 2021,2
Missouri,Oct  1 2021,7
Missouri,Sep 30 2021,22
Missouri,Sep 29 2021,8
Missouri,Sep 28 2021,12
Missouri,Sep 27 2021,141
Missouri,Sep 26 2021,0
Missouri,Sep 25 2021,1
Missouri,Sep 24 2021,13
Missouri,Sep 23 2021,4
Missouri,Sep 22 2021,24
Missouri,Sep 21 2021,14
Missouri,Sep 20 2021,213
Missouri,Sep 19 2021,1
Missouri,Sep 18 2021,0
Missouri,Sep 17 2021,15
Missouri,Sep 16 2021,19
Missouri,Sep 15 2021,6
Missouri,Sep 14 2021,12
Missouri,Sep 13 2021,134
Missouri,Sep 12 2021,0
Missouri,Sep 11 2021,2
