Data Table for Daily Death Trends - Nebraska
Date generated: Mon Nov 15 2021 12:10:46 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Nebraska,Nov 12 2021,4
Nebraska,Nov 11 2021,0
Nebraska,Nov 10 2021,2
Nebraska,Nov  9 2021,2
Nebraska,Nov  8 2021,39
Nebraska,Nov  7 2021,0
Nebraska,Nov  6 2021,0
Nebraska,Nov  5 2021,0
Nebraska,Nov  4 2021,13
Nebraska,Nov  3 2021,1
Nebraska,Nov  2 2021,3
Nebraska,Nov  1 2021,9
Nebraska,Oct 31 2021,0
Nebraska,Oct 30 2021,0
Nebraska,Oct 29 2021,21
Nebraska,Oct 28 2021,0
Nebraska,Oct 27 2021,12
Nebraska,Oct 26 2021,1
Nebraska,Oct 25 2021,3
Nebraska,Oct 24 2021,0
Nebraska,Oct 23 2021,0
Nebraska,Oct 22 2021,0
Nebraska,Oct 21 2021,10
Nebraska,Oct 20 2021,4
Nebraska,Oct 19 2021,4
Nebraska,Oct 18 2021,8
Nebraska,Oct 17 2021,7
Nebraska,Oct 16 2021,7
Nebraska,Oct 15 2021,1
Nebraska,Oct 14 2021,12
Nebraska,Oct 13 2021,15
Nebraska,Oct 12 2021,14
Nebraska,Oct 11 2021,1
Nebraska,Oct 10 2021,0
Nebraska,Oct  9 2021,0
Nebraska,Oct  8 2021,10
Nebraska,Oct  7 2021,3
Nebraska,Oct  6 2021,1
Nebraska,Oct  5 2021,1
Nebraska,Oct  4 2021,0
Nebraska,Oct  3 2021,0
Nebraska,Oct  2 2021,0
Nebraska,Oct  1 2021,0
Nebraska,Sep 30 2021,8
Nebraska,Sep 29 2021,5
Nebraska,Sep 28 2021,14
Nebraska,Sep 27 2021,4
Nebraska,Sep 26 2021,3
Nebraska,Sep 25 2021,3
Nebraska,Sep 24 2021,3
Nebraska,Sep 23 2021,2
Nebraska,Sep 22 2021,21
Nebraska,Sep 21 2021,3
Nebraska,Sep 20 2021,2
Nebraska,Sep 19 2021,2
Nebraska,Sep 18 2021,2
Nebraska,Sep 17 2021,2
Nebraska,Sep 16 2021,3
Nebraska,Sep 15 2021,3
Nebraska,Sep 14 2021,3
Nebraska,Sep 13 2021,2
Nebraska,Sep 12 2021,2
Nebraska,Sep 11 2021,2
Nebraska,Sep 10 2021,2
Nebraska,Sep  9 2021,1
Nebraska,Sep  8 2021,0
Nebraska,Sep  7 2021,5
Nebraska,Sep  6 2021,1
Nebraska,Sep  5 2021,0
Nebraska,Sep  4 2021,0
Nebraska,Sep  3 2021,0
Nebraska,Sep  2 2021,8
Nebraska,Sep  1 2021,17
