Data Table for Daily Death Trends - Nevada
Date generated: Mon Nov 15 2021 12:10:53 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Nevada,Nov 12 2021,11
Nevada,Nov 11 2021,0
Nevada,Nov 10 2021,19
Nevada,Nov  9 2021,19
Nevada,Nov  8 2021,46
Nevada,Nov  7 2021,0
Nevada,Nov  6 2021,0
Nevada,Nov  5 2021,21
Nevada,Nov  4 2021,15
Nevada,Nov  3 2021,9
Nevada,Nov  2 2021,12
Nevada,Nov  1 2021,25
Nevada,Oct 31 2021,0
Nevada,Oct 30 2021,0
Nevada,Oct 29 2021,0
Nevada,Oct 28 2021,31
Nevada,Oct 27 2021,23
Nevada,Oct 26 2021,30
Nevada,Oct 25 2021,24
Nevada,Oct 24 2021,0
Nevada,Oct 23 2021,0
Nevada,Oct 22 2021,10
Nevada,Oct 21 2021,29
Nevada,Oct 20 2021,18
Nevada,Oct 19 2021,15
Nevada,Oct 18 2021,11
Nevada,Oct 17 2021,9
Nevada,Oct 16 2021,9
Nevada,Oct 15 2021,10
Nevada,Oct 14 2021,45
Nevada,Oct 13 2021,22
Nevada,Oct 12 2021,30
Nevada,Oct 11 2021,10
Nevada,Oct 10 2021,10
Nevada,Oct  9 2021,10
Nevada,Oct  8 2021,39
Nevada,Oct  7 2021,0
Nevada,Oct  6 2021,25
Nevada,Oct  5 2021,33
Nevada,Oct  4 2021,8
Nevada,Oct  3 2021,7
Nevada,Oct  2 2021,7
Nevada,Oct  1 2021,16
Nevada,Sep 30 2021,43
Nevada,Sep 29 2021,34
Nevada,Sep 28 2021,28
Nevada,Sep 27 2021,10
Nevada,Sep 26 2021,10
Nevada,Sep 25 2021,10
Nevada,Sep 24 2021,32
Nevada,Sep 23 2021,35
Nevada,Sep 22 2021,30
Nevada,Sep 21 2021,38
Nevada,Sep 20 2021,13
Nevada,Sep 19 2021,11
Nevada,Sep 18 2021,11
Nevada,Sep 17 2021,24
Nevada,Sep 16 2021,32
Nevada,Sep 15 2021,26
Nevada,Sep 14 2021,35
Nevada,Sep 13 2021,10
Nevada,Sep 12 2021,8
Nevada,Sep 11 2021,8
Nevada,Sep 10 2021,21
Nevada,Sep  9 2021,44
Nevada,Sep  8 2021,33
Nevada,Sep  7 2021,6
Nevada,Sep  6 2021,5
Nevada,Sep  5 2021,5
Nevada,Sep  4 2021,5
Nevada,Sep  3 2021,18
Nevada,Sep  2 2021,26
Nevada,Sep  1 2021,29
Nevada,Aug 31 2021,31
Nevada,Aug 30 2021,16
Nevada,Aug 29 2021,15
Nevada,Aug 28 2021,15
Nevada,Aug 27 2021,35
Nevada,Aug 26 2021,22
Nevada,Aug 25 2021,24
Nevada,Aug 24 2021,46
Nevada,Aug 23 2021,10
Nevada,Aug 22 2021,8
Nevada,Aug 21 2021,8
Nevada,Aug 20 2021,21
Nevada,Aug 19 2021,11
Nevada,Aug 18 2021,25
Nevada,Aug 17 2021,33
Nevada,Aug 16 2021,10
Nevada,Aug 15 2021,10
Nevada,Aug 14 2021,10
Nevada,Aug 13 2021,40
Nevada,Aug 12 2021,24
Nevada,Aug 11 2021,16
Nevada,Aug 10 2021,40
Nevada,Aug  9 2021,13
Nevada,Aug  8 2021,11
Nevada,Aug  7 2021,11
Nevada,Aug  6 2021,26
Nevada,Aug  5 2021,26
Nevada,Aug  4 2021,24
Nevada,Aug  3 2021,11
Nevada,Aug  2 2021,2
Nevada,Aug  1 2021,2
Nevada,Jul 31 2021,2
Nevada,Jul 30 2021,12
Nevada,Jul 29 2021,26
Nevada,Jul 28 2021,20
Nevada,Jul 27 2021,17
Nevada,Jul 26 2021,8
Nevada,Jul 25 2021,6
Nevada,Jul 24 2021,6
Nevada,Jul 23 2021,20
Nevada,Jul 22 2021,8
Nevada,Jul 21 2021,28
Nevada,Jul 20 2021,0
Nevada,Jul 19 2021,1
Nevada,Jul 18 2021,1
Nevada,Jul 17 2021,1
Nevada,Jul 16 2021,6
Nevada,Jul 15 2021,15
Nevada,Jul 14 2021,6
Nevada,Jul 13 2021,1
Nevada,Jul 12 2021,4
Nevada,Jul 11 2021,3
Nevada,Jul 10 2021,3
Nevada,Jul  9 2021,13
Nevada,Jul  8 2021,2
Nevada,Jul  7 2021,3
Nevada,Jul  6 2021,2
Nevada,Jul  5 2021,1
Nevada,Jul  4 2021,1
Nevada,Jul  3 2021,1
Nevada,Jul  2 2021,5
Nevada,Jul  1 2021,11
Nevada,Jun 30 2021,3
Nevada,Jun 29 2021,8
Nevada,Jun 28 2021,1
Nevada,Jun 27 2021,1
Nevada,Jun 26 2021,1
Nevada,Jun 25 2021,3
Nevada,Jun 24 2021,10
Nevada,Jun 23 2021,1
Nevada,Jun 22 2021,7
Nevada,Jun 21 2021,0
Nevada,Jun 20 2021,0
Nevada,Jun 19 2021,0
Nevada,Jun 18 2021,7
Nevada,Jun 17 2021,7
Nevada,Jun 16 2021,9
Nevada,Jun 15 2021,2
Nevada,Jun 14 2021,2
Nevada,Jun 13 2021,0
Nevada,Jun 12 2021,6
Nevada,Jun 11 2021,2
Nevada,Jun 10 2021,2
Nevada,Jun  9 2021,2
Nevada,Jun  8 2021,3
Nevada,Jun  7 2021,7
Nevada,Jun  6 2021,0
Nevada,Jun  5 2021,0
Nevada,Jun  4 2021,1
Nevada,Jun  3 2021,6
Nevada,Jun  2 2021,3
Nevada,Jun  1 2021,4
Nevada,May 31 2021,0
Nevada,May 30 2021,0
Nevada,May 29 2021,0
Nevada,May 28 2021,8
Nevada,May 27 2021,8
Nevada,May 26 2021,7
Nevada,May 25 2021,4
Nevada,May 24 2021,7
Nevada,May 23 2021,0
Nevada,May 22 2021,0
Nevada,May 21 2021,2
Nevada,May 20 2021,5
Nevada,May 19 2021,5
Nevada,May 18 2021,7
Nevada,May 17 2021,3
Nevada,May 16 2021,0
Nevada,May 15 2021,0
Nevada,May 14 2021,7
Nevada,May 13 2021,8
Nevada,May 12 2021,6
Nevada,May 11 2021,3
Nevada,May 10 2021,8
Nevada,May  9 2021,0
Nevada,May  8 2021,0
Nevada,May  7 2021,8
Nevada,May  6 2021,3
Nevada,May  5 2021,7
Nevada,May  4 2021,7
Nevada,May  3 2021,9
Nevada,May  2 2021,0
Nevada,May  1 2021,0
Nevada,Apr 30 2021,5
Nevada,Apr 29 2021,11
Nevada,Apr 28 2021,4
Nevada,Apr 27 2021,11
Nevada,Apr 26 2021,11
Nevada,Apr 25 2021,0
Nevada,Apr 24 2021,0
Nevada,Apr 23 2021,22
Nevada,Apr 22 2021,12
Nevada,Apr 21 2021,11
Nevada,Apr 20 2021,9
Nevada,Apr 19 2021,1
Nevada,Apr 18 2021,1
Nevada,Apr 17 2021,1
Nevada,Apr 16 2021,6
Nevada,Apr 15 2021,6
Nevada,Apr 14 2021,14
Nevada,Apr 13 2021,7
Nevada,Apr 12 2021,0
Nevada,Apr 11 2021,0
Nevada,Apr 10 2021,9
Nevada,Apr  9 2021,10
Nevada,Apr  8 2021,5
Nevada,Apr  7 2021,11
Nevada,Apr  6 2021,22
Nevada,Apr  5 2021,1
Nevada,Apr  4 2021,0
Nevada,Apr  3 2021,14
Nevada,Apr  2 2021,4
Nevada,Apr  1 2021,7
Nevada,Mar 31 2021,10
Nevada,Mar 30 2021,2
Nevada,Mar 29 2021,1
Nevada,Mar 28 2021,0
Nevada,Mar 27 2021,10
Nevada,Mar 26 2021,11
Nevada,Mar 25 2021,12
Nevada,Mar 24 2021,15
Nevada,Mar 23 2021,14
Nevada,Mar 22 2021,2
Nevada,Mar 21 2021,1
Nevada,Mar 20 2021,10
Nevada,Mar 19 2021,4
Nevada,Mar 18 2021,10
Nevada,Mar 17 2021,12
Nevada,Mar 16 2021,14
Nevada,Mar 15 2021,3
Nevada,Mar 14 2021,1
Nevada,Mar 13 2021,20
Nevada,Mar 12 2021,17
Nevada,Mar 11 2021,13
Nevada,Mar 10 2021,13
Nevada,Mar  9 2021,14
Nevada,Mar  8 2021,3
Nevada,Mar  7 2021,1
Nevada,Mar  6 2021,16
Nevada,Mar  5 2021,15
Nevada,Mar  4 2021,18
Nevada,Mar  3 2021,20
Nevada,Mar  2 2021,10
Nevada,Mar  1 2021,0
Nevada,Feb 28 2021,0
Nevada,Feb 27 2021,15
Nevada,Feb 26 2021,9
Nevada,Feb 25 2021,14
Nevada,Feb 24 2021,16
Nevada,Feb 23 2021,21
Nevada,Feb 22 2021,10
Nevada,Feb 21 2021,4
Nevada,Feb 20 2021,37
Nevada,Feb 19 2021,26
Nevada,Feb 18 2021,31
Nevada,Feb 17 2021,41
Nevada,Feb 16 2021,13
Nevada,Feb 15 2021,11
Nevada,Feb 14 2021,15
Nevada,Feb 13 2021,31
Nevada,Feb 12 2021,26
Nevada,Feb 11 2021,55
Nevada,Feb 10 2021,23
Nevada,Feb  9 2021,37
Nevada,Feb  8 2021,2
Nevada,Feb  7 2021,24
Nevada,Feb  6 2021,33
Nevada,Feb  5 2021,39
Nevada,Feb  4 2021,51
Nevada,Feb  3 2021,49
Nevada,Feb  2 2021,46
Nevada,Feb  1 2021,8
Nevada,Jan 31 2021,6
Nevada,Jan 30 2021,46
Nevada,Jan 29 2021,37
Nevada,Jan 28 2021,47
Nevada,Jan 27 2021,46
Nevada,Jan 26 2021,59
Nevada,Jan 25 2021,3
Nevada,Jan 24 2021,15
Nevada,Jan 23 2021,53
Nevada,Jan 22 2021,48
Nevada,Jan 21 2021,47
Nevada,Jan 20 2021,71
Nevada,Jan 19 2021,8
Nevada,Jan 18 2021,5
Nevada,Jan 17 2021,18
Nevada,Jan 16 2021,63
