Data Table for Daily Death Trends - New Hampshire
Date generated: Mon Nov 15 2021 12:11:00 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
New Hampshire,Nov 12 2021,5
New Hampshire,Nov 11 2021,0
New Hampshire,Nov 10 2021,4
New Hampshire,Nov  9 2021,14
New Hampshire,Nov  8 2021,2
New Hampshire,Nov  7 2021,0
New Hampshire,Nov  6 2021,0
New Hampshire,Nov  5 2021,5
New Hampshire,Nov  4 2021,11
New Hampshire,Nov  3 2021,9
New Hampshire,Nov  2 2021,4
New Hampshire,Nov  1 2021,3
New Hampshire,Oct 31 2021,0
New Hampshire,Oct 30 2021,0
New Hampshire,Oct 29 2021,21
New Hampshire,Oct 28 2021,0
New Hampshire,Oct 27 2021,0
New Hampshire,Oct 26 2021,0
New Hampshire,Oct 25 2021,1
New Hampshire,Oct 24 2021,0
New Hampshire,Oct 23 2021,0
New Hampshire,Oct 22 2021,4
New Hampshire,Oct 21 2021,2
New Hampshire,Oct 20 2021,5
New Hampshire,Oct 19 2021,8
New Hampshire,Oct 18 2021,2
New Hampshire,Oct 17 2021,1
New Hampshire,Oct 16 2021,1
New Hampshire,Oct 15 2021,4
New Hampshire,Oct 14 2021,5
New Hampshire,Oct 13 2021,2
New Hampshire,Oct 12 2021,11
New Hampshire,Oct 11 2021,1
New Hampshire,Oct 10 2021,0
New Hampshire,Oct  9 2021,0
New Hampshire,Oct  8 2021,0
New Hampshire,Oct  7 2021,4
New Hampshire,Oct  6 2021,3
New Hampshire,Oct  5 2021,5
New Hampshire,Oct  4 2021,2
New Hampshire,Oct  3 2021,1
New Hampshire,Oct  2 2021,1
New Hampshire,Oct  1 2021,0
New Hampshire,Sep 30 2021,2
New Hampshire,Sep 29 2021,2
New Hampshire,Sep 28 2021,1
New Hampshire,Sep 27 2021,2
New Hampshire,Sep 26 2021,1
New Hampshire,Sep 25 2021,1
New Hampshire,Sep 24 2021,3
New Hampshire,Sep 23 2021,3
New Hampshire,Sep 22 2021,4
New Hampshire,Sep 21 2021,4
New Hampshire,Sep 20 2021,1
New Hampshire,Sep 19 2021,0
New Hampshire,Sep 18 2021,0
New Hampshire,Sep 17 2021,5
New Hampshire,Sep 16 2021,0
New Hampshire,Sep 15 2021,4
New Hampshire,Sep 14 2021,5
New Hampshire,Sep 13 2021,2
New Hampshire,Sep 12 2021,0
New Hampshire,Sep 11 2021,0
New Hampshire,Sep 10 2021,5
New Hampshire,Sep  9 2021,5
New Hampshire,Sep  8 2021,1
New Hampshire,Sep  7 2021,1
New Hampshire,Sep  6 2021,1
New Hampshire,Sep  5 2021,1
New Hampshire,Sep  4 2021,1
New Hampshire,Sep  3 2021,5
New Hampshire,Sep  2 2021,1
New Hampshire,Sep  1 2021,3
New Hampshire,Aug 31 2021,1
New Hampshire,Aug 30 2021,1
New Hampshire,Aug 29 2021,0
New Hampshire,Aug 28 2021,0
New Hampshire,Aug 27 2021,5
New Hampshire,Aug 26 2021,2
New Hampshire,Aug 25 2021,3
New Hampshire,Aug 24 2021,3
New Hampshire,Aug 23 2021,3
New Hampshire,Aug 22 2021,1
New Hampshire,Aug 21 2021,1
New Hampshire,Aug 20 2021,0
New Hampshire,Aug 19 2021,1
New Hampshire,Aug 18 2021,0
New Hampshire,Aug 17 2021,1
New Hampshire,Aug 16 2021,0
New Hampshire,Aug 15 2021,0
New Hampshire,Aug 14 2021,0
New Hampshire,Aug 13 2021,1
New Hampshire,Aug 12 2021,1
New Hampshire,Aug 11 2021,2
New Hampshire,Aug 10 2021,2
New Hampshire,Aug  9 2021,0
New Hampshire,Aug  8 2021,0
New Hampshire,Aug  7 2021,0
New Hampshire,Aug  6 2021,0
New Hampshire,Aug  5 2021,0
New Hampshire,Aug  4 2021,1
New Hampshire,Aug  3 2021,1
New Hampshire,Aug  2 2021,0
New Hampshire,Aug  1 2021,0
New Hampshire,Jul 31 2021,0
New Hampshire,Jul 30 2021,0
New Hampshire,Jul 29 2021,1
New Hampshire,Jul 28 2021,0
New Hampshire,Jul 27 2021,1
New Hampshire,Jul 26 2021,0
New Hampshire,Jul 25 2021,0
New Hampshire,Jul 24 2021,0
New Hampshire,Jul 23 2021,0
New Hampshire,Jul 22 2021,1
New Hampshire,Jul 21 2021,0
New Hampshire,Jul 20 2021,2
New Hampshire,Jul 19 2021,1
New Hampshire,Jul 18 2021,0
New Hampshire,Jul 17 2021,0
New Hampshire,Jul 16 2021,0
New Hampshire,Jul 15 2021,0
New Hampshire,Jul 14 2021,0
New Hampshire,Jul 13 2021,6
New Hampshire,Jul 12 2021,0
New Hampshire,Jul 11 2021,0
New Hampshire,Jul 10 2021,0
New Hampshire,Jul  9 2021,1
New Hampshire,Jul  8 2021,0
New Hampshire,Jul  7 2021,1
New Hampshire,Jul  6 2021,1
New Hampshire,Jul  5 2021,0
New Hampshire,Jul  4 2021,0
New Hampshire,Jul  3 2021,0
New Hampshire,Jul  2 2021,0
New Hampshire,Jul  1 2021,0
New Hampshire,Jun 30 2021,1
New Hampshire,Jun 29 2021,0
New Hampshire,Jun 28 2021,0
New Hampshire,Jun 27 2021,0
New Hampshire,Jun 26 2021,0
New Hampshire,Jun 25 2021,2
New Hampshire,Jun 24 2021,0
New Hampshire,Jun 23 2021,1
New Hampshire,Jun 22 2021,1
New Hampshire,Jun 21 2021,0
New Hampshire,Jun 20 2021,0
New Hampshire,Jun 19 2021,0
New Hampshire,Jun 18 2021,1
New Hampshire,Jun 17 2021,2
New Hampshire,Jun 16 2021,0
New Hampshire,Jun 15 2021,1
New Hampshire,Jun 14 2021,3
New Hampshire,Jun 13 2021,0
New Hampshire,Jun 12 2021,0
New Hampshire,Jun 11 2021,0
New Hampshire,Jun 10 2021,3
New Hampshire,Jun  9 2021,0
New Hampshire,Jun  8 2021,0
New Hampshire,Jun  7 2021,2
New Hampshire,Jun  6 2021,0
New Hampshire,Jun  5 2021,0
New Hampshire,Jun  4 2021,1
New Hampshire,Jun  3 2021,1
New Hampshire,Jun  2 2021,0
New Hampshire,Jun  1 2021,0
New Hampshire,May 31 2021,0
New Hampshire,May 30 2021,1
New Hampshire,May 29 2021,1
New Hampshire,May 28 2021,2
New Hampshire,May 27 2021,3
New Hampshire,May 26 2021,2
New Hampshire,May 25 2021,0
New Hampshire,May 24 2021,0
New Hampshire,May 23 2021,0
New Hampshire,May 22 2021,3
New Hampshire,May 21 2021,0
New Hampshire,May 20 2021,1
New Hampshire,May 19 2021,1
New Hampshire,May 18 2021,6
New Hampshire,May 17 2021,1
New Hampshire,May 16 2021,1
New Hampshire,May 15 2021,2
New Hampshire,May 14 2021,3
New Hampshire,May 13 2021,4
New Hampshire,May 12 2021,4
New Hampshire,May 11 2021,3
New Hampshire,May 10 2021,0
New Hampshire,May  9 2021,1
New Hampshire,May  8 2021,3
New Hampshire,May  7 2021,0
New Hampshire,May  6 2021,3
New Hampshire,May  5 2021,1
New Hampshire,May  4 2021,2
New Hampshire,May  3 2021,0
New Hampshire,May  2 2021,1
New Hampshire,May  1 2021,1
New Hampshire,Apr 30 2021,2
New Hampshire,Apr 29 2021,5
New Hampshire,Apr 28 2021,2
New Hampshire,Apr 27 2021,8
New Hampshire,Apr 26 2021,2
New Hampshire,Apr 25 2021,2
New Hampshire,Apr 24 2021,1
New Hampshire,Apr 23 2021,7
New Hampshire,Apr 22 2021,1
New Hampshire,Apr 21 2021,2
New Hampshire,Apr 20 2021,1
New Hampshire,Apr 19 2021,0
New Hampshire,Apr 18 2021,4
New Hampshire,Apr 17 2021,0
New Hampshire,Apr 16 2021,2
New Hampshire,Apr 15 2021,3
New Hampshire,Apr 14 2021,4
New Hampshire,Apr 13 2021,0
New Hampshire,Apr 12 2021,0
New Hampshire,Apr 11 2021,1
New Hampshire,Apr 10 2021,3
New Hampshire,Apr  9 2021,2
New Hampshire,Apr  8 2021,1
New Hampshire,Apr  7 2021,1
New Hampshire,Apr  6 2021,0
New Hampshire,Apr  5 2021,0
New Hampshire,Apr  4 2021,2
New Hampshire,Apr  3 2021,2
New Hampshire,Apr  2 2021,0
New Hampshire,Apr  1 2021,7
New Hampshire,Mar 31 2021,1
New Hampshire,Mar 30 2021,0
New Hampshire,Mar 29 2021,0
New Hampshire,Mar 28 2021,2
New Hampshire,Mar 27 2021,4
New Hampshire,Mar 26 2021,2
New Hampshire,Mar 25 2021,1
New Hampshire,Mar 24 2021,10
New Hampshire,Mar 23 2021,1
New Hampshire,Mar 22 2021,0
New Hampshire,Mar 21 2021,0
New Hampshire,Mar 20 2021,4
New Hampshire,Mar 19 2021,6
New Hampshire,Mar 18 2021,5
New Hampshire,Mar 17 2021,0
New Hampshire,Mar 16 2021,3
New Hampshire,Mar 15 2021,0
New Hampshire,Mar 14 2021,0
New Hampshire,Mar 13 2021,4
New Hampshire,Mar 12 2021,4
New Hampshire,Mar 11 2021,4
New Hampshire,Mar 10 2021,2
New Hampshire,Mar  9 2021,1
New Hampshire,Mar  8 2021,0
New Hampshire,Mar  7 2021,3
New Hampshire,Mar  6 2021,3
New Hampshire,Mar  5 2021,0
New Hampshire,Mar  4 2021,3
New Hampshire,Mar  3 2021,5
New Hampshire,Mar  2 2021,0
New Hampshire,Mar  1 2021,0
New Hampshire,Feb 28 2021,0
New Hampshire,Feb 27 2021,3
New Hampshire,Feb 26 2021,4
New Hampshire,Feb 25 2021,6
New Hampshire,Feb 24 2021,2
New Hampshire,Feb 23 2021,1
New Hampshire,Feb 22 2021,0
New Hampshire,Feb 21 2021,1
New Hampshire,Feb 20 2021,1
New Hampshire,Feb 19 2021,2
New Hampshire,Feb 18 2021,2
New Hampshire,Feb 17 2021,12
New Hampshire,Feb 16 2021,1
New Hampshire,Feb 15 2021,2
New Hampshire,Feb 14 2021,3
New Hampshire,Feb 13 2021,4
New Hampshire,Feb 12 2021,9
New Hampshire,Feb 11 2021,1
New Hampshire,Feb 10 2021,7
New Hampshire,Feb  9 2021,3
New Hampshire,Feb  8 2021,2
New Hampshire,Feb  7 2021,6
New Hampshire,Feb  6 2021,7
New Hampshire,Feb  5 2021,6
New Hampshire,Feb  4 2021,9
New Hampshire,Feb  3 2021,10
New Hampshire,Feb  2 2021,7
New Hampshire,Feb  1 2021,2
New Hampshire,Jan 31 2021,15
New Hampshire,Jan 30 2021,6
New Hampshire,Jan 29 2021,14
New Hampshire,Jan 28 2021,16
New Hampshire,Jan 27 2021,12
New Hampshire,Jan 26 2021,4
New Hampshire,Jan 25 2021,3
New Hampshire,Jan 24 2021,6
New Hampshire,Jan 23 2021,10
New Hampshire,Jan 22 2021,9
New Hampshire,Jan 21 2021,12
New Hampshire,Jan 20 2021,12
New Hampshire,Jan 19 2021,5
New Hampshire,Jan 18 2021,0
New Hampshire,Jan 17 2021,6
New Hampshire,Jan 16 2021,19
New Hampshire,Jan 15 2021,11
New Hampshire,Jan 14 2021,12
New Hampshire,Jan 13 2021,7
New Hampshire,Jan 12 2021,9
New Hampshire,Jan 11 2021,0
New Hampshire,Jan 10 2021,7
New Hampshire,Jan  9 2021,16
New Hampshire,Jan  8 2021,19
New Hampshire,Jan  7 2021,11
New Hampshire,Jan  6 2021,24
New Hampshire,Jan  5 2021,11
New Hampshire,Jan  4 2021,1
New Hampshire,Jan  3 2021,11
New Hampshire,Jan  2 2021,11
New Hampshire,Jan  1 2021,0
New Hampshire,Dec 31 2020,17
New Hampshire,Dec 30 2020,6
New Hampshire,Dec 29 2020,20
New Hampshire,Dec 28 2020,7
New Hampshire,Dec 27 2020,7
New Hampshire,Dec 26 2020,11
New Hampshire,Dec 25 2020,0
New Hampshire,Dec 24 2020,13
New Hampshire,Dec 23 2020,21
New Hampshire,Dec 22 2020,0
New Hampshire,Dec 21 2020,0
New Hampshire,Dec 20 2020,6
New Hampshire,Dec 19 2020,12
New Hampshire,Dec 18 2020,9
New Hampshire,Dec 17 2020,4
New Hampshire,Dec 16 2020,21
New Hampshire,Dec 15 2020,0
New Hampshire,Dec 14 2020,1
New Hampshire,Dec 13 2020,3
New Hampshire,Dec 12 2020,10
New Hampshire,Dec 11 2020,6
New Hampshire,Dec 10 2020,14
New Hampshire,Dec  9 2020,4
New Hampshire,Dec  8 2020,0
New Hampshire,Dec  7 2020,2
New Hampshire,Dec  6 2020,5
New Hampshire,Dec  5 2020,7
New Hampshire,Dec  4 2020,8
New Hampshire,Dec  3 2020,7
New Hampshire,Dec  2 2020,9
New Hampshire,Dec  1 2020,2
New Hampshire,Nov 30 2020,0
New Hampshire,Nov 29 2020,3
New Hampshire,Nov 28 2020,6
New Hampshire,Nov 27 2020,3
New Hampshire,Nov 26 2020,0
New Hampshire,Nov 25 2020,1
New Hampshire,Nov 24 2020,1
New Hampshire,Nov 23 2020,0
New Hampshire,Nov 22 2020,4
New Hampshire,Nov 21 2020,1
New Hampshire,Nov 20 2020,1
New Hampshire,Nov 19 2020,2
New Hampshire,Nov 18 2020,2
New Hampshire,Nov 17 2020,2
New Hampshire,Nov 16 2020,1
New Hampshire,Nov 15 2020,0
New Hampshire,Nov 14 2020,1
New Hampshire,Nov 13 2020,3
New Hampshire,Nov 12 2020,3
New Hampshire,Nov 11 2020,3
New Hampshire,Nov 10 2020,0
New Hampshire,Nov  9 2020,0
New Hampshire,Nov  8 2020,0
New Hampshire,Nov  7 2020,1
New Hampshire,Nov  6 2020,2
New Hampshire,Nov  5 2020,2
New Hampshire,Nov  4 2020,1
New Hampshire,Nov  3 2020,0
New Hampshire,Nov  2 2020,0
New Hampshire,Nov  1 2020,0
New Hampshire,Oct 31 2020,1
New Hampshire,Oct 30 2020,0
New Hampshire,Oct 29 2020,4
New Hampshire,Oct 28 2020,3
New Hampshire,Oct 27 2020,0
New Hampshire,Oct 26 2020,2
New Hampshire,Oct 25 2020,0
New Hampshire,Oct 24 2020,2
New Hampshire,Oct 23 2020,1
New Hampshire,Oct 22 2020,1
New Hampshire,Oct 21 2020,1
New Hampshire,Oct 20 2020,0
New Hampshire,Oct 19 2020,1
New Hampshire,Oct 18 2020,1
New Hampshire,Oct 17 2020,1
New Hampshire,Oct 16 2020,2
