Data Table for Daily Death Trends - New Jersey
Date generated: Mon Nov 15 2021 12:11:09 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
New Jersey,Nov 12 2021,6
New Jersey,Nov 11 2021,12
New Jersey,Nov 10 2021,15
New Jersey,Nov  9 2021,27
New Jersey,Nov  8 2021,7
New Jersey,Nov  7 2021,5
New Jersey,Nov  6 2021,18
New Jersey,Nov  5 2021,51
New Jersey,Nov  4 2021,0
New Jersey,Nov  3 2021,7
New Jersey,Nov  2 2021,24
New Jersey,Nov  1 2021,8
New Jersey,Oct 31 2021,0
New Jersey,Oct 30 2021,11
New Jersey,Oct 29 2021,12
New Jersey,Oct 28 2021,20
New Jersey,Oct 27 2021,33
New Jersey,Oct 26 2021,33
New Jersey,Oct 25 2021,12
New Jersey,Oct 24 2021,3
New Jersey,Oct 23 2021,20
New Jersey,Oct 22 2021,23
New Jersey,Oct 21 2021,22
New Jersey,Oct 20 2021,15
New Jersey,Oct 19 2021,31
New Jersey,Oct 18 2021,12
New Jersey,Oct 17 2021,5
New Jersey,Oct 16 2021,28
New Jersey,Oct 15 2021,19
New Jersey,Oct 14 2021,20
New Jersey,Oct 13 2021,29
New Jersey,Oct 12 2021,21
New Jersey,Oct 11 2021,6
New Jersey,Oct 10 2021,7
New Jersey,Oct  9 2021,20
New Jersey,Oct  8 2021,19
New Jersey,Oct  7 2021,9
New Jersey,Oct  6 2021,17
New Jersey,Oct  5 2021,37
New Jersey,Oct  4 2021,16
New Jersey,Oct  3 2021,7
New Jersey,Oct  2 2021,22
New Jersey,Oct  1 2021,16
New Jersey,Sep 30 2021,27
New Jersey,Sep 29 2021,20
New Jersey,Sep 28 2021,34
New Jersey,Sep 27 2021,18
New Jersey,Sep 26 2021,5
New Jersey,Sep 25 2021,16
New Jersey,Sep 24 2021,19
New Jersey,Sep 23 2021,24
New Jersey,Sep 22 2021,24
New Jersey,Sep 21 2021,38
New Jersey,Sep 20 2021,12
New Jersey,Sep 19 2021,8
New Jersey,Sep 18 2021,17
New Jersey,Sep 17 2021,17
New Jersey,Sep 16 2021,26
New Jersey,Sep 15 2021,21
New Jersey,Sep 14 2021,22
New Jersey,Sep 13 2021,21
New Jersey,Sep 12 2021,4
New Jersey,Sep 11 2021,15
New Jersey,Sep 10 2021,15
New Jersey,Sep  9 2021,17
New Jersey,Sep  8 2021,29
New Jersey,Sep  7 2021,26
New Jersey,Sep  6 2021,4
New Jersey,Sep  5 2021,6
New Jersey,Sep  4 2021,13
New Jersey,Sep  3 2021,10
New Jersey,Sep  2 2021,17
New Jersey,Sep  1 2021,20
New Jersey,Aug 31 2021,18
New Jersey,Aug 30 2021,15
New Jersey,Aug 29 2021,5
New Jersey,Aug 28 2021,18
New Jersey,Aug 27 2021,19
New Jersey,Aug 26 2021,11
New Jersey,Aug 25 2021,21
New Jersey,Aug 24 2021,20
New Jersey,Aug 23 2021,3
New Jersey,Aug 22 2021,2
New Jersey,Aug 21 2021,11
New Jersey,Aug 20 2021,8
New Jersey,Aug 19 2021,10
New Jersey,Aug 18 2021,6
New Jersey,Aug 17 2021,19
New Jersey,Aug 16 2021,1
New Jersey,Aug 15 2021,3
New Jersey,Aug 14 2021,11
New Jersey,Aug 13 2021,9
New Jersey,Aug 12 2021,7
New Jersey,Aug 11 2021,6
New Jersey,Aug 10 2021,9
New Jersey,Aug  9 2021,0
New Jersey,Aug  8 2021,5
New Jersey,Aug  7 2021,9
New Jersey,Aug  6 2021,7
New Jersey,Aug  5 2021,4
New Jersey,Aug  4 2021,11
New Jersey,Aug  3 2021,8
New Jersey,Aug  2 2021,0
New Jersey,Aug  1 2021,5
New Jersey,Jul 31 2021,7
New Jersey,Jul 30 2021,5
New Jersey,Jul 29 2021,1
New Jersey,Jul 28 2021,3
New Jersey,Jul 27 2021,7
New Jersey,Jul 26 2021,4
New Jersey,Jul 25 2021,2
New Jersey,Jul 24 2021,5
New Jersey,Jul 23 2021,4
New Jersey,Jul 22 2021,2
New Jersey,Jul 21 2021,5
New Jersey,Jul 20 2021,12
New Jersey,Jul 19 2021,6
New Jersey,Jul 18 2021,3
New Jersey,Jul 17 2021,5
New Jersey,Jul 16 2021,2
New Jersey,Jul 15 2021,2
New Jersey,Jul 14 2021,11
New Jersey,Jul 13 2021,7
New Jersey,Jul 12 2021,4
New Jersey,Jul 11 2021,4
New Jersey,Jul 10 2021,5
New Jersey,Jul  9 2021,3
New Jersey,Jul  8 2021,3
New Jersey,Jul  7 2021,13
New Jersey,Jul  6 2021,0
New Jersey,Jul  5 2021,4
New Jersey,Jul  4 2021,1
New Jersey,Jul  3 2021,5
New Jersey,Jul  2 2021,5
New Jersey,Jul  1 2021,5
New Jersey,Jun 30 2021,13
New Jersey,Jun 29 2021,6
New Jersey,Jun 28 2021,1
New Jersey,Jun 27 2021,3
New Jersey,Jun 26 2021,6
New Jersey,Jun 25 2021,12
New Jersey,Jun 24 2021,6
New Jersey,Jun 23 2021,18
New Jersey,Jun 22 2021,15
New Jersey,Jun 21 2021,3
New Jersey,Jun 20 2021,4
New Jersey,Jun 19 2021,3
New Jersey,Jun 18 2021,3
New Jersey,Jun 17 2021,7
New Jersey,Jun 16 2021,12
New Jersey,Jun 15 2021,11
New Jersey,Jun 14 2021,4
New Jersey,Jun 13 2021,3
New Jersey,Jun 12 2021,3
New Jersey,Jun 11 2021,2
New Jersey,Jun 10 2021,6
New Jersey,Jun  9 2021,22
New Jersey,Jun  8 2021,9
New Jersey,Jun  7 2021,6
New Jersey,Jun  6 2021,6
New Jersey,Jun  5 2021,8
New Jersey,Jun  4 2021,18
New Jersey,Jun  3 2021,0
New Jersey,Jun  2 2021,28
New Jersey,Jun  1 2021,7
New Jersey,May 31 2021,5
New Jersey,May 30 2021,6
New Jersey,May 29 2021,16
New Jersey,May 28 2021,12
New Jersey,May 27 2021,14
New Jersey,May 26 2021,35
New Jersey,May 25 2021,24
New Jersey,May 24 2021,9
New Jersey,May 23 2021,7
New Jersey,May 22 2021,14
New Jersey,May 21 2021,17
New Jersey,May 20 2021,23
New Jersey,May 19 2021,32
New Jersey,May 18 2021,23
New Jersey,May 17 2021,14
New Jersey,May 16 2021,9
New Jersey,May 15 2021,20
New Jersey,May 14 2021,26
New Jersey,May 13 2021,24
New Jersey,May 12 2021,41
New Jersey,May 11 2021,31
New Jersey,May 10 2021,9
New Jersey,May  9 2021,10
New Jersey,May  8 2021,22
New Jersey,May  7 2021,29
New Jersey,May  6 2021,33
New Jersey,May  5 2021,49
New Jersey,May  4 2021,42
New Jersey,May  3 2021,16
New Jersey,May  2 2021,12
New Jersey,May  1 2021,34
New Jersey,Apr 30 2021,25
