Data Table for Daily Death Trends - New Mexico
Date generated: Mon Nov 15 2021 12:11:17 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
New Mexico,Nov 12 2021,21
New Mexico,Nov 11 2021,0
New Mexico,Nov 10 2021,13
New Mexico,Nov  9 2021,11
New Mexico,Nov  8 2021,11
New Mexico,Nov  7 2021,0
New Mexico,Nov  6 2021,0
New Mexico,Nov  5 2021,12
New Mexico,Nov  4 2021,16
New Mexico,Nov  3 2021,12
New Mexico,Nov  2 2021,12
New Mexico,Nov  1 2021,12
New Mexico,Oct 31 2021,0
New Mexico,Oct 30 2021,0
New Mexico,Oct 29 2021,10
New Mexico,Oct 28 2021,12
New Mexico,Oct 27 2021,15
New Mexico,Oct 26 2021,11
New Mexico,Oct 25 2021,15
New Mexico,Oct 24 2021,0
New Mexico,Oct 23 2021,0
New Mexico,Oct 22 2021,14
New Mexico,Oct 21 2021,7
New Mexico,Oct 20 2021,13
New Mexico,Oct 19 2021,10
New Mexico,Oct 18 2021,12
New Mexico,Oct 17 2021,0
New Mexico,Oct 16 2021,0
New Mexico,Oct 15 2021,11
New Mexico,Oct 14 2021,20
New Mexico,Oct 13 2021,14
New Mexico,Oct 12 2021,16
New Mexico,Oct 11 2021,0
New Mexico,Oct 10 2021,0
New Mexico,Oct  9 2021,0
New Mexico,Oct  8 2021,15
New Mexico,Oct  7 2021,14
New Mexico,Oct  6 2021,10
New Mexico,Oct  5 2021,7
New Mexico,Oct  4 2021,12
New Mexico,Oct  3 2021,0
New Mexico,Oct  2 2021,0
New Mexico,Oct  1 2021,11
New Mexico,Sep 30 2021,13
New Mexico,Sep 29 2021,12
New Mexico,Sep 28 2021,12
New Mexico,Sep 27 2021,15
New Mexico,Sep 26 2021,0
New Mexico,Sep 25 2021,0
New Mexico,Sep 24 2021,14
New Mexico,Sep 23 2021,16
New Mexico,Sep 22 2021,19
New Mexico,Sep 21 2021,11
New Mexico,Sep 20 2021,14
New Mexico,Sep 19 2021,0
New Mexico,Sep 18 2021,0
New Mexico,Sep 17 2021,13
New Mexico,Sep 16 2021,13
New Mexico,Sep 15 2021,18
New Mexico,Sep 14 2021,12
New Mexico,Sep 13 2021,14
New Mexico,Sep 12 2021,0
New Mexico,Sep 11 2021,0
New Mexico,Sep 10 2021,20
New Mexico,Sep  9 2021,8
New Mexico,Sep  8 2021,15
New Mexico,Sep  7 2021,10
New Mexico,Sep  6 2021,0
New Mexico,Sep  5 2021,0
New Mexico,Sep  4 2021,0
New Mexico,Sep  3 2021,8
New Mexico,Sep  2 2021,15
New Mexico,Sep  1 2021,11
New Mexico,Aug 31 2021,6
New Mexico,Aug 30 2021,7
New Mexico,Aug 29 2021,0
New Mexico,Aug 28 2021,0
New Mexico,Aug 27 2021,9
New Mexico,Aug 26 2021,9
New Mexico,Aug 25 2021,5
New Mexico,Aug 24 2021,2
New Mexico,Aug 23 2021,9
New Mexico,Aug 22 2021,0
New Mexico,Aug 21 2021,0
New Mexico,Aug 20 2021,9
New Mexico,Aug 19 2021,4
New Mexico,Aug 18 2021,4
New Mexico,Aug 17 2021,4
New Mexico,Aug 16 2021,5
New Mexico,Aug 15 2021,0
New Mexico,Aug 14 2021,0
New Mexico,Aug 13 2021,5
New Mexico,Aug 12 2021,4
New Mexico,Aug 11 2021,7
New Mexico,Aug 10 2021,5
New Mexico,Aug  9 2021,0
New Mexico,Aug  8 2021,0
New Mexico,Aug  7 2021,0
New Mexico,Aug  6 2021,6
New Mexico,Aug  5 2021,3
New Mexico,Aug  4 2021,2
New Mexico,Aug  3 2021,1
New Mexico,Aug  2 2021,4
New Mexico,Aug  1 2021,0
New Mexico,Jul 31 2021,0
New Mexico,Jul 30 2021,2
New Mexico,Jul 29 2021,1
New Mexico,Jul 28 2021,5
New Mexico,Jul 27 2021,2
New Mexico,Jul 26 2021,3
New Mexico,Jul 25 2021,0
New Mexico,Jul 24 2021,0
New Mexico,Jul 23 2021,3
New Mexico,Jul 22 2021,2
New Mexico,Jul 21 2021,5
New Mexico,Jul 20 2021,4
New Mexico,Jul 19 2021,4
New Mexico,Jul 18 2021,0
New Mexico,Jul 17 2021,0
New Mexico,Jul 16 2021,7
New Mexico,Jul 15 2021,10
New Mexico,Jul 14 2021,3
New Mexico,Jul 13 2021,1
New Mexico,Jul 12 2021,4
New Mexico,Jul 11 2021,0
New Mexico,Jul 10 2021,0
New Mexico,Jul  9 2021,1
New Mexico,Jul  8 2021,6
New Mexico,Jul  7 2021,1
New Mexico,Jul  6 2021,2
New Mexico,Jul  5 2021,0
New Mexico,Jul  4 2021,0
New Mexico,Jul  3 2021,0
New Mexico,Jul  2 2021,1
New Mexico,Jul  1 2021,3
New Mexico,Jun 30 2021,2
