Data Table for Daily Death Trends - New York (excludes NYC)*
Date generated: Mon Nov 15 2021 12:11:23 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
New York,Nov 12 2021,25
New York,Nov 11 2021,34
New York,Nov 10 2021,25
New York,Nov  9 2021,30
New York,Nov  8 2021,22
New York,Nov  7 2021,20
New York,Nov  6 2021,34
New York,Nov  5 2021,28
New York,Nov  4 2021,29
New York,Nov  3 2021,35
New York,Nov  2 2021,14
New York,Nov  1 2021,26
New York,Oct 31 2021,26
New York,Oct 30 2021,27
New York,Oct 29 2021,27
New York,Oct 28 2021,24
New York,Oct 27 2021,30
New York,Oct 26 2021,32
New York,Oct 25 2021,21
New York,Oct 24 2021,24
New York,Oct 23 2021,31
New York,Oct 22 2021,20
New York,Oct 21 2021,40
New York,Oct 20 2021,26
New York,Oct 19 2021,25
New York,Oct 18 2021,21
New York,Oct 17 2021,31
New York,Oct 16 2021,19
New York,Oct 15 2021,22
New York,Oct 14 2021,38
New York,Oct 13 2021,25
New York,Oct 12 2021,25
New York,Oct 11 2021,22
New York,Oct 10 2021,25
New York,Oct  9 2021,28
New York,Oct  8 2021,33
New York,Oct  7 2021,20
New York,Oct  6 2021,23
New York,Oct  5 2021,28
New York,Oct  4 2021,14
New York,Oct  3 2021,24
New York,Oct  2 2021,18
New York,Oct  1 2021,23
New York,Sep 30 2021,30
New York,Sep 29 2021,30
New York,Sep 28 2021,21
New York,Sep 27 2021,16
New York,Sep 26 2021,29
New York,Sep 25 2021,24
New York,Sep 24 2021,19
New York,Sep 23 2021,29
New York,Sep 22 2021,25
New York,Sep 21 2021,29
New York,Sep 20 2021,21
New York,Sep 19 2021,25
New York,Sep 18 2021,19
New York,Sep 17 2021,23
New York,Sep 16 2021,27
New York,Sep 15 2021,25
New York,Sep 14 2021,21
New York,Sep 13 2021,17
New York,Sep 12 2021,20
New York,Sep 11 2021,20
New York,Sep 10 2021,27
New York,Sep  9 2021,15
New York,Sep  8 2021,20
New York,Sep  7 2021,26
New York,Sep  6 2021,18
New York,Sep  5 2021,22
New York,Sep  4 2021,18
New York,Sep  3 2021,20
New York,Sep  2 2021,24
New York,Sep  1 2021,18
New York,Aug 31 2021,12
New York,Aug 30 2021,8
New York,Aug 29 2021,22
New York,Aug 28 2021,22
New York,Aug 27 2021,14
New York,Aug 26 2021,16
New York,Aug 25 2021,11
New York,Aug 24 2021,8
New York,Aug 23 2021,13
New York,Aug 22 2021,16
New York,Aug 21 2021,13
New York,Aug 20 2021,12
New York,Aug 19 2021,12
New York,Aug 18 2021,15
New York,Aug 17 2021,10
New York,Aug 16 2021,6
New York,Aug 15 2021,11
New York,Aug 14 2021,9
New York,Aug 13 2021,8
New York,Aug 12 2021,13
New York,Aug 11 2021,11
New York,Aug 10 2021,8
New York,Aug  9 2021,6
New York,Aug  8 2021,5
New York,Aug  7 2021,7
New York,Aug  6 2021,2
New York,Aug  5 2021,4
New York,Aug  4 2021,5
New York,Aug  3 2021,1
New York,Aug  2 2021,0
New York,Aug  1 2021,5
New York,Jul 31 2021,2
New York,Jul 30 2021,2
New York,Jul 29 2021,0
New York,Jul 28 2021,5
New York,Jul 27 2021,1
New York,Jul 26 2021,2
New York,Jul 25 2021,7
New York,Jul 24 2021,0
New York,Jul 23 2021,2
New York,Jul 22 2021,1
New York,Jul 21 2021,3
New York,Jul 20 2021,1
New York,Jul 19 2021,1
New York,Jul 18 2021,1
New York,Jul 17 2021,1
New York,Jul 16 2021,1
New York,Jul 15 2021,1
New York,Jul 14 2021,2
New York,Jul 13 2021,5
New York,Jul 12 2021,0
New York,Jul 11 2021,0
New York,Jul 10 2021,0
New York,Jul  9 2021,3
New York,Jul  8 2021,2
New York,Jul  7 2021,3
New York,Jul  6 2021,3
New York,Jul  5 2021,1
New York,Jul  4 2021,2
New York,Jul  3 2021,0
New York,Jul  2 2021,1
New York,Jul  1 2021,2
New York,Jun 30 2021,2
New York,Jun 29 2021,1
New York,Jun 28 2021,2
New York,Jun 27 2021,3
New York,Jun 26 2021,3
New York,Jun 25 2021,3
New York,Jun 24 2021,0
New York,Jun 23 2021,6
New York,Jun 22 2021,4
New York,Jun 21 2021,4
New York,Jun 20 2021,0
New York,Jun 19 2021,13
New York,Jun 18 2021,0
New York,Jun 17 2021,2
New York,Jun 16 2021,3
New York,Jun 15 2021,6
New York,Jun 14 2021,6
New York,Jun 13 2021,5
New York,Jun 12 2021,9
New York,Jun 11 2021,6
New York,Jun 10 2021,4
New York,Jun  9 2021,4
New York,Jun  8 2021,9
New York,Jun  7 2021,5
New York,Jun  6 2021,12
New York,Jun  5 2021,10
New York,Jun  4 2021,9
New York,Jun  3 2021,7
New York,Jun  2 2021,4
New York,Jun  1 2021,8
New York,May 31 2021,10
New York,May 30 2021,11
New York,May 29 2021,6
New York,May 28 2021,11
New York,May 27 2021,6
New York,May 26 2021,14
New York,May 25 2021,7
New York,May 24 2021,9
New York,May 23 2021,4
New York,May 22 2021,14
New York,May 21 2021,8
New York,May 20 2021,14
New York,May 19 2021,12
New York,May 18 2021,9
New York,May 17 2021,7
New York,May 16 2021,15
New York,May 15 2021,11
New York,May 14 2021,12
New York,May 13 2021,9
New York,May 12 2021,10
New York,May 11 2021,20
New York,May 10 2021,10
New York,May  9 2021,11
New York,May  8 2021,18
New York,May  7 2021,14
New York,May  6 2021,9
New York,May  5 2021,19
New York,May  4 2021,26
New York,May  3 2021,23
New York,May  2 2021,22
New York,May  1 2021,0
New York,Apr 30 2021,19
New York,Apr 29 2021,17
New York,Apr 28 2021,18
New York,Apr 27 2021,12
New York,Apr 26 2021,23
New York,Apr 25 2021,22
New York,Apr 24 2021,10
New York,Apr 23 2021,20
New York,Apr 22 2021,22
New York,Apr 21 2021,24
New York,Apr 20 2021,23
New York,Apr 19 2021,20
New York,Apr 18 2021,14
New York,Apr 17 2021,24
New York,Apr 16 2021,19
New York,Apr 15 2021,24
New York,Apr 14 2021,24
New York,Apr 13 2021,19
New York,Apr 12 2021,23
New York,Apr 11 2021,22
New York,Apr 10 2021,26
New York,Apr  9 2021,26
New York,Apr  8 2021,14
New York,Apr  7 2021,28
New York,Apr  6 2021,13
New York,Apr  5 2021,20
New York,Apr  4 2021,22
New York,Apr  3 2021,25
New York,Apr  2 2021,22
New York,Apr  1 2021,30
New York,Mar 31 2021,27
New York,Mar 30 2021,23
New York,Mar 29 2021,23
New York,Mar 28 2021,14
New York,Mar 27 2021,32
New York,Mar 26 2021,12
New York,Mar 25 2021,15
New York,Mar 24 2021,26
New York,Mar 23 2021,18
New York,Mar 22 2021,17
New York,Mar 21 2021,26
New York,Mar 20 2021,23
New York,Mar 19 2021,28
New York,Mar 18 2021,23
New York,Mar 17 2021,22
New York,Mar 16 2021,24
New York,Mar 15 2021,17
New York,Mar 14 2021,22
New York,Mar 13 2021,36
New York,Mar 12 2021,21
New York,Mar 11 2021,32
New York,Mar 10 2021,20
New York,Mar  9 2021,34
New York,Mar  8 2021,21
New York,Mar  7 2021,27
New York,Mar  6 2021,35
New York,Mar  5 2021,48
New York,Mar  4 2021,26
New York,Mar  3 2021,28
New York,Mar  2 2021,33
New York,Mar  1 2021,28
New York,Feb 28 2021,39
New York,Feb 27 2021,31
New York,Feb 26 2021,40
New York,Feb 25 2021,47
New York,Feb 24 2021,48
New York,Feb 23 2021,43
New York,Feb 22 2021,44
New York,Feb 21 2021,37
New York,Feb 20 2021,52
New York,Feb 19 2021,67
New York,Feb 18 2021,55
New York,Feb 17 2021,60
New York,Feb 16 2021,44
New York,Feb 15 2021,50
New York,Feb 14 2021,60
New York,Feb 13 2021,59
New York,Feb 12 2021,74
New York,Feb 11 2021,69
New York,Feb 10 2021,75
New York,Feb  9 2021,84
New York,Feb  8 2021,62
New York,Feb  7 2021,82
New York,Feb  6 2021,95
New York,Feb  5 2021,92
New York,Feb  4 2021,81
New York,Feb  3 2021,107
New York,Feb  2 2021,98
