Data Table for Daily Death Trends - North Dakota
Date generated: Mon Nov 15 2021 12:11:44 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
North Dakota,Nov 12 2021,11
North Dakota,Nov 11 2021,0
North Dakota,Nov 10 2021,2
North Dakota,Nov  9 2021,6
North Dakota,Nov  8 2021,5
North Dakota,Nov  7 2021,0
North Dakota,Nov  6 2021,0
North Dakota,Nov  5 2021,3
North Dakota,Nov  4 2021,4
North Dakota,Nov  3 2021,5
North Dakota,Nov  2 2021,5
North Dakota,Nov  1 2021,12
North Dakota,Oct 31 2021,0
North Dakota,Oct 30 2021,0
North Dakota,Oct 29 2021,6
North Dakota,Oct 28 2021,5
North Dakota,Oct 27 2021,5
North Dakota,Oct 26 2021,11
North Dakota,Oct 25 2021,17
North Dakota,Oct 24 2021,0
North Dakota,Oct 23 2021,0
North Dakota,Oct 22 2021,4
North Dakota,Oct 21 2021,11
North Dakota,Oct 20 2021,5
North Dakota,Oct 19 2021,8
North Dakota,Oct 18 2021,10
North Dakota,Oct 17 2021,0
North Dakota,Oct 16 2021,0
North Dakota,Oct 15 2021,11
North Dakota,Oct 14 2021,7
North Dakota,Oct 13 2021,4
North Dakota,Oct 12 2021,6
North Dakota,Oct 11 2021,10
North Dakota,Oct 10 2021,0
North Dakota,Oct  9 2021,0
North Dakota,Oct  8 2021,7
North Dakota,Oct  7 2021,1
North Dakota,Oct  6 2021,5
North Dakota,Oct  5 2021,6
North Dakota,Oct  4 2021,2
North Dakota,Oct  3 2021,0
North Dakota,Oct  2 2021,0
North Dakota,Oct  1 2021,10
North Dakota,Sep 30 2021,0
North Dakota,Sep 29 2021,1
North Dakota,Sep 28 2021,3
North Dakota,Sep 27 2021,3
North Dakota,Sep 26 2021,0
North Dakota,Sep 25 2021,0
North Dakota,Sep 24 2021,7
North Dakota,Sep 23 2021,2
North Dakota,Sep 22 2021,0
North Dakota,Sep 21 2021,2
North Dakota,Sep 20 2021,7
North Dakota,Sep 19 2021,0
North Dakota,Sep 18 2021,0
North Dakota,Sep 17 2021,1
North Dakota,Sep 16 2021,1
North Dakota,Sep 15 2021,4
North Dakota,Sep 14 2021,4
North Dakota,Sep 13 2021,3
North Dakota,Sep 12 2021,0
North Dakota,Sep 11 2021,0
North Dakota,Sep 10 2021,2
North Dakota,Sep  9 2021,0
North Dakota,Sep  8 2021,4
North Dakota,Sep  7 2021,3
North Dakota,Sep  6 2021,0
North Dakota,Sep  5 2021,0
North Dakota,Sep  4 2021,0
North Dakota,Sep  3 2021,0
North Dakota,Sep  2 2021,2
North Dakota,Sep  1 2021,1
North Dakota,Aug 31 2021,1
North Dakota,Aug 30 2021,0
North Dakota,Aug 29 2021,0
North Dakota,Aug 28 2021,0
North Dakota,Aug 27 2021,0
North Dakota,Aug 26 2021,4
North Dakota,Aug 25 2021,3
North Dakota,Aug 24 2021,0
North Dakota,Aug 23 2021,2
North Dakota,Aug 22 2021,0
North Dakota,Aug 21 2021,0
North Dakota,Aug 20 2021,1
North Dakota,Aug 19 2021,1
North Dakota,Aug 18 2021,1
North Dakota,Aug 17 2021,0
North Dakota,Aug 16 2021,3
North Dakota,Aug 15 2021,0
North Dakota,Aug 14 2021,0
North Dakota,Aug 13 2021,0
North Dakota,Aug 12 2021,0
North Dakota,Aug 11 2021,2
North Dakota,Aug 10 2021,1
North Dakota,Aug  9 2021,0
North Dakota,Aug  8 2021,0
North Dakota,Aug  7 2021,0
