Data Table for Daily Death Trends - Ohio
Date generated: Mon Nov 15 2021 12:11:50 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Ohio,Nov 12 2021,361
Ohio,Nov 11 2021,0
Ohio,Nov 10 2021,0
Ohio,Nov  9 2021,215
Ohio,Nov  8 2021,0
Ohio,Nov  7 2021,0
Ohio,Nov  6 2021,0
Ohio,Nov  5 2021,304
Ohio,Nov  4 2021,0
Ohio,Nov  3 2021,0
Ohio,Nov  2 2021,236
Ohio,Nov  1 2021,0
Ohio,Oct 31 2021,0
Ohio,Oct 30 2021,0
Ohio,Oct 29 2021,363
Ohio,Oct 28 2021,0
Ohio,Oct 27 2021,0
Ohio,Oct 26 2021,209
Ohio,Oct 25 2021,0
Ohio,Oct 24 2021,0
Ohio,Oct 23 2021,0
Ohio,Oct 22 2021,339
Ohio,Oct 21 2021,0
Ohio,Oct 20 2021,0
Ohio,Oct 19 2021,289
Ohio,Oct 18 2021,0
Ohio,Oct 17 2021,0
Ohio,Oct 16 2021,0
Ohio,Oct 15 2021,306
Ohio,Oct 14 2021,0
Ohio,Oct 13 2021,0
Ohio,Oct 12 2021,202
Ohio,Oct 11 2021,0
Ohio,Oct 10 2021,0
Ohio,Oct  9 2021,0
Ohio,Oct  8 2021,329
Ohio,Oct  7 2021,0
Ohio,Oct  6 2021,0
Ohio,Oct  5 2021,217
Ohio,Oct  4 2021,0
Ohio,Oct  3 2021,0
Ohio,Oct  2 2021,0
Ohio,Oct  1 2021,328
Ohio,Sep 30 2021,0
Ohio,Sep 29 2021,0
Ohio,Sep 28 2021,125
Ohio,Sep 27 2021,0
Ohio,Sep 26 2021,0
Ohio,Sep 25 2021,0
Ohio,Sep 24 2021,224
Ohio,Sep 23 2021,0
Ohio,Sep 22 2021,0
Ohio,Sep 21 2021,125
Ohio,Sep 20 2021,0
Ohio,Sep 19 2021,0
Ohio,Sep 18 2021,0
Ohio,Sep 17 2021,206
Ohio,Sep 16 2021,0
Ohio,Sep 15 2021,0
Ohio,Sep 14 2021,111
Ohio,Sep 13 2021,0
Ohio,Sep 12 2021,0
