Data Table for Daily Death Trends - Oklahoma
Date generated: Mon Nov 15 2021 12:11:57 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Oklahoma,Nov 12 2021,66
Oklahoma,Nov 11 2021,0
Oklahoma,Nov 10 2021,4
Oklahoma,Nov  9 2021,0
Oklahoma,Nov  8 2021,47
Oklahoma,Nov  7 2021,0
Oklahoma,Nov  6 2021,0
Oklahoma,Nov  5 2021,33
Oklahoma,Nov  4 2021,4
Oklahoma,Nov  3 2021,18
Oklahoma,Nov  2 2021,0
Oklahoma,Nov  1 2021,117
Oklahoma,Oct 31 2021,0
Oklahoma,Oct 30 2021,0
Oklahoma,Oct 29 2021,34
Oklahoma,Oct 28 2021,28
Oklahoma,Oct 27 2021,0
Oklahoma,Oct 26 2021,116
Oklahoma,Oct 25 2021,0
Oklahoma,Oct 24 2021,0
Oklahoma,Oct 23 2021,0
Oklahoma,Oct 22 2021,65
Oklahoma,Oct 21 2021,6
Oklahoma,Oct 20 2021,10
Oklahoma,Oct 19 2021,14
Oklahoma,Oct 18 2021,26
Oklahoma,Oct 17 2021,23
Oklahoma,Oct 16 2021,23
Oklahoma,Oct 15 2021,4
Oklahoma,Oct 14 2021,9
Oklahoma,Oct 13 2021,11
Oklahoma,Oct 12 2021,23
Oklahoma,Oct 11 2021,49
Oklahoma,Oct 10 2021,46
Oklahoma,Oct  9 2021,46
Oklahoma,Oct  8 2021,29
Oklahoma,Oct  7 2021,0
Oklahoma,Oct  6 2021,8
Oklahoma,Oct  5 2021,14
Oklahoma,Oct  4 2021,65
Oklahoma,Oct  3 2021,62
Oklahoma,Oct  2 2021,62
Oklahoma,Oct  1 2021,14
Oklahoma,Sep 30 2021,14
Oklahoma,Sep 29 2021,25
Oklahoma,Sep 28 2021,21
Oklahoma,Sep 27 2021,52
Oklahoma,Sep 26 2021,51
Oklahoma,Sep 25 2021,51
Oklahoma,Sep 24 2021,23
Oklahoma,Sep 23 2021,10
Oklahoma,Sep 22 2021,19
Oklahoma,Sep 21 2021,25
Oklahoma,Sep 20 2021,63
Oklahoma,Sep 19 2021,61
Oklahoma,Sep 18 2021,61
Oklahoma,Sep 17 2021,15
Oklahoma,Sep 16 2021,20
Oklahoma,Sep 15 2021,9
Oklahoma,Sep 14 2021,39
Oklahoma,Sep 13 2021,36
Oklahoma,Sep 12 2021,34
Oklahoma,Sep 11 2021,34
Oklahoma,Sep 10 2021,18
Oklahoma,Sep  9 2021,24
Oklahoma,Sep  8 2021,87
Oklahoma,Sep  7 2021,23
Oklahoma,Sep  6 2021,29
Oklahoma,Sep  5 2021,25
Oklahoma,Sep  4 2021,25
Oklahoma,Sep  3 2021,25
Oklahoma,Sep  2 2021,17
Oklahoma,Sep  1 2021,17
Oklahoma,Aug 31 2021,54
Oklahoma,Aug 30 2021,39
Oklahoma,Aug 29 2021,35
Oklahoma,Aug 28 2021,35
Oklahoma,Aug 27 2021,15
Oklahoma,Aug 26 2021,21
Oklahoma,Aug 25 2021,22
Oklahoma,Aug 24 2021,22
Oklahoma,Aug 23 2021,19
Oklahoma,Aug 22 2021,15
Oklahoma,Aug 21 2021,15
Oklahoma,Aug 20 2021,23
Oklahoma,Aug 19 2021,22
Oklahoma,Aug 18 2021,16
Oklahoma,Aug 17 2021,23
Oklahoma,Aug 16 2021,15
Oklahoma,Aug 15 2021,9
Oklahoma,Aug 14 2021,9
Oklahoma,Aug 13 2021,9
Oklahoma,Aug 12 2021,7
Oklahoma,Aug 11 2021,13
Oklahoma,Aug 10 2021,22
Oklahoma,Aug  9 2021,12
Oklahoma,Aug  8 2021,9
Oklahoma,Aug  7 2021,9
Oklahoma,Aug  6 2021,6
Oklahoma,Aug  5 2021,8
Oklahoma,Aug  4 2021,8
Oklahoma,Aug  3 2021,10
Oklahoma,Aug  2 2021,10
Oklahoma,Aug  1 2021,9
Oklahoma,Jul 31 2021,9
Oklahoma,Jul 30 2021,4
Oklahoma,Jul 29 2021,4
Oklahoma,Jul 28 2021,5
Oklahoma,Jul 27 2021,5
Oklahoma,Jul 26 2021,8
Oklahoma,Jul 25 2021,6
Oklahoma,Jul 24 2021,6
Oklahoma,Jul 23 2021,1
Oklahoma,Jul 22 2021,5
Oklahoma,Jul 21 2021,4
Oklahoma,Jul 20 2021,1
Oklahoma,Jul 19 2021,10
Oklahoma,Jul 18 2021,9
Oklahoma,Jul 17 2021,9
Oklahoma,Jul 16 2021,3
Oklahoma,Jul 15 2021,4
Oklahoma,Jul 14 2021,3
Oklahoma,Jul 13 2021,2
Oklahoma,Jul 12 2021,4
Oklahoma,Jul 11 2021,1
Oklahoma,Jul 10 2021,1
Oklahoma,Jul  9 2021,2
Oklahoma,Jul  8 2021,2
Oklahoma,Jul  7 2021,1
Oklahoma,Jul  6 2021,0
Oklahoma,Jul  5 2021,2
Oklahoma,Jul  4 2021,2
Oklahoma,Jul  3 2021,2
Oklahoma,Jul  2 2021,5
Oklahoma,Jul  1 2021,2
Oklahoma,Jun 30 2021,3
Oklahoma,Jun 29 2021,3
Oklahoma,Jun 28 2021,1
Oklahoma,Jun 27 2021,0
Oklahoma,Jun 26 2021,0
Oklahoma,Jun 25 2021,1
Oklahoma,Jun 24 2021,0
Oklahoma,Jun 23 2021,1
