Data Table for Daily Death Trends - Oregon
Date generated: Mon Nov 15 2021 12:12:05 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Oregon,Nov 12 2021,20
Oregon,Nov 11 2021,0
Oregon,Nov 10 2021,75
Oregon,Nov  9 2021,35
Oregon,Nov  8 2021,58
Oregon,Nov  7 2021,0
Oregon,Nov  6 2021,0
Oregon,Nov  5 2021,19
Oregon,Nov  4 2021,74
Oregon,Nov  3 2021,64
Oregon,Nov  2 2021,28
Oregon,Nov  1 2021,5
Oregon,Oct 31 2021,0
Oregon,Oct 30 2021,0
Oregon,Oct 29 2021,14
Oregon,Oct 28 2021,24
Oregon,Oct 27 2021,16
Oregon,Oct 26 2021,23
Oregon,Oct 25 2021,11
Oregon,Oct 24 2021,0
Oregon,Oct 23 2021,0
Oregon,Oct 22 2021,9
Oregon,Oct 21 2021,40
Oregon,Oct 20 2021,9
Oregon,Oct 19 2021,41
Oregon,Oct 18 2021,8
Oregon,Oct 17 2021,8
Oregon,Oct 16 2021,8
Oregon,Oct 15 2021,20
Oregon,Oct 14 2021,24
Oregon,Oct 13 2021,33
Oregon,Oct 12 2021,82
Oregon,Oct 11 2021,8
Oregon,Oct 10 2021,6
Oregon,Oct  9 2021,6
Oregon,Oct  8 2021,23
Oregon,Oct  7 2021,59
Oregon,Oct  6 2021,33
Oregon,Oct  5 2021,44
Oregon,Oct  4 2021,4
Oregon,Oct  3 2021,2
Oregon,Oct  2 2021,2
Oregon,Oct  1 2021,24
Oregon,Sep 30 2021,20
Oregon,Sep 29 2021,21
Oregon,Sep 28 2021,41
Oregon,Sep 27 2021,9
Oregon,Sep 26 2021,9
Oregon,Sep 25 2021,9
Oregon,Sep 24 2021,21
Oregon,Sep 23 2021,12
Oregon,Sep 22 2021,25
Oregon,Sep 21 2021,30
Oregon,Sep 20 2021,9
Oregon,Sep 19 2021,8
Oregon,Sep 18 2021,8
Oregon,Sep 17 2021,22
Oregon,Sep 16 2021,11
Oregon,Sep 15 2021,46
Oregon,Sep 14 2021,44
Oregon,Sep 13 2021,12
Oregon,Sep 12 2021,10
Oregon,Sep 11 2021,10
Oregon,Sep 10 2021,20
Oregon,Sep  9 2021,21
Oregon,Sep  8 2021,47
Oregon,Sep  7 2021,15
Oregon,Sep  6 2021,13
Oregon,Sep  5 2021,13
Oregon,Sep  4 2021,13
Oregon,Sep  3 2021,24
Oregon,Sep  2 2021,27
Oregon,Sep  1 2021,23
Oregon,Aug 31 2021,43
Oregon,Aug 30 2021,14
Oregon,Aug 29 2021,13
Oregon,Aug 28 2021,13
Oregon,Aug 27 2021,20
Oregon,Aug 26 2021,9
Oregon,Aug 25 2021,20
Oregon,Aug 24 2021,30
Oregon,Aug 23 2021,8
Oregon,Aug 22 2021,8
Oregon,Aug 21 2021,8
Oregon,Aug 20 2021,18
Oregon,Aug 19 2021,19
Oregon,Aug 18 2021,11
Oregon,Aug 17 2021,15
Oregon,Aug 16 2021,6
Oregon,Aug 15 2021,4
Oregon,Aug 14 2021,4
Oregon,Aug 13 2021,7
Oregon,Aug 12 2021,8
Oregon,Aug 11 2021,8
Oregon,Aug 10 2021,9
Oregon,Aug  9 2021,6
Oregon,Aug  8 2021,4
Oregon,Aug  7 2021,4
Oregon,Aug  6 2021,4
Oregon,Aug  5 2021,8
Oregon,Aug  4 2021,5
Oregon,Aug  3 2021,9
Oregon,Aug  2 2021,3
Oregon,Aug  1 2021,1
Oregon,Jul 31 2021,1
Oregon,Jul 30 2021,3
Oregon,Jul 29 2021,6
Oregon,Jul 28 2021,6
Oregon,Jul 27 2021,5
Oregon,Jul 26 2021,2
Oregon,Jul 25 2021,0
Oregon,Jul 24 2021,0
Oregon,Jul 23 2021,2
Oregon,Jul 22 2021,1
Oregon,Jul 21 2021,1
Oregon,Jul 20 2021,6
Oregon,Jul 19 2021,3
Oregon,Jul 18 2021,3
Oregon,Jul 17 2021,3
Oregon,Jul 16 2021,7
Oregon,Jul 15 2021,7
Oregon,Jul 14 2021,3
Oregon,Jul 13 2021,3
Oregon,Jul 12 2021,3
Oregon,Jul 11 2021,1
Oregon,Jul 10 2021,1
Oregon,Jul  9 2021,2
Oregon,Jul  8 2021,2
Oregon,Jul  7 2021,6
Oregon,Jul  6 2021,1
Oregon,Jul  5 2021,0
Oregon,Jul  4 2021,0
Oregon,Jul  3 2021,0
Oregon,Jul  2 2021,3
Oregon,Jul  1 2021,4
Oregon,Jun 30 2021,4
Oregon,Jun 29 2021,7
Oregon,Jun 28 2021,0
Oregon,Jun 27 2021,0
Oregon,Jun 26 2021,2
Oregon,Jun 25 2021,1
Oregon,Jun 24 2021,1
Oregon,Jun 23 2021,2
