Data Table for Daily Death Trends - Pennsylvania
Date generated: Mon Nov 15 2021 12:12:18 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Pennsylvania,Nov 12 2021,18
Pennsylvania,Nov 11 2021,73
Pennsylvania,Nov 10 2021,196
Pennsylvania,Nov  9 2021,77
Pennsylvania,Nov  8 2021,17
Pennsylvania,Nov  7 2021,0
Pennsylvania,Nov  6 2021,43
Pennsylvania,Nov  5 2021,72
Pennsylvania,Nov  4 2021,72
Pennsylvania,Nov  3 2021,181
Pennsylvania,Nov  2 2021,75
Pennsylvania,Nov  1 2021,1
Pennsylvania,Oct 31 2021,41
Pennsylvania,Oct 30 2021,36
Pennsylvania,Oct 29 2021,85
Pennsylvania,Oct 28 2021,95
Pennsylvania,Oct 27 2021,142
Pennsylvania,Oct 26 2021,79
Pennsylvania,Oct 25 2021,4
Pennsylvania,Oct 24 2021,8
Pennsylvania,Oct 23 2021,61
Pennsylvania,Oct 22 2021,88
Pennsylvania,Oct 21 2021,94
Pennsylvania,Oct 20 2021,134
Pennsylvania,Oct 19 2021,64
Pennsylvania,Oct 18 2021,105
Pennsylvania,Oct 17 2021,0
Pennsylvania,Oct 16 2021,0
Pennsylvania,Oct 15 2021,82
Pennsylvania,Oct 14 2021,108
Pennsylvania,Oct 13 2021,170
Pennsylvania,Oct 12 2021,151
Pennsylvania,Oct 11 2021,0
Pennsylvania,Oct 10 2021,0
Pennsylvania,Oct  9 2021,0
Pennsylvania,Oct  8 2021,93
Pennsylvania,Oct  7 2021,92
Pennsylvania,Oct  6 2021,111
Pennsylvania,Oct  5 2021,80
Pennsylvania,Oct  4 2021,12
Pennsylvania,Oct  3 2021,31
Pennsylvania,Oct  2 2021,51
Pennsylvania,Oct  1 2021,37
Pennsylvania,Sep 30 2021,77
Pennsylvania,Sep 29 2021,97
Pennsylvania,Sep 28 2021,75
Pennsylvania,Sep 27 2021,10
Pennsylvania,Sep 26 2021,13
Pennsylvania,Sep 25 2021,64
Pennsylvania,Sep 24 2021,34
Pennsylvania,Sep 23 2021,32
Pennsylvania,Sep 22 2021,66
Pennsylvania,Sep 21 2021,68
Pennsylvania,Sep 20 2021,2
