Data Table for Daily Death Trends - Puerto Rico
Date generated: Mon Nov 15 2021 12:12:26 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Puerto Rico,Nov 12 2021,1
Puerto Rico,Nov 11 2021,4
Puerto Rico,Nov 10 2021,5
Puerto Rico,Nov  9 2021,0
Puerto Rico,Nov  8 2021,1
Puerto Rico,Nov  7 2021,1
Puerto Rico,Nov  6 2021,1
Puerto Rico,Nov  5 2021,5
Puerto Rico,Nov  4 2021,0
Puerto Rico,Nov  3 2021,3
Puerto Rico,Nov  2 2021,2
Puerto Rico,Nov  1 2021,0
Puerto Rico,Oct 31 2021,0
Puerto Rico,Oct 30 2021,2
Puerto Rico,Oct 29 2021,3
Puerto Rico,Oct 28 2021,1
Puerto Rico,Oct 27 2021,1
Puerto Rico,Oct 26 2021,4
Puerto Rico,Oct 25 2021,2
Puerto Rico,Oct 24 2021,0
Puerto Rico,Oct 23 2021,1
Puerto Rico,Oct 22 2021,1
Puerto Rico,Oct 21 2021,4
Puerto Rico,Oct 20 2021,2
Puerto Rico,Oct 19 2021,4
Puerto Rico,Oct 18 2021,1
Puerto Rico,Oct 17 2021,1
Puerto Rico,Oct 16 2021,1
Puerto Rico,Oct 15 2021,0
Puerto Rico,Oct 14 2021,3
Puerto Rico,Oct 13 2021,0
Puerto Rico,Oct 12 2021,5
Puerto Rico,Oct 11 2021,2
Puerto Rico,Oct 10 2021,1
Puerto Rico,Oct  9 2021,1
Puerto Rico,Oct  8 2021,1
Puerto Rico,Oct  7 2021,8
Puerto Rico,Oct  6 2021,3
Puerto Rico,Oct  5 2021,1
Puerto Rico,Oct  4 2021,8
Puerto Rico,Oct  3 2021,2
Puerto Rico,Oct  2 2021,3
Puerto Rico,Oct  1 2021,4
Puerto Rico,Sep 30 2021,6
Puerto Rico,Sep 29 2021,3
Puerto Rico,Sep 28 2021,5
Puerto Rico,Sep 27 2021,1
Puerto Rico,Sep 26 2021,4
Puerto Rico,Sep 25 2021,7
Puerto Rico,Sep 24 2021,14
Puerto Rico,Sep 23 2021,5
Puerto Rico,Sep 22 2021,9
Puerto Rico,Sep 21 2021,6
Puerto Rico,Sep 20 2021,10
Puerto Rico,Sep 19 2021,10
Puerto Rico,Sep 18 2021,2
Puerto Rico,Sep 17 2021,9
Puerto Rico,Sep 16 2021,12
Puerto Rico,Sep 15 2021,11
Puerto Rico,Sep 14 2021,11
Puerto Rico,Sep 13 2021,9
Puerto Rico,Sep 12 2021,15
Puerto Rico,Sep 11 2021,11
Puerto Rico,Sep 10 2021,11
Puerto Rico,Sep  9 2021,11
Puerto Rico,Sep  8 2021,12
Puerto Rico,Sep  7 2021,14
Puerto Rico,Sep  6 2021,12
Puerto Rico,Sep  5 2021,9
Puerto Rico,Sep  4 2021,13
Puerto Rico,Sep  3 2021,11
Puerto Rico,Sep  2 2021,10
Puerto Rico,Sep  1 2021,16
Puerto Rico,Aug 31 2021,20
Puerto Rico,Aug 30 2021,11
Puerto Rico,Aug 29 2021,14
Puerto Rico,Aug 28 2021,10
Puerto Rico,Aug 27 2021,19
Puerto Rico,Aug 26 2021,10
Puerto Rico,Aug 25 2021,8
Puerto Rico,Aug 24 2021,10
Puerto Rico,Aug 23 2021,11
Puerto Rico,Aug 22 2021,14
Puerto Rico,Aug 21 2021,13
Puerto Rico,Aug 20 2021,16
Puerto Rico,Aug 19 2021,16
Puerto Rico,Aug 18 2021,9
Puerto Rico,Aug 17 2021,13
Puerto Rico,Aug 16 2021,9
Puerto Rico,Aug 15 2021,14
Puerto Rico,Aug 14 2021,4
Puerto Rico,Aug 13 2021,6
Puerto Rico,Aug 12 2021,10
Puerto Rico,Aug 11 2021,10
Puerto Rico,Aug 10 2021,5
Puerto Rico,Aug  9 2021,10
Puerto Rico,Aug  8 2021,6
Puerto Rico,Aug  7 2021,6
Puerto Rico,Aug  6 2021,6
Puerto Rico,Aug  5 2021,6
Puerto Rico,Aug  4 2021,2
Puerto Rico,Aug  3 2021,4
Puerto Rico,Aug  2 2021,4
Puerto Rico,Aug  1 2021,3
Puerto Rico,Jul 31 2021,1
Puerto Rico,Jul 30 2021,2
Puerto Rico,Jul 29 2021,2
Puerto Rico,Jul 28 2021,4
Puerto Rico,Jul 27 2021,1
Puerto Rico,Jul 26 2021,1
Puerto Rico,Jul 25 2021,3
Puerto Rico,Jul 24 2021,0
Puerto Rico,Jul 23 2021,0
Puerto Rico,Jul 22 2021,2
Puerto Rico,Jul 21 2021,1
Puerto Rico,Jul 20 2021,1
Puerto Rico,Jul 19 2021,1
Puerto Rico,Jul 18 2021,2
Puerto Rico,Jul 17 2021,0
Puerto Rico,Jul 16 2021,0
Puerto Rico,Jul 15 2021,1
Puerto Rico,Jul 14 2021,0
Puerto Rico,Jul 13 2021,1
Puerto Rico,Jul 12 2021,0
Puerto Rico,Jul 11 2021,1
Puerto Rico,Jul 10 2021,1
Puerto Rico,Jul  9 2021,0
Puerto Rico,Jul  8 2021,0
Puerto Rico,Jul  7 2021,0
Puerto Rico,Jul  6 2021,0
Puerto Rico,Jul  5 2021,1
Puerto Rico,Jul  4 2021,0
Puerto Rico,Jul  3 2021,0
Puerto Rico,Jul  2 2021,1
Puerto Rico,Jul  1 2021,2
Puerto Rico,Jun 30 2021,1
Puerto Rico,Jun 29 2021,0
Puerto Rico,Jun 28 2021,1
Puerto Rico,Jun 27 2021,2
Puerto Rico,Jun 26 2021,0
Puerto Rico,Jun 25 2021,1
Puerto Rico,Jun 24 2021,2
Puerto Rico,Jun 23 2021,0
Puerto Rico,Jun 22 2021,0
Puerto Rico,Jun 21 2021,0
Puerto Rico,Jun 20 2021,1
Puerto Rico,Jun 19 2021,1
Puerto Rico,Jun 18 2021,0
Puerto Rico,Jun 17 2021,0
Puerto Rico,Jun 16 2021,1
Puerto Rico,Jun 15 2021,5
Puerto Rico,Jun 14 2021,1
Puerto Rico,Jun 13 2021,2
Puerto Rico,Jun 12 2021,0
Puerto Rico,Jun 11 2021,2
Puerto Rico,Jun 10 2021,1
Puerto Rico,Jun  9 2021,3
Puerto Rico,Jun  8 2021,0
Puerto Rico,Jun  7 2021,1
