Data Table for Daily Death Trends - Rhode Island
Date generated: Mon Nov 15 2021 12:12:41 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Rhode Island,Nov 12 2021,3
Rhode Island,Nov 11 2021,0
Rhode Island,Nov 10 2021,3
Rhode Island,Nov  9 2021,2
Rhode Island,Nov  8 2021,1
Rhode Island,Nov  7 2021,0
Rhode Island,Nov  6 2021,0
Rhode Island,Nov  5 2021,0
Rhode Island,Nov  4 2021,0
Rhode Island,Nov  3 2021,0
Rhode Island,Nov  2 2021,0
Rhode Island,Nov  1 2021,1
Rhode Island,Oct 31 2021,1
Rhode Island,Oct 30 2021,0
Rhode Island,Oct 29 2021,0
Rhode Island,Oct 28 2021,1
Rhode Island,Oct 27 2021,1
Rhode Island,Oct 26 2021,0
Rhode Island,Oct 25 2021,3
Rhode Island,Oct 24 2021,0
Rhode Island,Oct 23 2021,2
Rhode Island,Oct 22 2021,0
Rhode Island,Oct 21 2021,1
Rhode Island,Oct 20 2021,3
Rhode Island,Oct 19 2021,4
Rhode Island,Oct 18 2021,2
Rhode Island,Oct 17 2021,0
Rhode Island,Oct 16 2021,2
Rhode Island,Oct 15 2021,0
Rhode Island,Oct 14 2021,1
Rhode Island,Oct 13 2021,1
Rhode Island,Oct 12 2021,0
Rhode Island,Oct 11 2021,2
Rhode Island,Oct 10 2021,2
Rhode Island,Oct  9 2021,0
Rhode Island,Oct  8 2021,1
Rhode Island,Oct  7 2021,1
Rhode Island,Oct  6 2021,4
Rhode Island,Oct  5 2021,2
Rhode Island,Oct  4 2021,0
Rhode Island,Oct  3 2021,1
Rhode Island,Oct  2 2021,5
Rhode Island,Oct  1 2021,1
Rhode Island,Sep 30 2021,1
Rhode Island,Sep 29 2021,1
Rhode Island,Sep 28 2021,1
Rhode Island,Sep 27 2021,3
Rhode Island,Sep 26 2021,2
Rhode Island,Sep 25 2021,2
Rhode Island,Sep 24 2021,3
Rhode Island,Sep 23 2021,3
Rhode Island,Sep 22 2021,2
Rhode Island,Sep 21 2021,0
Rhode Island,Sep 20 2021,0
Rhode Island,Sep 19 2021,2
Rhode Island,Sep 18 2021,4
Rhode Island,Sep 17 2021,1
Rhode Island,Sep 16 2021,3
Rhode Island,Sep 15 2021,0
Rhode Island,Sep 14 2021,1
Rhode Island,Sep 13 2021,3
Rhode Island,Sep 12 2021,5
Rhode Island,Sep 11 2021,3
Rhode Island,Sep 10 2021,3
Rhode Island,Sep  9 2021,6
Rhode Island,Sep  8 2021,3
Rhode Island,Sep  7 2021,4
Rhode Island,Sep  6 2021,3
Rhode Island,Sep  5 2021,3
Rhode Island,Sep  4 2021,0
Rhode Island,Sep  3 2021,2
Rhode Island,Sep  2 2021,0
Rhode Island,Sep  1 2021,0
Rhode Island,Aug 31 2021,2
Rhode Island,Aug 30 2021,2
Rhode Island,Aug 29 2021,1
Rhode Island,Aug 28 2021,1
Rhode Island,Aug 27 2021,4
Rhode Island,Aug 26 2021,4
Rhode Island,Aug 25 2021,1
Rhode Island,Aug 24 2021,0
Rhode Island,Aug 23 2021,1
Rhode Island,Aug 22 2021,1
Rhode Island,Aug 21 2021,3
Rhode Island,Aug 20 2021,0
Rhode Island,Aug 19 2021,4
Rhode Island,Aug 18 2021,0
Rhode Island,Aug 17 2021,0
Rhode Island,Aug 16 2021,0
Rhode Island,Aug 15 2021,1
Rhode Island,Aug 14 2021,1
Rhode Island,Aug 13 2021,2
Rhode Island,Aug 12 2021,0
Rhode Island,Aug 11 2021,0
Rhode Island,Aug 10 2021,0
Rhode Island,Aug  9 2021,0
Rhode Island,Aug  8 2021,2
Rhode Island,Aug  7 2021,0
Rhode Island,Aug  6 2021,1
Rhode Island,Aug  5 2021,1
Rhode Island,Aug  4 2021,1
Rhode Island,Aug  3 2021,0
Rhode Island,Aug  2 2021,0
Rhode Island,Aug  1 2021,0
Rhode Island,Jul 31 2021,0
Rhode Island,Jul 30 2021,1
Rhode Island,Jul 29 2021,0
Rhode Island,Jul 28 2021,0
Rhode Island,Jul 27 2021,0
Rhode Island,Jul 26 2021,0
Rhode Island,Jul 25 2021,0
Rhode Island,Jul 24 2021,1
Rhode Island,Jul 23 2021,0
Rhode Island,Jul 22 2021,0
Rhode Island,Jul 21 2021,0
Rhode Island,Jul 20 2021,0
Rhode Island,Jul 19 2021,0
Rhode Island,Jul 18 2021,0
Rhode Island,Jul 17 2021,0
Rhode Island,Jul 16 2021,0
Rhode Island,Jul 15 2021,1
Rhode Island,Jul 14 2021,0
Rhode Island,Jul 13 2021,1
Rhode Island,Jul 12 2021,0
Rhode Island,Jul 11 2021,1
Rhode Island,Jul 10 2021,0
Rhode Island,Jul  9 2021,0
Rhode Island,Jul  8 2021,0
Rhode Island,Jul  7 2021,0
Rhode Island,Jul  6 2021,0
Rhode Island,Jul  5 2021,0
Rhode Island,Jul  4 2021,1
Rhode Island,Jul  3 2021,0
Rhode Island,Jul  2 2021,0
Rhode Island,Jul  1 2021,0
Rhode Island,Jun 30 2021,1
Rhode Island,Jun 29 2021,1
Rhode Island,Jun 28 2021,0
Rhode Island,Jun 27 2021,0
Rhode Island,Jun 26 2021,0
Rhode Island,Jun 25 2021,2
Rhode Island,Jun 24 2021,0
Rhode Island,Jun 23 2021,0
Rhode Island,Jun 22 2021,2
Rhode Island,Jun 21 2021,0
Rhode Island,Jun 20 2021,1
Rhode Island,Jun 19 2021,1
Rhode Island,Jun 18 2021,0
Rhode Island,Jun 17 2021,2
Rhode Island,Jun 16 2021,0
Rhode Island,Jun 15 2021,0
Rhode Island,Jun 14 2021,1
Rhode Island,Jun 13 2021,0
Rhode Island,Jun 12 2021,0
Rhode Island,Jun 11 2021,0
Rhode Island,Jun 10 2021,0
Rhode Island,Jun  9 2021,0
Rhode Island,Jun  8 2021,0
Rhode Island,Jun  7 2021,0
Rhode Island,Jun  6 2021,2
Rhode Island,Jun  5 2021,0
Rhode Island,Jun  4 2021,2
Rhode Island,Jun  3 2021,1
Rhode Island,Jun  2 2021,1
Rhode Island,Jun  1 2021,1
Rhode Island,May 31 2021,1
Rhode Island,May 30 2021,0
Rhode Island,May 29 2021,0
Rhode Island,May 28 2021,1
Rhode Island,May 27 2021,1
Rhode Island,May 26 2021,1
Rhode Island,May 25 2021,0
Rhode Island,May 24 2021,2
Rhode Island,May 23 2021,0
Rhode Island,May 22 2021,2
Rhode Island,May 21 2021,1
Rhode Island,May 20 2021,0
Rhode Island,May 19 2021,0
Rhode Island,May 18 2021,1
Rhode Island,May 17 2021,2
Rhode Island,May 16 2021,0
Rhode Island,May 15 2021,0
Rhode Island,May 14 2021,2
Rhode Island,May 13 2021,1
Rhode Island,May 12 2021,2
Rhode Island,May 11 2021,2
Rhode Island,May 10 2021,2
Rhode Island,May  9 2021,2
Rhode Island,May  8 2021,1
Rhode Island,May  7 2021,1
Rhode Island,May  6 2021,1
Rhode Island,May  5 2021,0
Rhode Island,May  4 2021,2
Rhode Island,May  3 2021,3
Rhode Island,May  2 2021,5
Rhode Island,May  1 2021,1
Rhode Island,Apr 30 2021,3
Rhode Island,Apr 29 2021,2
Rhode Island,Apr 28 2021,4
Rhode Island,Apr 27 2021,0
Rhode Island,Apr 26 2021,3
Rhode Island,Apr 25 2021,2
Rhode Island,Apr 24 2021,0
Rhode Island,Apr 23 2021,1
Rhode Island,Apr 22 2021,1
Rhode Island,Apr 21 2021,3
Rhode Island,Apr 20 2021,0
Rhode Island,Apr 19 2021,0
Rhode Island,Apr 18 2021,4
Rhode Island,Apr 17 2021,1
Rhode Island,Apr 16 2021,2
Rhode Island,Apr 15 2021,2
Rhode Island,Apr 14 2021,2
Rhode Island,Apr 13 2021,2
Rhode Island,Apr 12 2021,2
Rhode Island,Apr 11 2021,4
Rhode Island,Apr 10 2021,1
Rhode Island,Apr  9 2021,1
Rhode Island,Apr  8 2021,3
Rhode Island,Apr  7 2021,0
Rhode Island,Apr  6 2021,2
Rhode Island,Apr  5 2021,2
Rhode Island,Apr  4 2021,0
Rhode Island,Apr  3 2021,0
Rhode Island,Apr  2 2021,2
Rhode Island,Apr  1 2021,3
Rhode Island,Mar 31 2021,3
Rhode Island,Mar 30 2021,2
Rhode Island,Mar 29 2021,3
Rhode Island,Mar 28 2021,1
Rhode Island,Mar 27 2021,4
Rhode Island,Mar 26 2021,3
Rhode Island,Mar 25 2021,2
Rhode Island,Mar 24 2021,0
Rhode Island,Mar 23 2021,0
Rhode Island,Mar 22 2021,1
Rhode Island,Mar 21 2021,3
Rhode Island,Mar 20 2021,4
Rhode Island,Mar 19 2021,3
Rhode Island,Mar 18 2021,4
Rhode Island,Mar 17 2021,2
Rhode Island,Mar 16 2021,5
Rhode Island,Mar 15 2021,3
Rhode Island,Mar 14 2021,6
Rhode Island,Mar 13 2021,2
Rhode Island,Mar 12 2021,3
Rhode Island,Mar 11 2021,6
Rhode Island,Mar 10 2021,2
Rhode Island,Mar  9 2021,3
Rhode Island,Mar  8 2021,4
Rhode Island,Mar  7 2021,0
Rhode Island,Mar  6 2021,3
Rhode Island,Mar  5 2021,2
Rhode Island,Mar  4 2021,3
Rhode Island,Mar  3 2021,0
Rhode Island,Mar  2 2021,6
Rhode Island,Mar  1 2021,3
Rhode Island,Feb 28 2021,4
Rhode Island,Feb 27 2021,0
Rhode Island,Feb 26 2021,5
Rhode Island,Feb 25 2021,5
Rhode Island,Feb 24 2021,6
Rhode Island,Feb 23 2021,3
Rhode Island,Feb 22 2021,3
Rhode Island,Feb 21 2021,4
