Data Table for Daily Death Trends - South Carolina
Date generated: Mon Nov 15 2021 12:12:49 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
South Carolina,Nov 12 2021,16
South Carolina,Nov 11 2021,0
South Carolina,Nov 10 2021,27
South Carolina,Nov  9 2021,2
South Carolina,Nov  8 2021,16
South Carolina,Nov  7 2021,33
South Carolina,Nov  6 2021,11
South Carolina,Nov  5 2021,9
South Carolina,Nov  4 2021,35
South Carolina,Nov  3 2021,35
South Carolina,Nov  2 2021,12
South Carolina,Nov  1 2021,3
South Carolina,Oct 31 2021,26
South Carolina,Oct 30 2021,8
South Carolina,Oct 29 2021,46
South Carolina,Oct 28 2021,76
South Carolina,Oct 27 2021,28
South Carolina,Oct 26 2021,6
South Carolina,Oct 25 2021,3
South Carolina,Oct 24 2021,48
South Carolina,Oct 23 2021,36
South Carolina,Oct 22 2021,62
South Carolina,Oct 21 2021,43
South Carolina,Oct 20 2021,48
South Carolina,Oct 19 2021,2
South Carolina,Oct 18 2021,49
South Carolina,Oct 17 2021,21
South Carolina,Oct 16 2021,16
South Carolina,Oct 15 2021,117
South Carolina,Oct 14 2021,22
South Carolina,Oct 13 2021,40
South Carolina,Oct 12 2021,21
South Carolina,Oct 11 2021,8
South Carolina,Oct 10 2021,40
South Carolina,Oct  9 2021,56
South Carolina,Oct  8 2021,72
South Carolina,Oct  7 2021,75
South Carolina,Oct  6 2021,53
South Carolina,Oct  5 2021,26
South Carolina,Oct  4 2021,10
South Carolina,Oct  3 2021,77
South Carolina,Oct  2 2021,49
South Carolina,Oct  1 2021,97
South Carolina,Sep 30 2021,99
South Carolina,Sep 29 2021,111
South Carolina,Sep 28 2021,45
South Carolina,Sep 27 2021,6
South Carolina,Sep 26 2021,67
South Carolina,Sep 25 2021,58
South Carolina,Sep 24 2021,124
South Carolina,Sep 23 2021,43
South Carolina,Sep 22 2021,85
South Carolina,Sep 21 2021,110
South Carolina,Sep 20 2021,28
South Carolina,Sep 19 2021,57
South Carolina,Sep 18 2021,23
South Carolina,Sep 17 2021,80
South Carolina,Sep 16 2021,50
South Carolina,Sep 15 2021,137
South Carolina,Sep 14 2021,42
South Carolina,Sep 13 2021,51
South Carolina,Sep 12 2021,38
South Carolina,Sep 11 2021,67
South Carolina,Sep 10 2021,100
South Carolina,Sep  9 2021,55
South Carolina,Sep  8 2021,25
South Carolina,Sep  7 2021,26
South Carolina,Sep  6 2021,64
South Carolina,Sep  5 2021,60
South Carolina,Sep  4 2021,37
South Carolina,Sep  3 2021,39
South Carolina,Sep  2 2021,61
South Carolina,Sep  1 2021,85
South Carolina,Aug 31 2021,36
South Carolina,Aug 30 2021,1
South Carolina,Aug 29 2021,49
South Carolina,Aug 28 2021,50
South Carolina,Aug 27 2021,39
South Carolina,Aug 26 2021,56
South Carolina,Aug 25 2021,32
South Carolina,Aug 24 2021,10
South Carolina,Aug 23 2021,43
South Carolina,Aug 22 2021,27
South Carolina,Aug 21 2021,30
South Carolina,Aug 20 2021,34
South Carolina,Aug 19 2021,43
South Carolina,Aug 18 2021,26
South Carolina,Aug 17 2021,8
South Carolina,Aug 16 2021,19
South Carolina,Aug 15 2021,6
South Carolina,Aug 14 2021,48
South Carolina,Aug 13 2021,16
South Carolina,Aug 12 2021,12
South Carolina,Aug 11 2021,15
South Carolina,Aug 10 2021,11
South Carolina,Aug  9 2021,9
South Carolina,Aug  8 2021,7
South Carolina,Aug  7 2021,15
South Carolina,Aug  6 2021,11
South Carolina,Aug  5 2021,9
South Carolina,Aug  4 2021,12
South Carolina,Aug  3 2021,2
South Carolina,Aug  2 2021,1
South Carolina,Aug  1 2021,4
South Carolina,Jul 31 2021,5
South Carolina,Jul 30 2021,2
South Carolina,Jul 29 2021,8
South Carolina,Jul 28 2021,11
South Carolina,Jul 27 2021,1
South Carolina,Jul 26 2021,2
South Carolina,Jul 25 2021,2
South Carolina,Jul 24 2021,1
South Carolina,Jul 23 2021,3
South Carolina,Jul 22 2021,7
South Carolina,Jul 21 2021,9
South Carolina,Jul 20 2021,3
South Carolina,Jul 19 2021,2
South Carolina,Jul 18 2021,1
South Carolina,Jul 17 2021,4
South Carolina,Jul 16 2021,5
South Carolina,Jul 15 2021,5
South Carolina,Jul 14 2021,3
South Carolina,Jul 13 2021,0
South Carolina,Jul 12 2021,2
South Carolina,Jul 11 2021,1
South Carolina,Jul 10 2021,7
South Carolina,Jul  9 2021,2
South Carolina,Jul  8 2021,1
South Carolina,Jul  7 2021,2
South Carolina,Jul  6 2021,0
South Carolina,Jul  5 2021,1
South Carolina,Jul  4 2021,7
South Carolina,Jul  3 2021,2
South Carolina,Jul  2 2021,4
South Carolina,Jul  1 2021,7
South Carolina,Jun 30 2021,2
South Carolina,Jun 29 2021,3
South Carolina,Jun 28 2021,1
South Carolina,Jun 27 2021,0
South Carolina,Jun 26 2021,4
South Carolina,Jun 25 2021,16
South Carolina,Jun 24 2021,1
South Carolina,Jun 23 2021,1
South Carolina,Jun 22 2021,3
South Carolina,Jun 21 2021,0
South Carolina,Jun 20 2021,8
South Carolina,Jun 19 2021,1
South Carolina,Jun 18 2021,2
South Carolina,Jun 17 2021,5
South Carolina,Jun 16 2021,3
South Carolina,Jun 15 2021,0
South Carolina,Jun 14 2021,2
South Carolina,Jun 13 2021,6
South Carolina,Jun 12 2021,5
South Carolina,Jun 11 2021,17
South Carolina,Jun 10 2021,0
South Carolina,Jun  9 2021,7
South Carolina,Jun  8 2021,0
South Carolina,Jun  7 2021,0
South Carolina,Jun  6 2021,4
