Data Table for Daily Death Trends - Tennessee
Date generated: Mon Nov 15 2021 12:13:03 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Tennessee,Nov 12 2021,38
Tennessee,Nov 11 2021,0
Tennessee,Nov 10 2021,29
Tennessee,Nov  9 2021,45
Tennessee,Nov  8 2021,10
Tennessee,Nov  7 2021,1
Tennessee,Nov  6 2021,36
Tennessee,Nov  5 2021,27
Tennessee,Nov  4 2021,32
Tennessee,Nov  3 2021,42
Tennessee,Nov  2 2021,31
Tennessee,Nov  1 2021,0
Tennessee,Oct 31 2021,8
Tennessee,Oct 30 2021,18
Tennessee,Oct 29 2021,29
Tennessee,Oct 28 2021,28
Tennessee,Oct 27 2021,51
Tennessee,Oct 26 2021,60
Tennessee,Oct 25 2021,8
Tennessee,Oct 24 2021,0
Tennessee,Oct 23 2021,17
Tennessee,Oct 22 2021,54
Tennessee,Oct 21 2021,52
Tennessee,Oct 20 2021,79
Tennessee,Oct 19 2021,86
Tennessee,Oct 18 2021,7
Tennessee,Oct 17 2021,20
Tennessee,Oct 16 2021,31
Tennessee,Oct 15 2021,60
Tennessee,Oct 14 2021,35
Tennessee,Oct 13 2021,47
Tennessee,Oct 12 2021,104
Tennessee,Oct 11 2021,7
Tennessee,Oct 10 2021,2
Tennessee,Oct  9 2021,16
Tennessee,Oct  8 2021,51
Tennessee,Oct  7 2021,61
Tennessee,Oct  6 2021,42
Tennessee,Oct  5 2021,81
Tennessee,Oct  4 2021,35
Tennessee,Oct  3 2021,29
Tennessee,Oct  2 2021,54
Tennessee,Oct  1 2021,56
Tennessee,Sep 30 2021,50
Tennessee,Sep 29 2021,44
Tennessee,Sep 28 2021,103
Tennessee,Sep 27 2021,18
Tennessee,Sep 26 2021,34
Tennessee,Sep 25 2021,75
Tennessee,Sep 24 2021,85
Tennessee,Sep 23 2021,63
Tennessee,Sep 22 2021,96
Tennessee,Sep 21 2021,0
Tennessee,Sep 20 2021,427
Tennessee,Sep 19 2021,14
Tennessee,Sep 18 2021,57
Tennessee,Sep 17 2021,52
Tennessee,Sep 16 2021,65
Tennessee,Sep 15 2021,87
Tennessee,Sep 14 2021,127
Tennessee,Sep 13 2021,33
Tennessee,Sep 12 2021,28
Tennessee,Sep 11 2021,59
Tennessee,Sep 10 2021,11
Tennessee,Sep  9 2021,75
Tennessee,Sep  8 2021,83
Tennessee,Sep  7 2021,24
Tennessee,Sep  6 2021,11
Tennessee,Sep  5 2021,14
Tennessee,Sep  4 2021,42
Tennessee,Sep  3 2021,76
Tennessee,Sep  2 2021,36
Tennessee,Sep  1 2021,32
Tennessee,Aug 31 2021,57
Tennessee,Aug 30 2021,20
Tennessee,Aug 29 2021,15
Tennessee,Aug 28 2021,49
Tennessee,Aug 27 2021,41
Tennessee,Aug 26 2021,48
Tennessee,Aug 25 2021,21
Tennessee,Aug 24 2021,31
Tennessee,Aug 23 2021,25
Tennessee,Aug 22 2021,12
Tennessee,Aug 21 2021,25
Tennessee,Aug 20 2021,46
Tennessee,Aug 19 2021,51
Tennessee,Aug 18 2021,27
Tennessee,Aug 17 2021,32
Tennessee,Aug 16 2021,19
Tennessee,Aug 15 2021,4
Tennessee,Aug 14 2021,22
Tennessee,Aug 13 2021,29
Tennessee,Aug 12 2021,20
Tennessee,Aug 11 2021,7
Tennessee,Aug 10 2021,41
Tennessee,Aug  9 2021,6
Tennessee,Aug  8 2021,3
Tennessee,Aug  7 2021,8
Tennessee,Aug  6 2021,29
Tennessee,Aug  5 2021,15
Tennessee,Aug  4 2021,9
Tennessee,Aug  3 2021,16
Tennessee,Aug  2 2021,9
Tennessee,Aug  1 2021,9
Tennessee,Jul 31 2021,8
Tennessee,Jul 30 2021,2
Tennessee,Jul 29 2021,8
Tennessee,Jul 28 2021,12
Tennessee,Jul 27 2021,20
Tennessee,Jul 26 2021,11
Tennessee,Jul 25 2021,3
Tennessee,Jul 24 2021,3
Tennessee,Jul 23 2021,7
Tennessee,Jul 22 2021,15
Tennessee,Jul 21 2021,4
Tennessee,Jul 20 2021,8
Tennessee,Jul 19 2021,1
Tennessee,Jul 18 2021,3
Tennessee,Jul 17 2021,2
Tennessee,Jul 16 2021,5
Tennessee,Jul 15 2021,3
Tennessee,Jul 14 2021,9
Tennessee,Jul 13 2021,8
Tennessee,Jul 12 2021,8
Tennessee,Jul 11 2021,0
Tennessee,Jul 10 2021,4
Tennessee,Jul  9 2021,4
Tennessee,Jul  8 2021,9
Tennessee,Jul  7 2021,6
Tennessee,Jul  6 2021,1
Tennessee,Jul  5 2021,0
Tennessee,Jul  4 2021,3
Tennessee,Jul  3 2021,2
Tennessee,Jul  2 2021,3
Tennessee,Jul  1 2021,6
Tennessee,Jun 30 2021,0
Tennessee,Jun 29 2021,7
Tennessee,Jun 28 2021,4
Tennessee,Jun 27 2021,3
Tennessee,Jun 26 2021,0
Tennessee,Jun 25 2021,7
Tennessee,Jun 24 2021,4
Tennessee,Jun 23 2021,5
Tennessee,Jun 22 2021,10
Tennessee,Jun 21 2021,3
Tennessee,Jun 20 2021,3
Tennessee,Jun 19 2021,2
Tennessee,Jun 18 2021,3
Tennessee,Jun 17 2021,7
Tennessee,Jun 16 2021,2
Tennessee,Jun 15 2021,5
Tennessee,Jun 14 2021,3
Tennessee,Jun 13 2021,0
Tennessee,Jun 12 2021,0
Tennessee,Jun 11 2021,2
Tennessee,Jun 10 2021,2
Tennessee,Jun  9 2021,2
Tennessee,Jun  8 2021,13
Tennessee,Jun  7 2021,0
Tennessee,Jun  6 2021,3
Tennessee,Jun  5 2021,1
Tennessee,Jun  4 2021,4
Tennessee,Jun  3 2021,7
Tennessee,Jun  2 2021,9
Tennessee,Jun  1 2021,10
Tennessee,May 31 2021,0
Tennessee,May 30 2021,2
Tennessee,May 29 2021,3
Tennessee,May 28 2021,13
Tennessee,May 27 2021,22
Tennessee,May 26 2021,6
Tennessee,May 25 2021,7
Tennessee,May 24 2021,6
Tennessee,May 23 2021,3
Tennessee,May 22 2021,4
Tennessee,May 21 2021,16
Tennessee,May 20 2021,11
Tennessee,May 19 2021,14
Tennessee,May 18 2021,12
Tennessee,May 17 2021,4
Tennessee,May 16 2021,1
Tennessee,May 15 2021,10
Tennessee,May 14 2021,7
Tennessee,May 13 2021,9
Tennessee,May 12 2021,4
Tennessee,May 11 2021,16
Tennessee,May 10 2021,19
Tennessee,May  9 2021,0
Tennessee,May  8 2021,2
Tennessee,May  7 2021,11
Tennessee,May  6 2021,16
Tennessee,May  5 2021,11
Tennessee,May  4 2021,13
