Data Table for Daily Death Trends - Texas
Date generated: Mon Nov 15 2021 12:13:10 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Texas,Nov 12 2021,316
Texas,Nov 11 2021,324
Texas,Nov 10 2021,0
Texas,Nov  9 2021,96
Texas,Nov  8 2021,8
Texas,Nov  7 2021,53
Texas,Nov  6 2021,132
Texas,Nov  5 2021,141
Texas,Nov  4 2021,139
Texas,Nov  3 2021,164
Texas,Nov  2 2021,129
Texas,Nov  1 2021,19
Texas,Oct 31 2021,59
Texas,Oct 30 2021,76
Texas,Oct 29 2021,178
Texas,Oct 28 2021,183
Texas,Oct 27 2021,218
Texas,Oct 26 2021,178
Texas,Oct 25 2021,17
Texas,Oct 24 2021,71
Texas,Oct 23 2021,209
Texas,Oct 22 2021,219
Texas,Oct 21 2021,260
Texas,Oct 20 2021,270
Texas,Oct 19 2021,196
Texas,Oct 18 2021,35
Texas,Oct 17 2021,88
Texas,Oct 16 2021,247
Texas,Oct 15 2021,275
Texas,Oct 14 2021,190
Texas,Oct 13 2021,312
Texas,Oct 12 2021,233
Texas,Oct 11 2021,2
Texas,Oct 10 2021,133
Texas,Oct  9 2021,275
Texas,Oct  8 2021,367
Texas,Oct  7 2021,257
Texas,Oct  6 2021,371
Texas,Oct  5 2021,277
Texas,Oct  4 2021,53
Texas,Oct  3 2021,142
Texas,Oct  2 2021,286
Texas,Oct  1 2021,328
Texas,Sep 30 2021,350
Texas,Sep 29 2021,381
Texas,Sep 28 2021,265
Texas,Sep 27 2021,38
Texas,Sep 26 2021,156
Texas,Sep 25 2021,317
Texas,Sep 24 2021,436
Texas,Sep 23 2021,463
Texas,Sep 22 2021,392
Texas,Sep 21 2021,346
Texas,Sep 20 2021,48
Texas,Sep 19 2021,110
Texas,Sep 18 2021,317
Texas,Sep 17 2021,377
Texas,Sep 16 2021,372
Texas,Sep 15 2021,411
Texas,Sep 14 2021,296
Texas,Sep 13 2021,46
Texas,Sep 12 2021,166
Texas,Sep 11 2021,357
Texas,Sep 10 2021,400
Texas,Sep  9 2021,408
Texas,Sep  8 2021,286
Texas,Sep  7 2021,128
Texas,Sep  6 2021,53
Texas,Sep  5 2021,154
Texas,Sep  4 2021,305
Texas,Sep  3 2021,302
Texas,Sep  2 2021,341
Texas,Sep  1 2021,320
Texas,Aug 31 2021,231
Texas,Aug 30 2021,33
Texas,Aug 29 2021,120
Texas,Aug 28 2021,260
Texas,Aug 27 2021,300
Texas,Aug 26 2021,236
Texas,Aug 25 2021,233
Texas,Aug 24 2021,199
Texas,Aug 23 2021,29
Texas,Aug 22 2021,66
Texas,Aug 21 2021,190
Texas,Aug 20 2021,174
Texas,Aug 19 2021,194
Texas,Aug 18 2021,174
Texas,Aug 17 2021,96
Texas,Aug 16 2021,9
Texas,Aug 15 2021,43
Texas,Aug 14 2021,117
Texas,Aug 13 2021,144
Texas,Aug 12 2021,120
Texas,Aug 11 2021,112
Texas,Aug 10 2021,84
Texas,Aug  9 2021,8
Texas,Aug  8 2021,28
Texas,Aug  7 2021,65
Texas,Aug  6 2021,73
Texas,Aug  5 2021,76
Texas,Aug  4 2021,60
Texas,Aug  3 2021,51
Texas,Aug  2 2021,4
Texas,Aug  1 2021,21
Texas,Jul 31 2021,44
Texas,Jul 30 2021,57
Texas,Jul 29 2021,35
Texas,Jul 28 2021,59
Texas,Jul 27 2021,37
Texas,Jul 26 2021,5
Texas,Jul 25 2021,18
Texas,Jul 24 2021,28
Texas,Jul 23 2021,53
