Data Table for Daily Death Trends - Utah
Date generated: Mon Nov 15 2021 12:13:17 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Utah,Nov 12 2021,22
Utah,Nov 11 2021,0
Utah,Nov 10 2021,12
Utah,Nov  9 2021,13
Utah,Nov  8 2021,14
Utah,Nov  7 2021,0
Utah,Nov  6 2021,0
Utah,Nov  5 2021,10
Utah,Nov  4 2021,14
Utah,Nov  3 2021,14
Utah,Nov  2 2021,11
Utah,Nov  1 2021,29
Utah,Oct 31 2021,0
Utah,Oct 30 2021,0
Utah,Oct 29 2021,18
Utah,Oct 28 2021,9
Utah,Oct 27 2021,22
Utah,Oct 26 2021,10
Utah,Oct 25 2021,21
Utah,Oct 24 2021,0
Utah,Oct 23 2021,0
Utah,Oct 22 2021,10
Utah,Oct 21 2021,12
Utah,Oct 20 2021,11
Utah,Oct 19 2021,5
Utah,Oct 18 2021,9
Utah,Oct 17 2021,7
Utah,Oct 16 2021,7
Utah,Oct 15 2021,17
Utah,Oct 14 2021,8
Utah,Oct 13 2021,17
Utah,Oct 12 2021,10
Utah,Oct 11 2021,7
Utah,Oct 10 2021,7
Utah,Oct  9 2021,7
Utah,Oct  8 2021,11
Utah,Oct  7 2021,9
Utah,Oct  6 2021,12
Utah,Oct  5 2021,11
Utah,Oct  4 2021,4
Utah,Oct  3 2021,2
Utah,Oct  2 2021,2
Utah,Oct  1 2021,11
Utah,Sep 30 2021,12
Utah,Sep 29 2021,15
Utah,Sep 28 2021,13
Utah,Sep 27 2021,9
Utah,Sep 26 2021,7
Utah,Sep 25 2021,7
Utah,Sep 24 2021,9
Utah,Sep 23 2021,19
Utah,Sep 22 2021,12
Utah,Sep 21 2021,25
Utah,Sep 20 2021,7
Utah,Sep 19 2021,5
Utah,Sep 18 2021,5
Utah,Sep 17 2021,8
Utah,Sep 16 2021,15
Utah,Sep 15 2021,11
Utah,Sep 14 2021,13
Utah,Sep 13 2021,6
Utah,Sep 12 2021,5
Utah,Sep 11 2021,5
Utah,Sep 10 2021,21
Utah,Sep  9 2021,10
Utah,Sep  8 2021,7
Utah,Sep  7 2021,9
Utah,Sep  6 2021,6
Utah,Sep  5 2021,6
Utah,Sep  4 2021,6
Utah,Sep  3 2021,7
Utah,Sep  2 2021,12
Utah,Sep  1 2021,6
Utah,Aug 31 2021,6
Utah,Aug 30 2021,3
Utah,Aug 29 2021,1
Utah,Aug 28 2021,1
Utah,Aug 27 2021,8
Utah,Aug 26 2021,10
Utah,Aug 25 2021,12
Utah,Aug 24 2021,9
Utah,Aug 23 2021,4
Utah,Aug 22 2021,4
Utah,Aug 21 2021,4
Utah,Aug 20 2021,9
Utah,Aug 19 2021,14
Utah,Aug 18 2021,12
Utah,Aug 17 2021,0
Utah,Aug 16 2021,4
Utah,Aug 15 2021,4
Utah,Aug 14 2021,4
Utah,Aug 13 2021,4
Utah,Aug 12 2021,3
Utah,Aug 11 2021,7
Utah,Aug 10 2021,8
Utah,Aug  9 2021,3
Utah,Aug  8 2021,3
Utah,Aug  7 2021,3
Utah,Aug  6 2021,8
Utah,Aug  5 2021,7
Utah,Aug  4 2021,8
Utah,Aug  3 2021,5
Utah,Aug  2 2021,5
Utah,Aug  1 2021,5
Utah,Jul 31 2021,5
Utah,Jul 30 2021,1
Utah,Jul 29 2021,3
Utah,Jul 28 2021,6
Utah,Jul 27 2021,7
Utah,Jul 26 2021,3
Utah,Jul 25 2021,2
Utah,Jul 24 2021,2
Utah,Jul 23 2021,2
Utah,Jul 22 2021,1
Utah,Jul 21 2021,4
Utah,Jul 20 2021,4
Utah,Jul 19 2021,1
Utah,Jul 18 2021,1
Utah,Jul 17 2021,1
Utah,Jul 16 2021,3
Utah,Jul 15 2021,4
Utah,Jul 14 2021,4
Utah,Jul 13 2021,3
Utah,Jul 12 2021,2
Utah,Jul 11 2021,2
Utah,Jul 10 2021,2
Utah,Jul  9 2021,4
Utah,Jul  8 2021,2
Utah,Jul  7 2021,2
Utah,Jul  6 2021,4
Utah,Jul  5 2021,1
Utah,Jul  4 2021,1
Utah,Jul  3 2021,1
Utah,Jul  2 2021,3
Utah,Jul  1 2021,4
Utah,Jun 30 2021,3
Utah,Jun 29 2021,3
Utah,Jun 28 2021,2
Utah,Jun 27 2021,8
Utah,Jun 26 2021,4
Utah,Jun 25 2021,4
Utah,Jun 24 2021,1
Utah,Jun 23 2021,3
