Data Table for Daily Death Trends - Virgin Islands
Date generated: Mon Nov 15 2021 12:13:31 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Virgin Islands,Nov 12 2021,0
Virgin Islands,Nov 11 2021,0
Virgin Islands,Nov 10 2021,1
Virgin Islands,Nov  9 2021,0
Virgin Islands,Nov  8 2021,0
Virgin Islands,Nov  7 2021,0
Virgin Islands,Nov  6 2021,0
Virgin Islands,Nov  5 2021,0
Virgin Islands,Nov  4 2021,1
Virgin Islands,Nov  3 2021,1
Virgin Islands,Nov  2 2021,0
Virgin Islands,Nov  1 2021,0
Virgin Islands,Oct 31 2021,0
Virgin Islands,Oct 30 2021,0
Virgin Islands,Oct 29 2021,0
Virgin Islands,Oct 28 2021,0
Virgin Islands,Oct 27 2021,0
Virgin Islands,Oct 26 2021,1
Virgin Islands,Oct 25 2021,2
Virgin Islands,Oct 24 2021,0
Virgin Islands,Oct 23 2021,0
Virgin Islands,Oct 22 2021,0
Virgin Islands,Oct 21 2021,0
Virgin Islands,Oct 20 2021,0
Virgin Islands,Oct 19 2021,0
Virgin Islands,Oct 18 2021,0
Virgin Islands,Oct 17 2021,0
Virgin Islands,Oct 16 2021,0
Virgin Islands,Oct 15 2021,0
Virgin Islands,Oct 14 2021,3
Virgin Islands,Oct 13 2021,0
Virgin Islands,Oct 12 2021,2
Virgin Islands,Oct 11 2021,0
Virgin Islands,Oct 10 2021,0
Virgin Islands,Oct  9 2021,0
Virgin Islands,Oct  8 2021,1
Virgin Islands,Oct  7 2021,0
Virgin Islands,Oct  6 2021,0
Virgin Islands,Oct  5 2021,0
Virgin Islands,Oct  4 2021,1
Virgin Islands,Oct  3 2021,0
Virgin Islands,Oct  2 2021,0
Virgin Islands,Oct  1 2021,0
Virgin Islands,Sep 30 2021,0
Virgin Islands,Sep 29 2021,0
Virgin Islands,Sep 28 2021,0
Virgin Islands,Sep 27 2021,2
Virgin Islands,Sep 26 2021,0
Virgin Islands,Sep 25 2021,0
Virgin Islands,Sep 24 2021,0
Virgin Islands,Sep 23 2021,0
Virgin Islands,Sep 22 2021,1
Virgin Islands,Sep 21 2021,1
Virgin Islands,Sep 20 2021,0
Virgin Islands,Sep 19 2021,0
Virgin Islands,Sep 18 2021,0
Virgin Islands,Sep 17 2021,0
Virgin Islands,Sep 16 2021,0
Virgin Islands,Sep 15 2021,1
Virgin Islands,Sep 14 2021,0
Virgin Islands,Sep 13 2021,1
Virgin Islands,Sep 12 2021,0
Virgin Islands,Sep 11 2021,1
Virgin Islands,Sep 10 2021,1
Virgin Islands,Sep  9 2021,0
Virgin Islands,Sep  8 2021,1
Virgin Islands,Sep  7 2021,2
Virgin Islands,Sep  6 2021,0
Virgin Islands,Sep  5 2021,0
Virgin Islands,Sep  4 2021,0
Virgin Islands,Sep  3 2021,3
Virgin Islands,Sep  2 2021,1
Virgin Islands,Sep  1 2021,1
Virgin Islands,Aug 31 2021,1
Virgin Islands,Aug 30 2021,1
Virgin Islands,Aug 29 2021,0
Virgin Islands,Aug 28 2021,0
Virgin Islands,Aug 27 2021,0
Virgin Islands,Aug 26 2021,2
Virgin Islands,Aug 25 2021,0
Virgin Islands,Aug 24 2021,2
Virgin Islands,Aug 23 2021,2
Virgin Islands,Aug 22 2021,2
Virgin Islands,Aug 21 2021,0
Virgin Islands,Aug 20 2021,1
Virgin Islands,Aug 19 2021,3
Virgin Islands,Aug 18 2021,0
Virgin Islands,Aug 17 2021,0
Virgin Islands,Aug 16 2021,0
Virgin Islands,Aug 15 2021,0
Virgin Islands,Aug 14 2021,0
Virgin Islands,Aug 13 2021,0
Virgin Islands,Aug 12 2021,0
Virgin Islands,Aug 11 2021,0
Virgin Islands,Aug 10 2021,1
Virgin Islands,Aug  9 2021,0
Virgin Islands,Aug  8 2021,0
Virgin Islands,Aug  7 2021,0
Virgin Islands,Aug  6 2021,0
Virgin Islands,Aug  5 2021,1
Virgin Islands,Aug  4 2021,0
Virgin Islands,Aug  3 2021,0
Virgin Islands,Aug  2 2021,1
Virgin Islands,Aug  1 2021,1
Virgin Islands,Jul 31 2021,0
Virgin Islands,Jul 30 2021,1
Virgin Islands,Jul 29 2021,0
Virgin Islands,Jul 28 2021,0
Virgin Islands,Jul 27 2021,1
Virgin Islands,Jul 26 2021,0
Virgin Islands,Jul 25 2021,0
Virgin Islands,Jul 24 2021,0
Virgin Islands,Jul 23 2021,0
Virgin Islands,Jul 22 2021,2
Virgin Islands,Jul 21 2021,0
Virgin Islands,Jul 20 2021,1
Virgin Islands,Jul 19 2021,0
Virgin Islands,Jul 18 2021,0
Virgin Islands,Jul 17 2021,0
Virgin Islands,Jul 16 2021,0
Virgin Islands,Jul 15 2021,0
Virgin Islands,Jul 14 2021,0
Virgin Islands,Jul 13 2021,0
Virgin Islands,Jul 12 2021,0
Virgin Islands,Jul 11 2021,0
Virgin Islands,Jul 10 2021,0
Virgin Islands,Jul  9 2021,0
Virgin Islands,Jul  8 2021,0
Virgin Islands,Jul  7 2021,0
Virgin Islands,Jul  6 2021,2
Virgin Islands,Jul  5 2021,0
Virgin Islands,Jul  4 2021,0
Virgin Islands,Jul  3 2021,0
Virgin Islands,Jul  2 2021,0
Virgin Islands,Jul  1 2021,0
Virgin Islands,Jun 30 2021,0
Virgin Islands,Jun 29 2021,0
Virgin Islands,Jun 28 2021,0
Virgin Islands,Jun 27 2021,0
Virgin Islands,Jun 26 2021,0
Virgin Islands,Jun 25 2021,0
Virgin Islands,Jun 24 2021,0
Virgin Islands,Jun 23 2021,0
Virgin Islands,Jun 22 2021,0
Virgin Islands,Jun 21 2021,0
Virgin Islands,Jun 20 2021,0
Virgin Islands,Jun 19 2021,0
Virgin Islands,Jun 18 2021,0
Virgin Islands,Jun 17 2021,0
Virgin Islands,Jun 16 2021,0
Virgin Islands,Jun 15 2021,1
Virgin Islands,Jun 14 2021,1
Virgin Islands,Jun 13 2021,0
Virgin Islands,Jun 12 2021,0
Virgin Islands,Jun 11 2021,0
Virgin Islands,Jun 10 2021,0
Virgin Islands,Jun  9 2021,0
Virgin Islands,Jun  8 2021,0
Virgin Islands,Jun  7 2021,0
Virgin Islands,Jun  6 2021,0
Virgin Islands,Jun  5 2021,0
Virgin Islands,Jun  4 2021,0
Virgin Islands,Jun  3 2021,0
Virgin Islands,Jun  2 2021,1
Virgin Islands,Jun  1 2021,0
Virgin Islands,May 31 2021,0
Virgin Islands,May 30 2021,0
Virgin Islands,May 29 2021,0
Virgin Islands,May 28 2021,0
Virgin Islands,May 27 2021,0
Virgin Islands,May 26 2021,0
Virgin Islands,May 25 2021,0
Virgin Islands,May 24 2021,0
Virgin Islands,May 23 2021,0
Virgin Islands,May 22 2021,0
Virgin Islands,May 21 2021,0
Virgin Islands,May 20 2021,0
Virgin Islands,May 19 2021,0
Virgin Islands,May 18 2021,0
Virgin Islands,May 17 2021,0
Virgin Islands,May 16 2021,0
Virgin Islands,May 15 2021,0
Virgin Islands,May 14 2021,0
Virgin Islands,May 13 2021,0
Virgin Islands,May 12 2021,0
Virgin Islands,May 11 2021,0
Virgin Islands,May 10 2021,0
Virgin Islands,May  9 2021,0
Virgin Islands,May  8 2021,0
Virgin Islands,May  7 2021,0
Virgin Islands,May  6 2021,0
Virgin Islands,May  5 2021,0
Virgin Islands,May  4 2021,0
Virgin Islands,May  3 2021,0
Virgin Islands,May  2 2021,0
Virgin Islands,May  1 2021,0
Virgin Islands,Apr 30 2021,0
Virgin Islands,Apr 29 2021,0
Virgin Islands,Apr 28 2021,0
Virgin Islands,Apr 27 2021,0
Virgin Islands,Apr 26 2021,0
Virgin Islands,Apr 25 2021,0
Virgin Islands,Apr 24 2021,0
Virgin Islands,Apr 23 2021,0
Virgin Islands,Apr 22 2021,0
Virgin Islands,Apr 21 2021,0
Virgin Islands,Apr 20 2021,0
Virgin Islands,Apr 19 2021,1
Virgin Islands,Apr 18 2021,0
Virgin Islands,Apr 17 2021,0
Virgin Islands,Apr 16 2021,0
Virgin Islands,Apr 15 2021,0
Virgin Islands,Apr 14 2021,0
Virgin Islands,Apr 13 2021,0
Virgin Islands,Apr 12 2021,0
Virgin Islands,Apr 11 2021,0
Virgin Islands,Apr 10 2021,0
Virgin Islands,Apr  9 2021,0
Virgin Islands,Apr  8 2021,0
Virgin Islands,Apr  7 2021,0
Virgin Islands,Apr  6 2021,0
Virgin Islands,Apr  5 2021,0
Virgin Islands,Apr  4 2021,0
Virgin Islands,Apr  3 2021,0
Virgin Islands,Apr  2 2021,0
Virgin Islands,Apr  1 2021,0
Virgin Islands,Mar 31 2021,0
Virgin Islands,Mar 30 2021,0
Virgin Islands,Mar 29 2021,0
Virgin Islands,Mar 28 2021,0
Virgin Islands,Mar 27 2021,1
Virgin Islands,Mar 26 2021,0
Virgin Islands,Mar 25 2021,0
Virgin Islands,Mar 24 2021,0
Virgin Islands,Mar 23 2021,1
Virgin Islands,Mar 22 2021,0
Virgin Islands,Mar 21 2021,0
Virgin Islands,Mar 20 2021,0
Virgin Islands,Mar 19 2021,0
Virgin Islands,Mar 18 2021,0
Virgin Islands,Mar 17 2021,0
Virgin Islands,Mar 16 2021,0
Virgin Islands,Mar 15 2021,0
Virgin Islands,Mar 14 2021,0
Virgin Islands,Mar 13 2021,0
Virgin Islands,Mar 12 2021,0
Virgin Islands,Mar 11 2021,0
Virgin Islands,Mar 10 2021,0
Virgin Islands,Mar  9 2021,0
Virgin Islands,Mar  8 2021,0
Virgin Islands,Mar  7 2021,0
Virgin Islands,Mar  6 2021,0
Virgin Islands,Mar  5 2021,0
Virgin Islands,Mar  4 2021,0
Virgin Islands,Mar  3 2021,0
Virgin Islands,Mar  2 2021,0
Virgin Islands,Mar  1 2021,0
Virgin Islands,Feb 28 2021,0
Virgin Islands,Feb 27 2021,0
Virgin Islands,Feb 26 2021,0
Virgin Islands,Feb 25 2021,0
Virgin Islands,Feb 24 2021,0
Virgin Islands,Feb 23 2021,0
Virgin Islands,Feb 22 2021,0
Virgin Islands,Feb 21 2021,0
Virgin Islands,Feb 20 2021,0
Virgin Islands,Feb 19 2021,0
Virgin Islands,Feb 18 2021,0
Virgin Islands,Feb 17 2021,0
Virgin Islands,Feb 16 2021,0
Virgin Islands,Feb 15 2021,0
Virgin Islands,Feb 14 2021,0
Virgin Islands,Feb 13 2021,0
Virgin Islands,Feb 12 2021,0
Virgin Islands,Feb 11 2021,0
Virgin Islands,Feb 10 2021,1
Virgin Islands,Feb  9 2021,0
Virgin Islands,Feb  8 2021,0
Virgin Islands,Feb  7 2021,0
Virgin Islands,Feb  6 2021,0
Virgin Islands,Feb  5 2021,0
Virgin Islands,Feb  4 2021,0
Virgin Islands,Feb  3 2021,0
Virgin Islands,Feb  2 2021,0
Virgin Islands,Feb  1 2021,0
Virgin Islands,Jan 31 2021,0
Virgin Islands,Jan 30 2021,0
Virgin Islands,Jan 29 2021,0
Virgin Islands,Jan 28 2021,0
Virgin Islands,Jan 27 2021,0
Virgin Islands,Jan 26 2021,0
Virgin Islands,Jan 25 2021,0
Virgin Islands,Jan 24 2021,0
Virgin Islands,Jan 23 2021,0
Virgin Islands,Jan 22 2021,0
Virgin Islands,Jan 21 2021,0
Virgin Islands,Jan 20 2021,0
Virgin Islands,Jan 19 2021,0
Virgin Islands,Jan 18 2021,0
Virgin Islands,Jan 17 2021,0
Virgin Islands,Jan 16 2021,0
Virgin Islands,Jan 15 2021,0
Virgin Islands,Jan 14 2021,0
Virgin Islands,Jan 13 2021,0
Virgin Islands,Jan 12 2021,0
Virgin Islands,Jan 11 2021,0
Virgin Islands,Jan 10 2021,0
Virgin Islands,Jan  9 2021,0
Virgin Islands,Jan  8 2021,0
Virgin Islands,Jan  7 2021,0
Virgin Islands,Jan  6 2021,0
Virgin Islands,Jan  5 2021,0
Virgin Islands,Jan  4 2021,1
Virgin Islands,Jan  3 2021,0
Virgin Islands,Jan  2 2021,0
Virgin Islands,Jan  1 2021,0
