Data Table for Daily Death Trends - Virginia
Date generated: Mon Nov 15 2021 12:13:38 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Virginia,Nov 12 2021,34
Virginia,Nov 11 2021,27
Virginia,Nov 10 2021,33
Virginia,Nov  9 2021,36
Virginia,Nov  8 2021,70
Virginia,Nov  7 2021,0
Virginia,Nov  6 2021,0
Virginia,Nov  5 2021,30
Virginia,Nov  4 2021,36
Virginia,Nov  3 2021,37
Virginia,Nov  2 2021,32
Virginia,Nov  1 2021,72
Virginia,Oct 31 2021,0
Virginia,Oct 30 2021,0
Virginia,Oct 29 2021,41
Virginia,Oct 28 2021,37
Virginia,Oct 27 2021,43
Virginia,Oct 26 2021,34
Virginia,Oct 25 2021,85
Virginia,Oct 24 2021,0
Virginia,Oct 23 2021,0
Virginia,Oct 22 2021,40
Virginia,Oct 21 2021,44
Virginia,Oct 20 2021,39
Virginia,Oct 19 2021,47
Virginia,Oct 18 2021,36
Virginia,Oct 17 2021,35
Virginia,Oct 16 2021,35
Virginia,Oct 15 2021,41
Virginia,Oct 14 2021,46
Virginia,Oct 13 2021,59
Virginia,Oct 12 2021,67
Virginia,Oct 11 2021,32
Virginia,Oct 10 2021,32
Virginia,Oct  9 2021,32
Virginia,Oct  8 2021,48
Virginia,Oct  7 2021,44
Virginia,Oct  6 2021,32
Virginia,Oct  5 2021,44
Virginia,Oct  4 2021,38
Virginia,Oct  3 2021,34
Virginia,Oct  2 2021,34
Virginia,Oct  1 2021,43
Virginia,Sep 30 2021,56
Virginia,Sep 29 2021,53
Virginia,Sep 28 2021,49
Virginia,Sep 27 2021,33
Virginia,Sep 26 2021,29
Virginia,Sep 25 2021,29
Virginia,Sep 24 2021,46
Virginia,Sep 23 2021,48
Virginia,Sep 22 2021,54
Virginia,Sep 21 2021,45
Virginia,Sep 20 2021,32
Virginia,Sep 19 2021,29
Virginia,Sep 18 2021,29
Virginia,Sep 17 2021,32
Virginia,Sep 16 2021,35
Virginia,Sep 15 2021,37
Virginia,Sep 14 2021,52
Virginia,Sep 13 2021,18
Virginia,Sep 12 2021,18
Virginia,Sep 11 2021,18
Virginia,Sep 10 2021,28
