Data Table for Daily Death Trends - West Virginia
Date generated: Mon Nov 15 2021 12:13:51 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
West Virginia,Nov 12 2021,0
West Virginia,Nov 11 2021,18
West Virginia,Nov 10 2021,24
West Virginia,Nov  9 2021,20
West Virginia,Nov  8 2021,30
West Virginia,Nov  7 2021,0
West Virginia,Nov  6 2021,0
West Virginia,Nov  5 2021,7
West Virginia,Nov  4 2021,21
West Virginia,Nov  3 2021,15
West Virginia,Nov  2 2021,25
West Virginia,Nov  1 2021,24
West Virginia,Oct 31 2021,0
West Virginia,Oct 30 2021,0
West Virginia,Oct 29 2021,17
West Virginia,Oct 28 2021,63
West Virginia,Oct 27 2021,30
West Virginia,Oct 26 2021,24
West Virginia,Oct 25 2021,29
West Virginia,Oct 24 2021,0
West Virginia,Oct 23 2021,0
West Virginia,Oct 22 2021,25
West Virginia,Oct 21 2021,19
West Virginia,Oct 20 2021,74
West Virginia,Oct 19 2021,11
West Virginia,Oct 18 2021,26
West Virginia,Oct 17 2021,0
West Virginia,Oct 16 2021,0
West Virginia,Oct 15 2021,60
West Virginia,Oct 14 2021,50
West Virginia,Oct 13 2021,3
West Virginia,Oct 12 2021,19
West Virginia,Oct 11 2021,41
West Virginia,Oct 10 2021,0
West Virginia,Oct  9 2021,0
West Virginia,Oct  8 2021,69
West Virginia,Oct  7 2021,27
West Virginia,Oct  6 2021,65
West Virginia,Oct  5 2021,5
West Virginia,Oct  4 2021,47
West Virginia,Oct  3 2021,0
West Virginia,Oct  2 2021,0
West Virginia,Oct  1 2021,52
West Virginia,Sep 30 2021,28
West Virginia,Sep 29 2021,64
West Virginia,Sep 28 2021,10
West Virginia,Sep 27 2021,45
West Virginia,Sep 26 2021,0
West Virginia,Sep 25 2021,0
West Virginia,Sep 24 2021,31
West Virginia,Sep 23 2021,25
West Virginia,Sep 22 2021,26
West Virginia,Sep 21 2021,17
West Virginia,Sep 20 2021,54
West Virginia,Sep 19 2021,0
West Virginia,Sep 18 2021,0
West Virginia,Sep 17 2021,57
West Virginia,Sep 16 2021,17
West Virginia,Sep 15 2021,35
West Virginia,Sep 14 2021,23
West Virginia,Sep 13 2021,31
West Virginia,Sep 12 2021,0
West Virginia,Sep 11 2021,0
West Virginia,Sep 10 2021,18
West Virginia,Sep  9 2021,20
West Virginia,Sep  8 2021,18
West Virginia,Sep  7 2021,3
West Virginia,Sep  6 2021,24
West Virginia,Sep  5 2021,0
