Data Table for Daily Death Trends - Wisconsin
Date generated: Mon Nov 15 2021 12:13:57 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Wisconsin,Nov 12 2021,22
Wisconsin,Nov 11 2021,16
Wisconsin,Nov 10 2021,39
Wisconsin,Nov  9 2021,26
Wisconsin,Nov  8 2021,34
Wisconsin,Nov  7 2021,0
Wisconsin,Nov  6 2021,0
Wisconsin,Nov  5 2021,19
Wisconsin,Nov  4 2021,28
Wisconsin,Nov  3 2021,28
Wisconsin,Nov  2 2021,37
Wisconsin,Nov  1 2021,14
Wisconsin,Oct 31 2021,0
Wisconsin,Oct 30 2021,0
Wisconsin,Oct 29 2021,26
Wisconsin,Oct 28 2021,20
Wisconsin,Oct 27 2021,26
Wisconsin,Oct 26 2021,45
Wisconsin,Oct 25 2021,40
Wisconsin,Oct 24 2021,0
Wisconsin,Oct 23 2021,0
Wisconsin,Oct 22 2021,33
Wisconsin,Oct 21 2021,19
Wisconsin,Oct 20 2021,26
Wisconsin,Oct 19 2021,17
Wisconsin,Oct 18 2021,1
Wisconsin,Oct 17 2021,1
Wisconsin,Oct 16 2021,10
Wisconsin,Oct 15 2021,11
Wisconsin,Oct 14 2021,17
Wisconsin,Oct 13 2021,23
Wisconsin,Oct 12 2021,47
Wisconsin,Oct 11 2021,18
Wisconsin,Oct 10 2021,15
Wisconsin,Oct  9 2021,15
Wisconsin,Oct  8 2021,17
Wisconsin,Oct  7 2021,19
Wisconsin,Oct  6 2021,10
Wisconsin,Oct  5 2021,26
Wisconsin,Oct  4 2021,13
Wisconsin,Oct  3 2021,10
Wisconsin,Oct  2 2021,10
Wisconsin,Oct  1 2021,13
Wisconsin,Sep 30 2021,20
Wisconsin,Sep 29 2021,19
Wisconsin,Sep 28 2021,36
Wisconsin,Sep 27 2021,7
Wisconsin,Sep 26 2021,6
Wisconsin,Sep 25 2021,6
Wisconsin,Sep 24 2021,20
Wisconsin,Sep 23 2021,20
Wisconsin,Sep 22 2021,23
Wisconsin,Sep 21 2021,18
Wisconsin,Sep 20 2021,4
Wisconsin,Sep 19 2021,3
Wisconsin,Sep 18 2021,3
Wisconsin,Sep 17 2021,21
Wisconsin,Sep 16 2021,16
Wisconsin,Sep 15 2021,20
Wisconsin,Sep 14 2021,14
Wisconsin,Sep 13 2021,7
Wisconsin,Sep 12 2021,6
Wisconsin,Sep 11 2021,6
Wisconsin,Sep 10 2021,24
Wisconsin,Sep  9 2021,32
Wisconsin,Sep  8 2021,20
Wisconsin,Sep  7 2021,1
Wisconsin,Sep  6 2021,7
Wisconsin,Sep  5 2021,4
Wisconsin,Sep  4 2021,4
Wisconsin,Sep  3 2021,12
Wisconsin,Sep  2 2021,13
Wisconsin,Sep  1 2021,34
Wisconsin,Aug 31 2021,17
Wisconsin,Aug 30 2021,3
Wisconsin,Aug 29 2021,2
Wisconsin,Aug 28 2021,2
Wisconsin,Aug 27 2021,9
Wisconsin,Aug 26 2021,13
Wisconsin,Aug 25 2021,10
Wisconsin,Aug 24 2021,33
Wisconsin,Aug 23 2021,3
Wisconsin,Aug 22 2021,1
Wisconsin,Aug 21 2021,1
Wisconsin,Aug 20 2021,12
Wisconsin,Aug 19 2021,3
Wisconsin,Aug 18 2021,17
Wisconsin,Aug 17 2021,12
Wisconsin,Aug 16 2021,2
Wisconsin,Aug 15 2021,0
Wisconsin,Aug 14 2021,0
Wisconsin,Aug 13 2021,5
Wisconsin,Aug 12 2021,3
Wisconsin,Aug 11 2021,3
Wisconsin,Aug 10 2021,5
Wisconsin,Aug  9 2021,2
Wisconsin,Aug  8 2021,2
Wisconsin,Aug  7 2021,2
Wisconsin,Aug  6 2021,0
Wisconsin,Aug  5 2021,3
Wisconsin,Aug  4 2021,3
Wisconsin,Aug  3 2021,4
Wisconsin,Aug  2 2021,3
Wisconsin,Aug  1 2021,1
Wisconsin,Jul 31 2021,1
Wisconsin,Jul 30 2021,3
Wisconsin,Jul 29 2021,5
Wisconsin,Jul 28 2021,21
Wisconsin,Jul 27 2021,8
Wisconsin,Jul 26 2021,5
Wisconsin,Jul 25 2021,4
Wisconsin,Jul 24 2021,4
Wisconsin,Jul 23 2021,6
Wisconsin,Jul 22 2021,5
Wisconsin,Jul 21 2021,6
Wisconsin,Jul 20 2021,11
Wisconsin,Jul 19 2021,3
Wisconsin,Jul 18 2021,0
Wisconsin,Jul 17 2021,0
Wisconsin,Jul 16 2021,11
Wisconsin,Jul 15 2021,2
Wisconsin,Jul 14 2021,7
Wisconsin,Jul 13 2021,4
Wisconsin,Jul 12 2021,3
Wisconsin,Jul 11 2021,0
Wisconsin,Jul 10 2021,0
Wisconsin,Jul  9 2021,24
Wisconsin,Jul  8 2021,4
Wisconsin,Jul  7 2021,10
Wisconsin,Jul  6 2021,0
Wisconsin,Jul  5 2021,5
Wisconsin,Jul  4 2021,2
Wisconsin,Jul  3 2021,2
Wisconsin,Jul  2 2021,1
Wisconsin,Jul  1 2021,6
Wisconsin,Jun 30 2021,2
Wisconsin,Jun 29 2021,17
Wisconsin,Jun 28 2021,4
Wisconsin,Jun 27 2021,3
Wisconsin,Jun 26 2021,3
Wisconsin,Jun 25 2021,7
Wisconsin,Jun 24 2021,15
Wisconsin,Jun 23 2021,10
Wisconsin,Jun 22 2021,3
Wisconsin,Jun 21 2021,17
Wisconsin,Jun 20 2021,1
Wisconsin,Jun 19 2021,0
Wisconsin,Jun 18 2021,0
Wisconsin,Jun 17 2021,5
Wisconsin,Jun 16 2021,18
Wisconsin,Jun 15 2021,8
