Data Table for Daily Death Trends - Wyoming
Date generated: Mon Nov 15 2021 12:14:05 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Wyoming,Nov 12 2021,0
Wyoming,Nov 11 2021,0
Wyoming,Nov 10 2021,0
Wyoming,Nov  9 2021,55
Wyoming,Nov  8 2021,0
Wyoming,Nov  7 2021,0
Wyoming,Nov  6 2021,0
Wyoming,Nov  5 2021,0
Wyoming,Nov  4 2021,0
Wyoming,Nov  3 2021,0
Wyoming,Nov  2 2021,69
Wyoming,Nov  1 2021,0
Wyoming,Oct 31 2021,0
Wyoming,Oct 30 2021,0
Wyoming,Oct 29 2021,0
Wyoming,Oct 28 2021,0
Wyoming,Oct 27 2021,0
Wyoming,Oct 26 2021,25
Wyoming,Oct 25 2021,0
Wyoming,Oct 24 2021,0
Wyoming,Oct 23 2021,0
Wyoming,Oct 22 2021,0
Wyoming,Oct 21 2021,13
Wyoming,Oct 20 2021,0
Wyoming,Oct 19 2021,56
Wyoming,Oct 18 2021,0
Wyoming,Oct 17 2021,0
Wyoming,Oct 16 2021,0
Wyoming,Oct 15 2021,0
Wyoming,Oct 14 2021,0
Wyoming,Oct 13 2021,0
Wyoming,Oct 12 2021,39
Wyoming,Oct 11 2021,0
Wyoming,Oct 10 2021,0
Wyoming,Oct  9 2021,0
Wyoming,Oct  8 2021,0
Wyoming,Oct  7 2021,0
Wyoming,Oct  6 2021,0
Wyoming,Oct  5 2021,45
Wyoming,Oct  4 2021,0
Wyoming,Oct  3 2021,0
Wyoming,Oct  2 2021,0
Wyoming,Oct  1 2021,0
Wyoming,Sep 30 2021,0
Wyoming,Sep 29 2021,0
Wyoming,Sep 28 2021,41
Wyoming,Sep 27 2021,0
Wyoming,Sep 26 2021,0
Wyoming,Sep 25 2021,0
Wyoming,Sep 24 2021,0
Wyoming,Sep 23 2021,0
Wyoming,Sep 22 2021,0
Wyoming,Sep 21 2021,37
Wyoming,Sep 20 2021,0
Wyoming,Sep 19 2021,0
Wyoming,Sep 18 2021,0
Wyoming,Sep 17 2021,0
Wyoming,Sep 16 2021,0
Wyoming,Sep 15 2021,0
Wyoming,Sep 14 2021,39
Wyoming,Sep 13 2021,0
Wyoming,Sep 12 2021,0
Wyoming,Sep 11 2021,0
Wyoming,Sep 10 2021,0
Wyoming,Sep  9 2021,0
Wyoming,Sep  8 2021,0
Wyoming,Sep  7 2021,21
Wyoming,Sep  6 2021,0
Wyoming,Sep  5 2021,0
Wyoming,Sep  4 2021,0
Wyoming,Sep  3 2021,0
Wyoming,Sep  2 2021,0
Wyoming,Sep  1 2021,0
Wyoming,Aug 31 2021,23
Wyoming,Aug 30 2021,0
Wyoming,Aug 29 2021,0
Wyoming,Aug 28 2021,0
Wyoming,Aug 27 2021,0
Wyoming,Aug 26 2021,0
Wyoming,Aug 25 2021,0
Wyoming,Aug 24 2021,26
Wyoming,Aug 23 2021,0
Wyoming,Aug 22 2021,0
Wyoming,Aug 21 2021,0
Wyoming,Aug 20 2021,0
