,State,Date,New Cases,New Deaths,People_Fully_Vaccinated
0,Alabama,2020-01-23,0,0,
1,Alabama,2020-01-24,0,0,
2,Alabama,2020-01-25,0,0,
3,Alabama,2020-01-26,0,0,
4,Alabama,2020-01-27,0,0,
5,Alabama,2020-01-28,0,0,
6,Alabama,2020-01-29,0,0,
7,Alabama,2020-01-30,0,0,
8,Alabama,2020-01-31,0,0,
9,Alabama,2020-02-01,0,0,
10,Alabama,2020-02-02,0,0,
11,Alabama,2020-02-03,0,0,
12,Alabama,2020-02-04,0,0,
13,Alabama,2020-02-05,0,0,
14,Alabama,2020-02-06,0,0,
15,Alabama,2020-02-07,0,0,
16,Alabama,2020-02-08,0,0,
17,Alabama,2020-02-09,0,0,
18,Alabama,2020-02-10,0,0,
19,Alabama,2020-02-11,0,0,
20,Alabama,2020-02-12,0,0,
21,Alabama,2020-02-13,0,0,
22,Alabama,2020-02-14,0,0,
23,Alabama,2020-02-15,0,0,
24,Alabama,2020-02-16,0,0,
25,Alabama,2020-02-17,0,0,
26,Alabama,2020-02-18,0,0,
27,Alabama,2020-02-19,0,0,
28,Alabama,2020-02-20,0,0,
29,Alabama,2020-02-21,0,0,
30,Alabama,2020-02-22,0,0,
31,Alabama,2020-02-23,0,0,
32,Alabama,2020-02-24,0,0,
33,Alabama,2020-02-25,0,0,
34,Alabama,2020-02-26,0,0,
35,Alabama,2020-02-27,0,0,
36,Alabama,2020-02-28,0,0,
37,Alabama,2020-02-29,0,0,
38,Alabama,2020-03-01,0,0,
39,Alabama,2020-03-02,0,0,
40,Alabama,2020-03-03,0,0,
41,Alabama,2020-03-04,0,0,
42,Alabama,2020-03-05,0,0,
43,Alabama,2020-03-06,0,0,
44,Alabama,2020-03-07,0,0,
45,Alabama,2020-03-08,0,0,
46,Alabama,2020-03-09,0,0,
47,Alabama,2020-03-10,0,0,
48,Alabama,2020-03-11,3,0,
49,Alabama,2020-03-12,1,0,
50,Alabama,2020-03-13,4,0,
51,Alabama,2020-03-14,7,0,
52,Alabama,2020-03-15,13,0,
53,Alabama,2020-03-16,8,0,
54,Alabama,2020-03-17,15,0,
55,Alabama,2020-03-18,10,1,
56,Alabama,2020-03-19,27,3,
57,Alabama,2020-03-20,27,1,
58,Alabama,2020-03-21,34,2,
59,Alabama,2020-03-22,31,3,
60,Alabama,2020-03-23,44,2,
61,Alabama,2020-03-24,70,5,
62,Alabama,2020-03-25,173,14,
63,Alabama,2020-03-26,102,7,
64,Alabama,2020-03-27,108,1,
65,Alabama,2020-03-28,117,5,
66,Alabama,2020-03-29,79,9,
67,Alabama,2020-03-30,121,9,
68,Alabama,2020-03-31,62,6,
69,Alabama,2020-04-01,112,11,
70,Alabama,2020-04-02,196,16,
71,Alabama,2020-04-03,235,20,
72,Alabama,2020-04-04,121,12,
73,Alabama,2020-04-05,177,7,
74,Alabama,2020-04-06,173,6,
75,Alabama,2020-04-07,229,16,
76,Alabama,2020-04-08,306,26,
77,Alabama,2020-04-09,340,28,
78,Alabama,2020-04-10,158,8,
79,Alabama,2020-04-11,234,25,
80,Alabama,2020-04-12,321,18,
81,Alabama,2020-04-13,202,14,
82,Alabama,2020-04-14,171,15,
83,Alabama,2020-04-15,265,21,
84,Alabama,2020-04-16,158,16,
85,Alabama,2020-04-17,92,10,
86,Alabama,2020-04-18,230,21,
87,Alabama,2020-04-19,190,19,
88,Alabama,2020-04-20,184,17,
89,Alabama,2020-04-21,241,26,
90,Alabama,2020-04-22,289,31,
91,Alabama,2020-04-23,206,16,
92,Alabama,2020-04-24,192,24,
93,Alabama,2020-04-25,182,30,
94,Alabama,2020-04-26,201,9,
95,Alabama,2020-04-27,146,12,
96,Alabama,2020-04-28,199,8,
97,Alabama,2020-04-29,159,15,
98,Alabama,2020-04-30,207,10,
99,Alabama,2020-05-01,254,14,
100,Alabama,2020-05-02,260,11,
101,Alabama,2020-05-03,278,18,
102,Alabama,2020-05-04,225,8,
103,Alabama,2020-05-05,317,17,
104,Alabama,2020-05-06,248,17,
105,Alabama,2020-05-07,344,18,
106,Alabama,2020-05-08,321,21,
107,Alabama,2020-05-09,283,21,
108,Alabama,2020-05-10,260,25,
109,Alabama,2020-05-11,280,14,
110,Alabama,2020-05-12,305,19,
111,Alabama,2020-05-13,255,15,
112,Alabama,2020-05-14,339,15,
113,Alabama,2020-05-15,332,15,
114,Alabama,2020-05-16,334,11,
115,Alabama,2020-05-17,309,13,
116,Alabama,2020-05-18,299,10,
117,Alabama,2020-05-19,386,27,
118,Alabama,2020-05-20,359,23,
119,Alabama,2020-05-21,404,11,
120,Alabama,2020-05-22,364,19,
121,Alabama,2020-05-23,374,14,
122,Alabama,2020-05-24,351,9,
123,Alabama,2020-05-25,633,13,
124,Alabama,2020-05-26,589,17,
125,Alabama,2020-05-27,363,14,
126,Alabama,2020-05-28,485,12,
127,Alabama,2020-05-29,514,15,
128,Alabama,2020-05-30,427,9,
129,Alabama,2020-05-31,513,11,
130,Alabama,2020-06-01,324,10,
131,Alabama,2020-06-02,209,9,
132,Alabama,2020-06-03,220,6,
133,Alabama,2020-06-04,308,14,
134,Alabama,2020-06-05,648,13,
135,Alabama,2020-06-06,444,11,
136,Alabama,2020-06-07,421,12,
137,Alabama,2020-06-08,490,9,
138,Alabama,2020-06-09,567,16,
139,Alabama,2020-06-10,824,25,
140,Alabama,2020-06-11,709,10,
141,Alabama,2020-06-12,1033,27,
142,Alabama,2020-06-13,959,32,
143,Alabama,2020-06-14,820,18,
144,Alabama,2020-06-15,302,13,
145,Alabama,2020-06-16,548,13,
146,Alabama,2020-06-17,903,29,
147,Alabama,2020-06-18,734,20,
148,Alabama,2020-06-19,547,9,
149,Alabama,2020-06-20,458,13,
150,Alabama,2020-06-21,439,5,
151,Alabama,2020-06-22,650,18,
152,Alabama,2020-06-23,1120,25,
153,Alabama,2020-06-24,986,24,
154,Alabama,2020-06-25,997,19,
155,Alabama,2020-06-26,1021,20,
156,Alabama,2020-06-27,179,7,
157,Alabama,2020-06-28,1418,32,
158,Alabama,2020-06-29,1083,15,
159,Alabama,2020-06-30,885,30,
160,Alabama,2020-07-01,1165,27,
161,Alabama,2020-07-02,1689,31,
162,Alabama,2020-07-03,913,24,
163,Alabama,2020-07-04,958,15,
164,Alabama,2020-07-05,799,14,
165,Alabama,2020-07-06,902,28,
166,Alabama,2020-07-07,1396,26,
167,Alabama,2020-07-08,1784,42,
168,Alabama,2020-07-09,1503,42,
169,Alabama,2020-07-10,1631,25,
170,Alabama,2020-07-11,1469,38,
171,Alabama,2020-07-12,1975,50,
172,Alabama,2020-07-13,1390,25,
173,Alabama,2020-07-14,2099,50,
174,Alabama,2020-07-15,1908,41,
175,Alabama,2020-07-16,1931,49,
176,Alabama,2020-07-17,2021,47,
177,Alabama,2020-07-18,2031,36,
178,Alabama,2020-07-19,1556,39,
179,Alabama,2020-07-20,1499,43,
180,Alabama,2020-07-21,1357,33,
181,Alabama,2020-07-22,1986,42,
182,Alabama,2020-07-23,2071,54,
183,Alabama,2020-07-24,2102,48,
184,Alabama,2020-07-25,1385,44,
185,Alabama,2020-07-26,1759,33,
186,Alabama,2020-07-27,1307,45,
187,Alabama,2020-07-28,1451,58,
188,Alabama,2020-07-29,1945,38,
189,Alabama,2020-07-30,2004,38,
190,Alabama,2020-07-31,1599,32,
191,Alabama,2020-08-01,2025,35,
192,Alabama,2020-08-02,1153,32,
193,Alabama,2020-08-03,1045,36,
194,Alabama,2020-08-04,949,32,
195,Alabama,2020-08-05,1866,37,
196,Alabama,2020-08-06,1716,25,
197,Alabama,2020-08-07,1848,29,
198,Alabama,2020-08-08,935,23,
199,Alabama,2020-08-09,1612,21,
200,Alabama,2020-08-10,926,40,
201,Alabama,2020-08-11,1067,41,
202,Alabama,2020-08-12,734,20,
203,Alabama,2020-08-13,751,8,
204,Alabama,2020-08-14,1114,28,
205,Alabama,2020-08-15,827,16,
206,Alabama,2020-08-16,742,18,
207,Alabama,2020-08-17,1423,46,
208,Alabama,2020-08-18,1318,36,
209,Alabama,2020-08-19,1281,23,
210,Alabama,2020-08-20,1038,26,
211,Alabama,2020-08-21,1458,46,
212,Alabama,2020-08-22,592,13,
213,Alabama,2020-08-23,670,16,
214,Alabama,2020-08-24,556,24,
215,Alabama,2020-08-25,2116,39,
216,Alabama,2020-08-26,1695,23,
217,Alabama,2020-08-27,1129,26,
218,Alabama,2020-08-28,1829,34,
219,Alabama,2020-08-29,1270,26,
220,Alabama,2020-08-30,786,15,
221,Alabama,2020-08-31,1539,22,
222,Alabama,2020-09-01,733,21,
